gene_identifier,n_counts,n_cells
Xylt2,332.0,65
Parp12,273.0,63
Cdh19,177.0,59
Otub1,1873.0,71
Dhx38,483.0,62
Fam120c,165.0,53
Znrf3,285.0,65
Cdh26,212.0,58
Ercc3,286.0,64
Coq5,362.0,60
Ndp,203.0,59
Hoxc6,118.0,49
Fam193b,186.0,55
Npas1,340.0,53
Mgea5,496.0,66
Apobec4,159.0,56
Sphk1,176.0,57
Smc4,220.0,57
M1ap,113.0,43
Ccdc178,145.0,49
Zfp398,171.0,53
Mmd2,367.0,67
Pianp,373.0,64
Ndnf,228.0,62
Top1mt,348.0,63
Gnb3,319.0,61
Tab2,238.0,62
Slc2a7,85.0,35
Bak1,328.0,62
Smg1,243.0,66
Kcnj13,173.0,53
Lingo3,274.0,63
Hrh1,244.0,53
Atp11c,157.0,51
Tsc22d3,784.0,69
Nxph1,366.0,63
Sgk1,459.0,66
Fbxo11,235.0,61
Colec10,166.0,56
Polr3c,271.0,55
Cog7,307.0,66
Pdzd2,414.0,62
Setdb2,244.0,61
Lrtm2,305.0,65
Bdp1,215.0,63
Tmem56,182.0,58
Ermp1,125.0,45
Sox17,115.0,52
Ucp3,167.0,48
Sh3d21,98.0,43
Neurl1a,535.0,66
Tmc1,198.0,57
Cpne3,148.0,51
Zbtb4,680.0,66
Tmprss6,195.0,63
Foxd4,137.0,51
Htr2c,193.0,58
Ccdc117,221.0,60
Fubp3,157.0,46
Klf13,997.0,69
Tmem178,807.0,66
Rspo3,178.0,55
Ankdd1b,247.0,65
Iqsec2,356.0,61
Mppe1,144.0,52
Zfp112,262.0,61
Cdk7,150.0,48
Elovl6,140.0,44
Lrfn1,477.0,63
Zfp352,119.0,48
Alg2,1064.0,69
Tdrd7,256.0,61
Zfand2a,361.0,64
Ldlrad4,432.0,63
Vegfc,225.0,61
Pik3r1,405.0,66
Pde5a,111.0,44
Mrps25,208.0,57
Map3k9,639.0,65
Prdm2,467.0,67
Cdkn2aip,267.0,62
Hltf,189.0,56
Mylk3,228.0,59
Zfp652,224.0,63
Ttc12,206.0,57
Zscan18,312.0,65
Sorcs2,131.0,47
Six1,309.0,67
Fam171b,247.0,60
Cx3cr1,207.0,57
Gphb5,281.0,61
Scarb1,276.0,63
Stag3,188.0,56
Sall2,399.0,64
Tox4,423.0,65
Mmp21,289.0,64
Zmat4,196.0,58
Amot,272.0,58
Tatdn2,403.0,62
Nudt19,245.0,60
Klhl42,192.0,60
Mat1a,200.0,60
Spg21,148.0,54
Eif4ebp2,447.0,63
Telo2,151.0,51
Opn4,183.0,56
Dsg1a,114.0,48
Cass4,136.0,45
Sidt2,628.0,65
Ccdc60,116.0,48
Pkmyt1,216.0,57
Tfap2e,151.0,55
Atg14,171.0,52
Dhx16,323.0,64
Smim14,346.0,64
Acvr2a,168.0,49
Ndufaf4,135.0,51
Zfp280b,304.0,59
Adamts16,328.0,61
Prickle3,192.0,59
Ehbp1l1,192.0,56
Gpc2,206.0,51
Sdf2,308.0,64
Med17,188.0,54
Osr2,127.0,45
Xrcc2,153.0,48
Car8,266.0,61
Tmem127,475.0,68
Zfp9,156.0,53
Sirt7,595.0,67
Galnt6,132.0,50
Dctd,138.0,47
Rreb1,262.0,57
Gm9899,257.0,57
Slc38a4,145.0,51
Muc19,159.0,51
Trpv5,182.0,60
