,n_counts
4,613.0
5,1787.0
6,1824.0
7,1445.0
8,588.0
9,287.0
10,211.0
19,115.0
20,962.0
21,873.0
22,1260.0
23,523.0
24,565.0
25,646.0
26,136.0
27,135.0
28,403.0
29,49.0
40,151.0
41,172.0
42,333.0
46,277.0
47,248.0
48,830.0
49,573.0
50,386.0
51,126.0
52,229.0
53,325.0
54,581.0
56,248.0
72,327.0
73,1184.0
74,1140.0
75,544.0
76,733.0
77,798.0
78,466.0
80,526.0
81,1562.0
82,1841.0
83,2969.0
84,1161.0
85,757.0
86,1100.0
87,568.0
89,164.0
92,510.0
115,485.0
116,541.0
117,1642.0
118,158.0
119,486.0
120,539.0
121,491.0
122,297.0
123,2464.0
124,1354.0
125,1186.0
126,631.0
127,964.0
128,1584.0
129,1787.0
131,1336.0
137,1293.0
138,2021.0
139,1271.0
140,620.0
141,904.0
142,259.0
166,351.0
168,477.0
169,1322.0
171,1226.0
172,927.0
173,1141.0
175,319.0
176,1301.0
177,2281.0
178,566.0
179,554.0
181,1068.0
182,1312.0
183,892.0
184,1481.0
185,351.0
187,376.0
188,1517.0
189,334.0
190,550.0
191,1777.0
193,391.0
194,1230.0
195,254.0
198,126.0
201,176.0
202,557.0
203,303.0
204,128.0
205,77.0
206,275.0
207,1078.0
208,396.0
209,392.0
210,234.0
211,275.0
228,273.0
229,561.0
230,372.0
231,1461.0
232,761.0
233,526.0
234,643.0
235,1085.0
236,439.0
237,802.0
238,802.0
239,682.0
240,235.0
243,3125.0
244,1275.0
245,1430.0
246,920.0
248,546.0
249,566.0
250,630.0
251,753.0
252,607.0
253,972.0
254,1008.0
255,613.0
256,517.0
257,502.0
258,568.0
259,458.0
260,689.0
261,2131.0
262,338.0
263,219.0
264,1290.0
266,155.0
267,364.0
268,840.0
269,680.0
270,535.0
271,225.0
274,1691.0
275,800.0
276,194.0
277,666.0
278,945.0
279,189.0
293,433.0
294,694.0
295,771.0
296,300.0
297,315.0
298,226.0
299,535.0
301,745.0
302,593.0
303,1353.0
304,808.0
305,217.0
306,767.0
307,108.0
309,763.0
310,698.0
311,98.0
312,333.0
313,562.0
314,200.0
316,178.0
317,1588.0
318,979.0
319,390.0
320,282.0
321,1567.0
322,1108.0
323,1028.0
325,720.0
326,58.0
327,477.0
328,446.0
329,49.0
