,n_counts
3,195.0
4,1064.0
5,1575.0
6,2981.0
7,2162.0
8,1097.0
9,755.0
16,154.0
17,495.0
18,265.0
21,1059.0
22,2104.0
23,959.0
24,915.0
25,499.0
26,1351.0
27,49.0
28,248.0
39,57.0
40,783.0
41,2176.0
42,1845.0
43,629.0
44,975.0
45,1878.0
46,812.0
47,2734.0
48,4399.0
49,2728.0
50,1193.0
51,854.0
55,1135.0
56,2133.0
73,201.0
75,2139.0
76,735.0
77,1274.0
78,2318.0
79,777.0
80,2037.0
81,3846.0
82,1783.0
83,631.0
84,3382.0
85,1684.0
86,2388.0
88,1021.0
89,553.0
90,1218.0
91,2738.0
92,490.0
93,1433.0
94,726.0
96,126.0
98,390.0
99,1660.0
100,877.0
101,77.0
102,1221.0
103,1391.0
104,740.0
105,468.0
117,967.0
118,1011.0
119,2148.0
120,1193.0
121,1296.0
122,2513.0
123,1386.0
124,1055.0
125,1722.0
126,343.0
127,172.0
128,4494.0
129,1942.0
130,1404.0
131,1097.0
132,920.0
133,2752.0
134,1065.0
135,1337.0
136,2111.0
137,2131.0
138,1070.0
139,277.0
140,1375.0
141,2124.0
143,1924.0
144,397.0
145,486.0
146,1041.0
147,1329.0
148,600.0
150,1848.0
151,1686.0
152,473.0
153,1210.0
154,431.0
163,327.0
164,1748.0
165,771.0
166,1597.0
167,450.0
168,752.0
170,1005.0
171,1233.0
172,996.0
173,813.0
174,292.0
175,1384.0
176,425.0
177,955.0
178,562.0
179,1143.0
180,816.0
181,1189.0
182,2313.0
183,2825.0
184,2351.0
185,1004.0
186,1416.0
187,929.0
188,477.0
189,2407.0
190,1620.0
191,386.0
192,790.0
193,761.0
194,177.0
195,603.0
196,554.0
197,861.0
198,1446.0
200,347.0
201,2359.0
202,2584.0
203,1055.0
204,1617.0
205,2277.0
206,667.0
207,126.0
213,1241.0
214,1052.0
215,345.0
216,456.0
218,159.0
219,1137.0
220,621.0
221,887.0
222,336.0
223,295.0
224,512.0
225,1015.0
226,432.0
227,1082.0
229,294.0
230,703.0
231,466.0
232,2102.0
233,1901.0
234,2219.0
235,301.0
236,1688.0
237,680.0
238,2400.0
240,1859.0
241,1760.0
242,721.0
243,1305.0
244,1168.0
245,195.0
246,172.0
247,728.0
248,1997.0
249,1328.0
250,902.0
251,301.0
252,1128.0
253,879.0
254,1130.0
255,449.0
256,909.0
257,618.0
258,959.0
259,710.0
264,469.0
265,645.0
266,144.0
267,708.0
269,1140.0
270,1137.0
271,1484.0
272,1450.0
273,978.0
275,480.0
276,520.0
277,452.0
278,294.0
279,387.0
280,895.0
282,881.0
283,221.0
284,398.0
285,2165.0
286,950.0
287,402.0
288,2167.0
289,3198.0
291,1326.0
292,746.0
293,1842.0
294,739.0
295,1249.0
296,2568.0
297,1797.0
298,856.0
299,622.0
300,573.0
301,889.0
302,267.0
303,109.0
304,814.0
305,234.0
306,268.0
307,827.0
308,307.0
309,202.0
310,620.0
311,627.0
312,1337.0
313,462.0
314,1293.0
315,308.0
318,378.0
319,400.0
320,263.0
321,683.0
322,834.0
323,665.0
324,1061.0
325,838.0
326,1077.0
327,1447.0
328,563.0
329,766.0
330,492.0
331,1639.0
332,1367.0
333,1210.0
334,643.0
335,235.0
336,824.0
337,261.0
338,635.0
339,1056.0
340,878.0
341,2366.0
342,603.0
343,4346.0
344,3491.0
345,283.0
346,788.0
347,3081.0
348,1104.0
349,1994.0
350,1230.0
351,2930.0
352,1759.0
353,405.0
355,590.0
356,483.0
357,238.0
358,114.0
359,250.0
360,911.0
361,1082.0
362,507.0
363,1191.0
364,912.0
365,1267.0
366,1375.0
367,432.0
368,397.0
369,418.0
370,2239.0
371,444.0
374,3280.0
375,1026.0
376,513.0
377,1510.0
378,1695.0
379,839.0
380,971.0
381,1278.0
382,1255.0
383,376.0
384,944.0
385,810.0
386,504.0
387,1256.0
388,1558.0
389,1759.0
390,1037.0
391,1250.0
392,249.0
394,757.0
395,2405.0
396,1175.0
397,532.0
398,1869.0
399,3173.0
400,2736.0
401,1846.0
403,1882.0
404,2290.0
405,3222.0
406,281.0
407,1959.0
408,1054.0
409,1603.0
410,320.0
411,258.0
412,508.0
413,935.0
414,1123.0
415,606.0
416,596.0
417,1233.0
418,1006.0
419,373.0
420,278.0
421,1486.0
422,118.0
423,1474.0
424,1661.0
425,1337.0
426,734.0
427,1229.0
428,2254.0
429,233.0
431,1741.0
432,1677.0
433,1199.0
434,511.0
435,2005.0
436,1609.0
437,958.0
438,718.0
439,1053.0
440,818.0
441,1126.0
442,784.0
443,1787.0
444,647.0
445,1302.0
446,1051.0
447,2077.0
448,901.0
449,2320.0
450,1995.0
451,49.0
452,249.0
453,709.0
454,1235.0
455,583.0
456,2399.0
457,634.0
459,638.0
462,2503.0
463,2507.0
464,701.0
465,1343.0
466,2632.0
467,1102.0
468,13.0
469,1045.0
470,81.0
472,938.0
473,1389.0
474,569.0
475,861.0
476,1171.0
477,1896.0
478,714.0
479,1712.0
480,1607.0
481,907.0
482,658.0
483,254.0
484,924.0
485,1778.0
486,567.0
487,1480.0
488,1583.0
489,138.0
491,2390.0
492,296.0
493,45.0
494,1568.0
495,568.0
496,320.0
497,471.0
498,2075.0
499,2896.0
500,1677.0
501,1492.0
502,1820.0
503,1365.0
504,1822.0
505,1974.0
506,244.0
507,1245.0
508,1404.0
509,888.0
510,2352.0
511,171.0
512,328.0
513,78.0
515,1252.0
516,1297.0
517,2819.0
518,2200.0
519,74.0
521,1171.0
522,1780.0
523,1318.0
524,520.0
525,1532.0
526,1085.0
527,782.0
529,164.0
530,700.0
531,563.0
532,338.0
533,1681.0
534,1162.0
535,727.0
536,1117.0
537,1017.0
538,927.0
539,678.0
540,1531.0
541,857.0
542,1022.0
543,1253.0
544,469.0
545,859.0
546,1226.0
547,163.0
548,1437.0
549,439.0
551,1611.0
552,2751.0
553,318.0
554,527.0
555,2031.0
556,801.0
557,1717.0
558,1103.0
559,1949.0
560,2709.0
561,2328.0
562,2349.0
563,2773.0
564,1872.0
565,1740.0
566,1418.0
567,1223.0
568,1332.0
570,2286.0
571,1034.0
572,514.0
574,791.0
575,385.0
576,580.0
577,3101.0
578,334.0
580,358.0
581,294.0
582,448.0
583,2615.0
584,1638.0
585,1940.0
586,1736.0
587,1632.0
588,270.0
589,115.0
590,82.0
592,1066.0
593,2462.0
594,344.0
595,1080.0
596,1287.0
597,371.0
598,830.0
599,1177.0
600,1410.0
601,1430.0
602,939.0
603,1618.0
604,1207.0
605,536.0
606,645.0
607,842.0
608,1739.0
609,718.0
610,1174.0
611,2002.0
612,166.0
613,2739.0
614,1350.0
615,189.0
616,1463.0
617,1795.0
618,812.0
619,379.0
620,958.0
621,999.0
622,1728.0
623,3190.0
624,1378.0
625,1361.0
626,532.0
627,2240.0
628,1017.0
629,980.0
630,944.0
631,669.0
632,1265.0
633,949.0
634,1357.0
635,498.0
637,707.0
639,167.0
641,42.0
644,373.0
645,1779.0
646,654.0
647,1330.0
648,2606.0
649,142.0
650,755.0
651,937.0
653,138.0
654,1325.0
655,1841.0
656,404.0
657,175.0
658,1127.0
659,260.0
660,1038.0
661,616.0
662,1745.0
663,2074.0
664,1073.0
665,1691.0
666,2046.0
667,936.0
668,750.0
669,1202.0
670,1254.0
671,836.0
672,868.0
673,2341.0
674,1038.0
675,2159.0
676,2137.0
677,305.0
678,562.0
679,731.0
680,867.0
681,207.0
682,466.0
683,1207.0
684,1564.0
685,1189.0
686,1426.0
687,1398.0
688,610.0
689,1174.0
690,1529.0
691,1524.0
692,755.0
693,1881.0
694,1177.0
695,2063.0
696,1979.0
697,545.0
699,455.0
700,561.0
701,1563.0
702,371.0
703,528.0
705,456.0
706,473.0
707,1617.0
708,3061.0
709,1953.0
710,4030.0
711,1186.0
712,561.0
713,512.0
714,413.0
716,1493.0
717,1471.0
718,1432.0
719,232.0
720,345.0
721,872.0
722,1652.0
723,825.0
