,n_counts
3,767.0
4,880.0
5,1031.0
6,3064.0
7,1756.0
8,697.0
9,646.0
16,172.0
17,265.0
20,431.0
21,1308.0
22,1631.0
23,925.0
24,1187.0
25,290.0
26,1033.0
27,49.0
28,248.0
39,327.0
40,1184.0
41,1364.0
42,884.0
43,866.0
44,644.0
45,181.0
46,2139.0
47,3060.0
48,2509.0
49,1546.0
50,1437.0
52,164.0
55,510.0
56,526.0
73,57.0
74,1691.0
75,1883.0
76,975.0
77,1883.0
78,491.0
79,888.0
80,3905.0
81,1314.0
82,631.0
83,2204.0
84,2765.0
85,245.0
86,1806.0
89,334.0
90,927.0
91,1597.0
92,1607.0
93,974.0
94,87.0
95,89.0
96,920.0
97,714.0
99,589.0
100,376.0
101,141.0
116,1108.0
117,252.0
118,2367.0
119,533.0
120,659.0
121,1989.0
122,439.0
123,1124.0
124,2299.0
125,1392.0
126,745.0
127,1730.0
128,2878.0
129,2938.0
130,1563.0
131,897.0
132,1096.0
133,2276.0
134,194.0
135,2049.0
136,1516.0
137,1182.0
138,1358.0
139,568.0
140,1008.0
141,1750.0
142,338.0
143,750.0
144,786.0
145,155.0
146,540.0
147,1316.0
148,816.0
149,51.0
150,77.0
151,1821.0
152,1366.0
153,758.0
154,611.0
155,337.0
166,150.0
167,817.0
168,666.0
169,1000.0
170,344.0
171,777.0
172,1523.0
173,921.0
174,1773.0
175,813.0
176,1002.0
177,108.0
178,482.0
179,1767.0
181,122.0
182,762.0
184,1021.0
185,1785.0
186,1500.0
187,449.0
188,2936.0
189,671.0
190,362.0
191,778.0
192,1300.0
193,410.0
194,367.0
195,762.0
196,318.0
197,510.0
198,600.0
199,390.0
200,965.0
201,1578.0
202,915.0
204,417.0
205,1607.0
206,2003.0
208,1279.0
209,1644.0
210,109.0
219,851.0
220,1420.0
221,462.0
222,1918.0
223,284.0
224,352.0
225,975.0
226,305.0
227,332.0
228,505.0
229,354.0
230,431.0
231,482.0
232,1075.0
233,684.0
234,1371.0
236,654.0
237,1318.0
238,150.0
239,2806.0
240,2728.0
241,2412.0
242,695.0
243,1298.0
244,696.0
245,2065.0
247,1439.0
248,2722.0
249,849.0
250,524.0
251,783.0
252,749.0
254,281.0
255,845.0
256,872.0
257,608.0
259,535.0
260,1453.0
261,1366.0
262,1481.0
263,1282.0
264,985.0
265,1304.0
266,1240.0
267,460.0
274,1470.0
275,913.0
276,703.0
277,64.0
280,542.0
281,686.0
282,514.0
283,856.0
284,295.0
285,273.0
286,597.0
287,939.0
289,830.0
291,418.0
292,308.0
293,828.0
294,481.0
296,2286.0
297,1908.0
298,408.0
299,1264.0
301,1867.0
302,941.0
303,94.0
304,338.0
305,2240.0
306,1201.0
307,522.0
308,450.0
309,875.0
310,273.0
311,172.0
312,747.0
313,847.0
314,1317.0
315,462.0
316,797.0
317,170.0
318,724.0
319,331.0
320,1065.0
322,681.0
323,397.0
324,173.0
325,855.0
326,495.0
331,469.0
332,209.0
333,359.0
334,318.0
335,364.0
336,246.0
337,1507.0
338,945.0
339,2364.0
340,824.0
341,648.0
342,207.0
343,228.0
344,738.0
345,452.0
346,177.0
347,387.0
348,370.0
349,401.0
350,302.0
351,271.0
352,619.0
353,1011.0
354,425.0
355,1184.0
356,667.0
357,2693.0
358,3134.0
359,432.0
360,933.0
361,827.0
362,1679.0
363,1017.0
364,672.0
365,805.0
366,2732.0
367,2320.0
368,430.0
369,393.0
370,300.0
371,889.0
372,212.0
375,234.0
376,268.0
377,856.0
378,915.0
379,307.0
381,620.0
382,582.0
383,1337.0
384,563.0
385,693.0
386,573.0
390,651.0
391,642.0
392,962.0
394,609.0
395,812.0
396,779.0
397,1007.0
