,01 IT-ET Glut,03 OB-CR Glut,05 OB-IMN GABA,06 CTX-CGE GABA,07 CTX-MGE GABA,09 CNU-LGE GABA,10 LSX GABA,11 CNU-HYa GABA,12 HY GABA,13 CNU-HYa Glut,14 HY Glut,29 CB Glut,30 Astro-Epen,31 OPC-Oligo,32 OEC,33 Vascular,34 Immune
11,0.0006254582753172144,0.004623139323666692,1.0790731966495515,0.09458448737859726,0.001992439990863204,0.09479770585894584,1.567538672685623,0.0011345737555529922,0.007092764577828347,0.0012020472553558648,0.0011836734833195806,0.003989661089144648,0.5532609611749649,0.025598460715264084,4.209695053100586,0.010117418551817537,0.5487295240163803
12,0.001374140806728974,0.0029308777302503586,1.7005489230155946,0.006901146005839109,0.003383940795902163,0.00933811441063881,0.8980901211500167,0.0846090916544199,0.0036341345054097473,0.0019138715812005104,0.002493022382259369,0.003022694017272443,2.6816486716270447,0.010041098296642305,4.627130746841431,0.04106392469257116,0.003436485410202295
13,0.0003350598752149381,0.0010178098164033145,0.00034104743535863237,0.00018022094300249592,0.00036322354862932115,0.00011835107507067733,0.00980625580996275,0.00014515937873511576,0.00018716892664087938,0.00022240746911847964,0.0001019111165078357,0.00042953799420502036,0.0008934679965022952,0.0003050360537599772,0.000642796658212319,5.801298642158509,0.0034942775848321615
36,0.0017268507857806981,0.0005959598405752332,8.621845081506763e-05,0.0008967924804892391,0.0037107470096088948,0.00018336472712690013,0.003867457469459623,0.0018013012886513025,0.0009218234772561119,0.004152506892569363,0.0029781376011669635,0.014684102823957802,0.057817197404801846,0.0008349110576091335,4.6938485383987425,5.7863463163375854,1.7203278839588165
37,0.0001821590223698877,0.0010692707379348575,0.001600460649933666,0.0008629511983599513,0.0001670243451371789,0.0002672832881216891,1.8641197323799135,9.716232671053149e-05,0.00033251982531510297,0.00021409247201518156,9.37124696065439e-05,0.0002615624980535358,0.01083840224891901,0.003209097369108349,2.9159563541412354,1.0556025505065918,0.005146639724262059
38,2.5233212454622844e-05,0.0006773502798750997,7.261511891556439e-05,0.0001370990794384852,4.048703358421335e-05,2.4964016574813286e-05,0.00198396221967414,2.7546775618247922e-05,4.392871414893307e-05,3.540151228662581e-05,7.350679588853381e-05,3.210819686501054e-05,2.204709553718567,0.0010728506662417204,0.0021091269329190252,0.00029011383885517715,0.0001623970994842239
39,0.0002548997093981598,0.2788345992565155,0.7509361416101455,0.009670455008745193,0.0003063286654651165,0.004128458048216999,1.6869980454444886,0.0002109660788846668,0.0006503228010842577,0.0004036650934722275,0.0004133834590902552,0.00042540888534858823,0.6643714159727097,0.005994598334655166,0.03862145934253931,1.7020382583141327,0.0019446576014161112
40,2.730298620008398e-05,0.005319262482225895,0.11034061945974827,0.00023338194805546666,2.5912775618053276e-05,8.467084553558381e-05,1.610346245765686,1.8789548539643876e-05,5.772154800069984e-05,3.61228725523688e-05,3.306241014797706e-05,2.422478473818046e-05,0.004474545898847282,0.0022295698407106103,0.0010484731697943063,0.0004498130903812125,0.0002870660508051515
41,0.00029639965650858364,0.26535938680171967,1.551358813047409,0.011781154666095974,0.00042924963490804664,0.0019808954442851246,0.43119028210639954,0.00115037850337103,0.001277921657310799,0.0005834112904267386,0.0005436506471596658,0.000429127698589582,0.02377322092652321,0.004440678842365742,0.045997833274304865,0.0004452858629520051,0.0008619901287602261
44,0.00013380331947701054,0.00020030611412948928,0.0002336043675313704,0.0013757305569015443,0.0009337781375506893,0.0008070915064308792,0.0018314935790840537,0.00028121208742959425,0.00032055890624178575,0.00017233991020475516,0.0005026978702517227,0.001080269308295101,0.0006950166833121329,0.0008639537438284606,0.09124949015676975,3.632265341281891,0.004188304417766631
45,5.2911418424628213e-05,7.318627904169261e-05,0.0001768665657436941,0.00010332264901080634,0.00015719121729489418,3.5052527709922285e-05,0.0005620740615995602,0.00012120761857659092,2.9379881743807347e-05,1.4690388388771682e-05,3.8522578506672296e-05,0.0002039941893599462,0.00022132865196908825,0.0003626216755947098,0.09258319102227688,0.9498463273048401,0.0002878939427318983
