,n_counts
3,377.0
4,242.0
5,613.0
6,2785.0
7,1762.0
8,865.0
9,714.0
10,455.0
17,62.0
21,431.0
22,1450.0
23,1920.0
24,965.0
25,997.0
26,499.0
27,728.0
28,421.0
29,297.0
41,327.0
42,512.0
43,154.0
44,909.0
45,654.0
47,356.0
48,927.0
49,1131.0
50,1872.0
51,908.0
52,487.0
53,458.0
55,338.0
57,510.0
76,1061.0
77,765.0
78,2497.0
79,1504.0
80,572.0
81,968.0
82,1578.0
83,2166.0
84,732.0
85,2248.0
86,3226.0
87,1923.0
88,1332.0
89,1813.0
90,108.0
94,1293.0
95,1736.0
96,1370.0
97,726.0
98,259.0
101,59.0
118,201.0
119,392.0
120,868.0
121,814.0
122,241.0
123,1575.0
124,1193.0
126,899.0
127,1820.0
128,2441.0
129,1008.0
130,622.0
131,2356.0
132,2278.0
133,1894.0
134,489.0
136,1442.0
137,553.0
138,288.0
139,2324.0
141,1540.0
142,1060.0
143,1102.0
144,338.0
146,126.0
147,155.0
148,87.0
149,665.0
150,1099.0
151,306.0
152,77.0
153,549.0
154,1339.0
155,813.0
156,333.0
157,275.0
171,771.0
172,515.0
173,372.0
174,2341.0
175,774.0
176,1267.0
177,2070.0
178,439.0
179,1171.0
180,553.0
181,1616.0
182,108.0
183,172.0
184,2759.0
185,1319.0
186,342.0
187,741.0
188,546.0
189,920.0
190,2042.0
191,1065.0
192,972.0
193,1355.0
194,1055.0
195,951.0
196,568.0
198,104.0
199,458.0
200,1138.0
201,1016.0
203,1812.0
204,112.0
205,242.0
206,1198.0
207,114.0
208,1122.0
209,600.0
211,906.0
212,1781.0
213,664.0
214,666.0
215,1210.0
216,431.0
227,524.0
228,1224.0
229,771.0
230,1367.0
231,450.0
232,60.0
233,308.0
235,353.0
236,2195.0
237,808.0
238,188.0
239,647.0
240,292.0
241,958.0
242,810.0
243,1053.0
244,206.0
245,507.0
246,489.0
247,872.0
248,824.0
249,1918.0
250,1394.0
251,3058.0
252,624.0
253,1004.0
254,1416.0
255,837.0
257,1437.0
258,1212.0
259,654.0
260,66.0
261,94.0
262,761.0
263,177.0
264,603.0
265,268.0
266,286.0
267,1228.0
268,838.0
271,1698.0
272,1644.0
273,1135.0
274,728.0
275,1307.0
276,1284.0
277,196.0
286,967.0
287,932.0
289,167.0
290,851.0
291,159.0
292,486.0
293,667.0
294,727.0
295,514.0
297,295.0
298,259.0
299,190.0
300,426.0
301,432.0
302,1082.0
305,347.0
306,936.0
308,2102.0
309,1926.0
310,1005.0
311,1825.0
313,1328.0
315,2699.0
317,941.0
318,1613.0
319,1449.0
320,930.0
321,841.0
322,1168.0
325,36.0
326,845.0
327,617.0
328,699.0
329,333.0
330,469.0
331,974.0
332,726.0
333,513.0
334,1104.0
335,759.0
336,909.0
337,1133.0
338,1042.0
339,640.0
346,594.0
347,586.0
348,698.0
349,631.0
352,894.0
353,701.0
354,264.0
355,762.0
356,573.0
357,436.0
359,502.0
360,908.0
361,399.0
362,130.0
363,164.0
364,224.0
365,819.0
366,308.0
367,466.0
369,217.0
370,1604.0
371,899.0
372,408.0
374,1348.0
375,1719.0
376,473.0
377,1015.0
378,537.0
379,429.0
380,235.0
381,1461.0
382,1254.0
383,1448.0
384,992.0
385,37.0
386,413.0
387,273.0
388,945.0
389,720.0
390,847.0
391,1048.0
392,218.0
393,613.0
394,268.0
395,333.0
396,815.0
397,862.0
400,934.0
401,45.0
402,533.0
403,710.0
404,495.0
409,200.0
410,246.0
411,126.0
412,215.0
413,133.0
414,959.0
415,457.0
416,895.0
417,841.0
418,1929.0
419,1213.0
420,548.0
422,843.0
423,600.0
424,1423.0
425,546.0
426,384.0
427,387.0
428,146.0
430,302.0
431,271.0
432,402.0
433,635.0
434,1726.0
435,1012.0
436,606.0
437,540.0
438,3080.0
439,1610.0
440,432.0
441,844.0
442,671.0
443,1147.0
444,1192.0
445,190.0
446,482.0
447,2378.0
448,1567.0
449,438.0
450,430.0
451,175.0
452,300.0
453,143.0
454,212.0
456,378.0
457,234.0
459,414.0
460,1026.0
463,161.0
464,528.0
465,257.0
466,747.0
467,363.0
468,971.0
469,1024.0
473,712.0
474,566.0
475,355.0
476,1093.0
478,780.0
480,689.0
481,517.0
482,768.0
483,334.0
484,434.0
485,815.0
486,856.0
488,435.0
489,949.0
490,926.0
491,1677.0
492,1401.0
493,616.0
494,394.0
495,824.0
496,261.0
497,654.0
498,819.0
499,961.0
500,1714.0
501,556.0
502,2292.0
503,2960.0
504,2242.0
506,644.0
507,1496.0
508,1562.0
509,1480.0
510,757.0
511,2357.0
512,746.0
513,2281.0
514,1531.0
518,969.0
519,342.0
521,114.0
522,250.0
523,372.0
524,1044.0
525,549.0
527,818.0
528,1312.0
529,365.0
530,1160.0
531,1030.0
532,432.0
533,296.0
534,27.0
535,1243.0
536,1275.0
540,2416.0
541,497.0
542,620.0
543,108.0
544,2402.0
545,1264.0
546,718.0
547,796.0
548,340.0
549,1238.0
550,689.0
551,645.0
552,494.0
553,282.0
554,480.0
555,759.0
556,1137.0
557,487.0
558,316.0
559,601.0
560,1095.0
561,496.0
563,49.0
564,792.0
565,1557.0
566,278.0
567,314.0
568,696.0
569,1147.0
570,2671.0
571,1167.0
572,1457.0
575,1150.0
576,1559.0
577,2213.0
578,967.0
579,984.0
580,1640.0
582,873.0
583,320.0
