,Olig,astrocytes,cellType,eNeuron,endo_mural,iNeuron,microglia
0,0.04815335515886545,0.42473742365837097,0.00017015863631968385,0.031704777665436265,1.1692171692848206,0.012119498802348971,0.06986840814352036
1,0.49003349542617797,1.3373893976211548,0.037613528221845625,0.14614470675587654,1.8642354547977447,0.6065481096506119,0.5850149810314178
2,0.48506938219070433,2.02561731338501,0.0386931948363781,0.2134044274687767,1.3290566444396972,0.2536105468869209,0.687279412150383
3,0.37442815601825713,1.7406369984149932,0.04581926036626101,0.3051366418600082,1.0789610922336579,0.7051089644432068,0.9621092736721039
7,0.2651923269033432,0.49660745561122893,0.0054481977364048365,0.6359056830406189,1.1053833663463593,0.2172851122915745,0.45425730347633364
8,0.6908790707588196,1.7387035250663758,0.08582102134823799,1.0333757400512695,2.5450000524520875,0.7585032254457473,1.132998263835907
9,1.045300680398941,1.7596427977085114,0.06769346706569195,1.48367178440094,2.7659574151039124,0.8385005205869674,1.3306735575199127
10,1.4755583882331849,2.965319609642029,0.22542941942811012,3.1760494112968445,4.444357085227966,1.8405416071414948,2.224800443649292
14,1.2359565138816833,2.613857114315033,0.14354440718889236,2.836807382106781,3.8961777567863463,1.2523685693740845,2.208013653755188
15,0.7608920335769653,1.3742254853248597,0.08266310058534146,1.5741105318069457,2.5394813656806945,0.6865020602941513,1.2439930975437163
16,1.2969425797462464,2.420417058467865,0.11943205296993256,2.9068173289299013,3.9792587399482726,1.116970306634903,1.9882314324378967
17,1.255081057548523,2.5287486910820007,0.13797523230314254,3.1629967093467712,3.97776118516922,1.1062126755714417,1.939989447593689
21,1.0469825565814972,2.076346230506897,0.10654868707060813,2.4285138726234434,3.550174129009247,0.7529790103435516,1.6488947331905366
22,1.0844825565814973,2.2448762536048887,0.09491095431149006,2.7578552603721618,3.8797467589378356,1.0774274528026582,1.8752944707870483
23,1.2274970054626464,2.3594868063926695,0.16321360021829606,2.818790102005005,3.9962268590927126,1.2399922013282776,2.166819083690643
24,1.1191983222961426,2.013920485973358,0.11518724225461482,3.6529379010200502,3.5998498439788817,0.9762831211090088,1.7678188860416413
28,0.7668773204088211,1.8348594188690186,0.076119938865304,1.662024623155594,2.468810200691223,0.664269146323204,1.2423925518989563
29,1.1639488995075227,2.412522351741791,0.11615124382078648,2.753768599033356,4.119717931747436,1.1296856224536895,1.9757210195064545
30,2.0301790833473206,3.2298686027526857,0.24114179760217666,5.0468745470047,6.054258275032043,1.5950849592685699,2.50744024515152
31,0.27222112715244295,0.9691115021705627,0.0514811459928751,2.019951331615448,2.484920156002045,0.37162751853466036,0.7261500269174576
35,1.1070856630802155,1.635058617591858,0.1224606316536665,2.681770384311676,3.7914771914482115,1.011546891927719,1.6408840894699097
36,1.4992560982704162,2.924898791313171,0.1317039906978607,4.198531818389893,4.931741118431091,1.2194050133228302,2.301559090614319
37,1.0048416316509248,2.383459413051605,0.12199575118720532,3.701611137390137,3.8356545686721804,0.9870635598897934,1.9537279188632966
38,1.1930499017238616,4.0195348262786865,0.20340653359889985,4.1197984457015995,3.524773919582367,0.9834391206502915,1.710524982213974
42,0.9466380625963211,2.47593811750412,0.12771326601505278,2.8561095237731933,3.47423095703125,1.0499540746212006,1.7727228164672852
43,1.0952467143535614,2.250618267059326,0.062055124528706075,2.4778749108314515,3.4123708963394166,1.0996845424175263,1.613838267326355
44,1.0937831819057464,2.1570111513137817,0.11406203433871269,3.3972867369651794,3.458777403831482,0.964343124628067,1.6449987292289734
45,0.7366681814193725,1.7454664051532744,0.07591674290597439,2.999026918411255,2.670511078834534,0.7491812229156494,1.3380222737789154
49,1.2233836591243743,2.250569427013397,0.14578454643487931,2.8004000306129457,3.4715830206871034,1.5858634650707244,1.766960436105728
50,1.19357932806015,2.0977662086486815,0.10994365550577641,2.455841767787933,3.7914326786994934,1.4177146315574647,1.8806190729141234
51,2.608673572540283,3.8150944113731384,0.24403213784098626,5.061497521400452,6.1822474002838135,2.20649391412735,2.5324167609214783
52,1.471848225593567,3.0592384576797484,0.230743358284235,4.606375741958618,3.3754958152770995,2.3881003856658936,1.5718841254711151
56,1.3982121407985688,2.3698185682296753,0.11330138742923737,3.240535247325897,3.8519100189208983,1.3288600504398347,1.6909382879734038
57,1.669781255722046,3.239018440246582,0.16816213726997375,3.9685383081436156,4.566317677497864,1.727463310956955,2.2741068840026855
58,1.541148442029953,3.730155324935913,0.23416810110211372,4.199310636520385,4.455186676979065,1.7300434231758117,2.1668954730033874
59,0.9505439430475235,2.1888988733291628,0.15332641527056695,4.280924296379089,3.1077550768852236,1.9561859548091889,1.4924718618392945
63,0.7867069989442825,1.468451166152954,0.08407361097633839,2.235441732406616,2.728059983253479,0.6786848366260528,1.0745607137680053
64,2.0575950503349305,4.130731463432312,0.2507454723119736,5.888142657279968,6.268883895874024,2.1024368166923524,2.977344810962677
65,1.4850224673748016,3.293278956413269,0.15137327015399932,4.709893012046814,4.129173350334168,1.4503968894481658,2.001778411865234
66,1.4163122475147247,2.396065819263458,0.19723474532365798,4.750643229484558,3.4902280449867247,2.2200131177902223,1.8594935357570648
70,3.0176162719726562,3.0630698442459106,0.20290466994047165,4.315758728981018,5.009057545661927,1.4957551598548888,2.400768208503723
71,0.9319453001022339,1.764051580429077,0.09589545615017414,2.3020827531814576,3.7297339916229246,0.9133863985538483,1.2398354887962342
72,3.376259243488312,4.154306268692016,0.20781470388174056,5.296409320831299,5.221215081214905,1.8182269871234893,2.520903730392456
73,0.749974837899208,1.7873677968978883,0.16471892818808556,1.474756473302841,2.070629286766052,1.5746055603027345,1.1392096996307373
77,1.088495248556137,2.0953394412994384,0.12702592089772224,2.9147382378578186,3.643640863895416,1.2666590511798859,1.6730232894420625
78,1.1876319468021392,2.3070130705833436,0.11652839705348014,3.0257223725318907,4.37815227508545,1.3638507962226867,2.03320916891098
79,1.4783271431922913,2.6548550844192507,0.1294959545135498,4.276308751106262,4.481241917610168,1.4885708928108214,2.242542266845703
80,1.1252373814582826,2.4795588731765745,0.14176639094948768,3.3798850417137145,3.3485596418380736,0.9729033201932907,1.5105711102485657
81,0.48324485272169115,0.7153440207242966,0.01516125975176692,1.012615442276001,1.3372496962547302,0.37873412668704987,0.6757584571838379
82,0.39398973882198335,0.8234152257442474,0.034279904887080194,1.436314994096756,0.9982480227947235,0.32314332127571105,0.6487457811832428
83,0.535611879825592,1.539088785648346,0.1270947627723217,2.015599274635315,1.1198288798332214,0.4838703513145447,0.7792949855327607
84,1.9723684549331666,2.7072606682777405,0.11412495113909245,2.911936938762665,3.692874038219452,1.1749697208404541,1.7675609111785888
85,1.6522306263446809,3.366664743423462,0.1851043999195099,3.5770269513130186,4.943184018135071,1.6769800424575805,2.29247624874115
86,2.221127712726593,2.8785078048706056,0.10282337628304958,4.017082691192627,4.446960496902466,1.205236166715622,2.1649147629737855
87,1.7736225306987763,3.644072616100311,0.19765279218554496,3.6144906878471375,5.206427335739136,1.3620740115642547,2.506711483001709
88,0.9642982333898544,2.0870552182197573,0.08898470774292946,2.1619413256645204,2.94736887216568,1.1603118479251862,1.4462639212608337
89,2.5369134306907655,2.508251059055328,0.14259778782725335,2.8887932777404783,4.259203290939331,1.7032253801822663,2.2492056250572205
90,0.8002782374620437,1.44483984708786,0.10032423324882984,2.405775010585785,2.2882490277290346,0.6588695108890533,1.0673632800579071
91,2.3494710326194763,0.8754780143499374,0.02088272888213396,1.1155541360378265,1.4834602355957032,0.4667084112763405,0.7735169529914856
92,1.360334289073944,1.9161607205867768,0.12096151821315289,2.748974025249481,3.3290573239326475,1.2676709175109864,1.763376349210739
93,1.638229525089264,3.674036419391632,0.22401743233203888,4.057790446281433,4.603757739067078,1.262879478931427,2.3245651841163637
94,1.6609151721000672,2.411077785491943,0.14681398943066598,2.46708220243454,3.8501461148262024,1.1456196546554565,1.6679638862609862
95,2.0680718541145326,2.5653918266296385,0.10613872744143009,2.946998631954193,3.9496625304222106,1.246313363313675,1.9820365905761719
96,1.0584672570228577,2.0997684359550477,0.1219272579997778,2.6822410941123964,3.9722909688949586,0.9604701280593873,1.8999418318271637
97,1.195330548286438,2.6116223096847535,0.12192438319325448,3.011969268321991,3.1052579164505003,1.0722182154655457,1.4391845881938934
101,1.166416049003601,1.8189822912216187,0.057008448801934716,1.2119041621685027,3.153351438045502,0.706558746099472,1.1095498323440551
102,3.092108428478241,2.814781641960144,0.10721442252397537,2.5916513204574585,4.423317980766297,1.44019495844841,2.156368541717529
103,3.8237191438674927,2.9114768385887144,0.12969943583011628,2.4275498151779176,4.028693675994873,1.3985466003417968,2.0455965042114257
104,0.7678037285804749,2.766148602962494,0.0127656577154994,0.16124924272298813,1.2805908262729644,0.1164643045514822,0.14054534807801247
109,1.305944448709488,0.7531856238842011,0.007993097370490431,0.035477897711098196,0.5199387490749359,0.13202889561653136,0.18857962563633918
110,0.9562515884637832,0.16147525012493133,0.0010385750036220997,0.0389401787891984,0.19551710411906242,0.055442850291728976,0.14135250449180603
