"","n03-GC-1","n02-PGC-1","n07-GC-2","n17-M/TC-3","n06-Transition","n01-OSNs","n13-AstrocyteLike","n09-GC-3","n14-GC-7","n10-GC-4","n05-PGC-2","n18-EPL-IN","n04-Immature","n16-M/TC-2","n08-PGC-3","n11-GC-5","n12-GC-6","n15-M/TC-1"
"10450_10350",1.25988930626315e-07,8.83241432539633e-09,6.33529831959311e-08,0.0120524853432512,0.00828264650511374,0.00602048784659164,0.542444655611356,2.91268739851678e-07,7.88260009416275e-08,5.47189224381605e-10,1.84391889860416e-10,0.40218585360655,1.63390914177262e-07,1.43170343704579e-05,1.84025326740534e-08,5.12296124857902e-10,1.43501409611511e-10,0.0289988026028727
"10450_10450",2.00584792348715e-08,3.16817011842062e-09,3.60798675600683e-09,0.0131461480919809,0.00224640938593061,0.00226203397619542,0.509574870372324,5.78601498069159e-08,7.40859918975486e-09,6.5589289512456e-11,6.0867030766114e-11,0.440007774020932,2.36514044124849e-08,1.78641497515632e-05,1.40873190587298e-10,4.89099385214466e-11,1.61942785335105e-11,0.032744783915663
"10450_10550",5.52598395054969e-07,3.07962245205672e-07,3.24361857563116e-07,0.0134438996286538,0.0143544654343758,0.00311450629054006,0.553872611057416,4.06462543999003e-07,2.32514399584125e-07,1.93202134068299e-09,5.51934864256351e-10,0.378347943949559,9.69020319760259e-08,9.97742242981176e-07,1.2615590274041e-08,4.18901204316177e-09,1.54253907498242e-09,0.0368636342646408
"10450_10650",4.1253335072136e-07,8.23370645532174e-08,1.34214921404973e-06,0.0209855388354453,0.0300846673765142,0.00392120997858435,0.54818606462325,2.89872680415806e-06,1.34961087554295e-06,7.59747585758929e-09,5.75989092778883e-10,0.348021308765024,5.33122223565932e-07,2.02111225011024e-05,3.52963837110743e-08,1.24258627462618e-08,4.77079615043236e-09,0.0487743201526409
"10450_10750",1.18849853384298e-06,1.09201476380976e-06,3.49642550880498e-05,0.0184466807251035,0.0603515654147743,0.0112321827137281,0.564354515270297,8.13818650976974e-06,1.65692533702063e-05,8.2025649155131e-08,4.57475966688669e-09,0.302738784834549,4.727340021349e-06,4.28873290946307e-05,1.86572531624484e-07,1.79312040924025e-07,1.34047317156963e-07,0.0427661176318683
"10450_10850",7.81163827561496e-09,3.38202337562448e-10,9.85459102277908e-08,0.0137978818925692,0.0124095837390917,0.00352516921143348,0.554232930501451,4.12693993996946e-07,6.53105440109358e-08,5.62414578345876e-11,9.80249178742161e-13,0.364763588516863,1.17919812196716e-07,3.84535364751187e-07,5.0148023740829e-10,2.56160647564239e-10,3.37673469731955e-11,0.0512697581344961
"10450_10950",4.48143941054263e-10,2.58294980484533e-11,1.59935558228942e-09,0.0113692180795992,0.000582756903048599,0.00217204877787691,0.536814636629373,1.13400458704823e-07,3.42791965795539e-09,4.26348822394541e-12,2.36898777130626e-13,0.402157932386563,7.27861783033856e-08,8.96196369775747e-06,3.58956284538521e-10,1.4257063051329e-12,1.62623766170972e-13,0.0468942532069107
"10450_11050",6.88750064145514e-06,8.86873240963962e-06,0.000738284313135542,0.0482372222043818,0.0485648840400034,0.0134020461193657,0.616353433072648,0.000197860407857873,0.000726447532293272,8.07174314044216e-06,1.31263333571852e-07,0.190431430522643,0.000401911766790646,6.30519529568756e-05,3.7516102408356e-05,3.75780209561617e-05,3.71557144752331e-05,0.0807472189905593
"10450_11150",1.52502668686331e-05,0.000263750553268715,0.000283611395872789,0.0834042205427345,0.0142004130273993,0.070825000898398,0.494014670773066,0.000180021672580174,0.000566830783081612,5.57973449723727e-05,3.50009878746218e-06,0.222203626096518,1.95708368815631e-05,0.000125868723561327,6.5015770609244e-05,0.000290796066702382,0.000503714745593172,0.112978340403105
"10450_7750",1.80389223542244e-08,6.5766298627027e-07,0.103115816552091,0.000171916142686715,0.37632528011165,1.20234090872255e-06,0.0328904793891215,0.114826013212626,0.00865530367820745,0.000120280446403057,1.37690468244498e-06,0.351179826161941,1.41490443762436e-12,0.00119654619293099,7.99584162025177e-09,0.000991124724425657,0.007899858700018,0.00262429174314218
"10450_7850",1.1012493459027e-05,1.55122568117453e-05,0.0145049056009848,0.138478436392374,0.338737925985047,0.0328794456673418,0.103188958153752,0.00054867748665303,0.0390215040189308,1.03191569363002e-05,2.04895782626733e-05,0.235602772493409,0.0459115837164498,9.36522800956941e-05,2.85272168588239e-07,0.000870087530691628,0.000949386283841589,0.0491550456327899
"10450_7950",1.24639706783543e-05,9.56745943730308e-05,0.00746777578724274,0.0543645645107964,0.189390063571128,0.0244478824317104,0.410445660578468,3.22717322056662e-05,0.00642168272317899,5.9642321236166e-06,5.21737401091712e-08,0.265170059583751,3.75447095510276e-06,4.53332439322716e-05,7.26894906650111e-06,1.68039976109433e-05,0.000119046016397752,0.0419536774326411
"10450_8050",1.02657853458301e-05,2.69721975946595e-05,0.00201753326488639,0.0274419824466083,0.200275487443806,0.00644867949869446,0.491656144135003,0.00243408468738813,0.00464367634262489,8.63405560645823e-05,3.20049912423228e-05,0.202189856308362,0.000411290247143364,0.000213543925132648,1.05839960284619e-05,0.00103181097240821,0.000529850665472814,0.0605398925361933
"10450_8150",3.3065698568274e-06,1.19920629999619e-06,0.00182423432330207,0.0649711304071614,0.24271064011778,0.00653318857540809,0.377660822421231,5.62440916349082e-05,0.000202525322298025,2.69582565592436e-06,1.89421999348373e-07,0.268057874016757,9.29392217921299e-05,3.30718836934236e-06,2.93888149155234e-07,3.9345662570362e-05,4.82837049187644e-06,0.0378352353692427
"10450_8250",4.34108974260634e-07,2.61649841359225e-07,0.000364082579372082,0.0413543806809875,0.136993274351373,0.00631729419141556,0.527722873505805,4.11539304557634e-06,0.000138659715029833,2.92598795987994e-06,5.2401412983934e-08,0.265312472022074,1.0923156271065e-06,0.000122699939906289,3.86822990489012e-07,1.08726736373439e-05,1.08203679249611e-05,0.0216433012926225
"10450_8350",4.56798998176201e-11,0.441940645228423,0.0299729781123032,1.65178602490199e-05,8.43081851692379e-08,1.15886005531363e-10,1.95931583265235e-07,5.6978008025922e-19,0.52368759867588,3.14616836806281e-16,4.09225161521532e-18,0.00437813614920358,1.48777498241244e-25,1.21187059411411e-12,1.74039304305147e-19,1.20043529779234e-12,3.54677410941257e-09,3.84002342067399e-06
"10450_9450",2.19387590202026e-10,3.09125876143491e-14,7.00879722969272e-11,0.0141201732138605,6.75560062117579e-07,0.000151690800062241,0.698362432428527,3.57619345686381e-12,8.92383138973362e-12,6.54003467587566e-12,4.46848126840893e-14,0.266789035347997,0.0154737359979955,4.04707367656814e-09,7.00729102792178e-18,0.00088109984139373,3.06829913360143e-10,0.00422115214760743
"10450_9550",1.06390752149685e-06,3.73737403232569e-07,0.000387683545373209,0.034310237730318,0.0998209221732382,0.00617148248628866,0.594404031730096,2.09212731574867e-05,4.75636821346651e-05,1.34199132312645e-07,4.28567913948615e-09,0.224430898587154,0.000385793894514424,3.37088502113289e-05,4.1171351863518e-08,8.6402345426315e-07,1.0347654541526e-07,0.0399841712464258
"10450_9650",2.08967538516391e-06,3.45242842339647e-08,2.61369898698973e-06,0.0692899634627251,0.0300280943298228,0.0353060143988489,0.586923066947106,1.8913803275599e-07,3.55815401401865e-06,1.06198892706877e-08,6.06247317147857e-10,0.243651939196078,3.02678750058539e-06,0.00100061716953084,1.12063530817111e-08,3.92007819778464e-08,2.28220291310126e-08,0.0337887080623838
"10450_9750",3.91495626665096e-07,7.33814966130226e-07,4.51082328915077e-06,0.0411457515467156,0.0198856905185919,0.0186576035260713,0.599212298543144,8.65661325469296e-06,3.20814142033236e-06,8.55706986480842e-08,6.92593965807685e-09,0.228831823425813,0.000120838738002502,4.81955334973082e-05,1.01467726904542e-06,5.52882334917272e-07,2.57324338292312e-07,0.0920783798990275
"10450_9850",7.01509335070025e-09,5.91910827698849e-10,2.42687903921892e-07,0.0169003130674186,0.015237969661172,0.0118158694619227,0.569838170266148,2.28596972931681e-07,2.99164480718027e-07,1.0123571522522e-09,2.29512878268831e-11,0.326799422443171,1.25747355377798e-06,1.20528580129755e-06,2.58470255567519e-08,3.07899085830271e-10,8.08054866077906e-11,0.0594049870134124
"10450_9950",4.20884071330428e-10,4.79797290863354e-12,1.61322650858322e-09,0.0153177246721482,0.00101689915292845,0.00689637098175353,0.569606365220158,8.87326663185153e-09,1.12123660963674e-08,6.75902404500889e-13,2.46283850905502e-13,0.354549277787584,1.0249629711463e-07,3.85084379298399e-07,1.667683969711e-10,1.37785625472798e-12,8.51057962841643e-14,0.0526128523110562
"10550_10050",8.35606837292632e-07,1.19626624630697e-06,6.53613972028873e-07,0.0135302723346159,0.0132290452106019,0.0073191177993873,0.581960848721485,1.19291390378486e-06,8.27738948390769e-07,1.16556465109229e-08,5.8365830974833e-09,0.332239509970705,4.64772336888339e-06,2.09659888163758e-06,3.18215827300774e-07,9.43087304126296e-09,7.87684248247614e-09,0.0517094024852738
"10550_10150",1.42716901635589e-06,5.83954570023075e-07,2.98573019612833e-06,0.0259148410527383,0.0142790445369109,0.0108655754510886,0.577056608425623,4.87463591414118e-06,3.03039572972566e-06,7.22576297743536e-08,2.23246251953784e-09,0.316723972620905,1.25574877316914e-06,0.000377480209797097,1.75399987417558e-07,1.17995387255876e-07,3.47230360784863e-08,0.0547679174602335
"10550_10250",1.0528921139545e-07,4.37994739197664e-08,1.28879796453476e-08,0.00996647891026411,0.00160176450813891,0.00210139718964082,0.555122911461356,3.57950567198753e-07,3.49200180037857e-08,2.12127725345861e-09,6.26188308356221e-10,0.389006188699354,2.05394863141955e-07,2.25505040604874e-05,1.44562090216223e-08,5.00656662165422e-10,4.6824314074411e-10,0.0421779303124979
"10550_10350",2.74449568297071e-07,1.1647053810649e-07,1.6744136123441e-07,0.0373384772852888,0.00263487774245915,0.00492743844837277,0.544155078713353,2.30551858372488e-07,4.93020599094224e-07,5.83636128831853e-09,1.35553773144009e-08,0.364282027420498,3.25888389854489e-08,2.99906539432338e-05,1.94924858392012e-08,2.43216935292551e-08,1.9279622185451e-08,0.0466307127277804
"10550_10450",5.01299101139708e-08,6.63679442459068e-09,3.43038280671471e-08,0.0841978229882336,0.00208095675001071,0.00361382130317751,0.520667773539151,2.5133364105959e-07,1.42921682295406e-07,1.18552664959162e-09,3.22824684642106e-10,0.349510204402287,7.4925812075132e-09,6.00100482035274e-05,6.00007182114267e-09,7.2015018844048e-09,5.09512041873899e-09,0.0398688983454543
"10550_10550",2.17061830300395e-08,1.19057241450131e-08,5.06876641777905e-08,0.0294491860788065,0.00332955380227186,0.00316681385351292,0.532359772882389,7.22178962713665e-07,6.95724564394797e-08,1.58201685334423e-09,6.88859332204467e-10,0.393801157292419,8.14507722432367e-08,8.47219871293352e-06,2.5595350119407e-09,5.22761455653686e-09,7.69112296055174e-09,0.0378840686409771
"10550_10650",2.72305835284361e-09,8.181721850474e-10,2.22364259527939e-07,0.03013854753752,0.00843710449858534,0.00470898613345575,0.518232824364992,1.04500379278179e-07,1.5281155417723e-07,9.09304846014511e-11,4.57315500355001e-12,0.402487882117466,4.84471614879337e-09,1.83637221008888e-06,2.02091932915708e-10,6.47160142053506e-10,5.93678899955158e-10,0.0359923293751971
"10550_10750",3.9128488404442e-10,7.51007647432407e-11,1.50642502766962e-08,0.0222068138436101,0.00119985772952767,0.00583423527243078,0.524708183363959,3.99210757245762e-08,3.28157047941446e-08,5.14034130038778e-11,3.69518395718614e-12,0.413035237121782,9.75850800635606e-09,2.31122030291471e-07,3.69294294838611e-10,1.93738440000395e-10,3.27668251950541e-11,0.0330153428698376
"10550_10850",1.06219680388019e-10,1.2083939891237e-11,2.12233037541702e-09,0.00913297075961356,0.000401749702199891,0.00292849250926879,0.515137421067182,6.66573773682691e-09,3.03888949277096e-09,4.41749317212619e-13,1.2401136653718e-13,0.439354422471383,3.06467823427843e-09,1.64449216123475e-07,8.37497371890153e-12,1.89986611442453e-12,1.98660065421554e-13,0.0330447640201585
"10550_10950",8.61271781179782e-08,7.79859425110666e-09,1.17748587162236e-07,0.0152081726052314,0.00828320904729982,0.00942625706496404,0.557473131451404,7.17678442101572e-07,1.22978289053916e-07,1.91992824401436e-10,1.73484779397712e-11,0.371375569899547,6.13745146176408e-07,7.3897499182323e-06,2.29017486435738e-09,5.83128503378563e-10,2.42427380301993e-10,0.038224600780327
"10550_11050",1.90532465029432e-07,2.31622057943542e-08,3.00253683522385e-07,0.0208249317314122,0.00644292082385829,0.00863138034879019,0.573351852309107,1.29846083792925e-06,9.90770519349818e-07,2.41583196620208e-09,1.44171377351783e-10,0.324763734558398,5.45831150211819e-06,5.76373197113906e-05,7.60690535348244e-09,3.03627726216491e-09,2.35070706684708e-10,0.0659192679792523
"10550_11150",1.18774337752988e-06,9.82638178009124e-07,6.50762050877142e-06,0.0270497227551841,0.0123580596562047,0.0202103178454117,0.599018236228727,5.31524259282588e-06,1.1358888686708e-05,1.90319028523898e-08,2.46221676889312e-09,0.257642597522529,3.20410019696946e-06,0.000493381052795274,1.54228135950496e-07,2.58148897712874e-08,3.82216781214718e-09,0.0831989233462945
"10550_11250",2.70329097749506e-06,2.84149398383921e-05,0.000239798172652226,0.0170330007473548,0.0372620332965669,0.00742212229725037,0.57406215725627,6.10861843166758e-07,0.00135938723362468,1.04479279781686e-08,1.08340704698071e-08,0.287105029635051,7.45223255926156e-08,3.33720962596305e-05,5.25249247864843e-09,1.36074486610445e-07,5.37288409915579e-08,0.075451079312168
"10550_7550",5.19124343275100e-11,3.30924815101405e-12,0.00077747230894798,0.00119876570137696,0.457426377819423,0.0259429570383694,0.495166391612437,0.000180626256390351,8.91343297567078e-05,6.89955768728277e-08,0.0144170479580862,0.00235082201315186,1.46177349941615e-05,3.1146022142744e-07,2.37374389800648e-06,5.55507751069699e-05,1.32808722723649e-05,0.00236420132476917
"10550_7650",8.3738640991038e-06,5.1034321794581e-07,0.000191475281967927,0.0313209595913039,0.15936677464733,0.0223115476137475,0.531840367481308,9.25552575400472e-05,9.40201563400747e-05,1.28981341714498e-05,2.40993732601609e-06,0.215896071864841,4.00995894278366e-05,9.16463569530625e-05,2.15713638150516e-06,1.68590991439723e-05,0.000108404486601263,0.0386028691583
"10550_7750",4.58896992775911e-06,1.01409785282028e-06,0.000177239508196592,0.0412139848415265,0.102946369000216,0.00886574600355738,0.569927129558878,3.01380695078394e-05,0.000129921318407167,2.17816196153677e-06,3.30842081212052e-08,0.221483597715156,0.000309275098514755,3.1393371747159e-05,2.02131669800354e-06,1.11364188385267e-05,2.17561250575266e-06,0.0548620578522995
