"cell_ID","n03-GC-1","n02-PGC-1","n07-GC-2","n17-M/TC-3","n06-Transition","n01-OSNs","n13-AstrocyteLike","n09-GC-3","n14-GC-7","n10-GC-4","n05-PGC-2","n18-EPL-IN","n04-Immature","n16-M/TC-2","n08-PGC-3","n11-GC-5","n12-GC-6","n15-M/TC-1"
"10450_10750",0.317592674862436,5.84870852708123e-05,0.00488417139139033,0.270832700943098,0.406631965717805,0,0,0,0,0,0,0,0,0,0,0,0,0
"10450_10850",0,0.103331927958809,0,0.0851124551860935,0,4.96158454123729e-06,0.514916104114394,0.0807771171412897,0,0,0,0,0,0,0,0,0.0376433541424807,0.178214079872392
"10450_10950",0.249154758693458,0,0.0560563845990707,0.00103100562018812,0,0,0,0.402715653300611,0,0,0,0,0,0.291042197786672,0,0,0,0
"10450_11050",0,0.0951785769911055,0,0.299192983644924,0,0.225420321018777,0,0.210497854035458,0,0,0,0,0,0,0,0,0.149746935138494,0.0199633291712413
"10450_11150",0,0.0104182869101905,0,0.6988650552954,0,3.20556674959851e-05,0,0.183647371054765,0.0456053507790226,1.64820218965446e-19,0,0,0,0,0,0,0,0.0614318802931268
"10450_7750",0,0,0,0,4.88902252948302e-18,0,0,0,0,0,0.674450819684016,0,0,0,0,0.188853809140424,0,0.136695371175561
"10450_7850",0.178458244273946,0,0,0.000224225047319072,0,0,0,0.12225171229609,0,0,0,6.69628221517098e-18,0,0.699065818382645,0,0,0,0
"10450_7950",0,0,0.568308862043807,0,0,0.00208917811425263,0,0,0,0,0,0,0.044335291895235,0.293536170113497,0,0,0,0.0917304978332087
"10450_8050",0,0.000999104872068525,0,0.153464963405332,0,0,0.337579978543527,0.250262268206011,0,0,0,0,0,0,0,0,0.180156202872848,0.0775374821002144
"10450_8150",0.203481603783848,0,0.000324377152217714,0.145567197157703,0.508157606657437,0,0,0,0.0343596394239778,0,0,0,0,0,0,-1.33308349257613e-21,0.108109575824817,0
"10450_8250",0,0,0,0,0,0,0,0,0,0.552961318203852,0,0,0,0,0,0.0027887366019778,0.390686115406487,0.0535638297876833
"10450_8350",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10450_9450",0,0,0.517041326812023,0,9.19916083052346e-19,0,0,0,0,0,0,0,0.482958673187977,0,0,0,0,0
"10450_9550",0,0,-3.35673956148129e-18,0,0.485799477498549,0.247728939400694,0,0,0,0,0,0,0,0.266471583100757,0,0,0,0
"10450_9650",0,0,0,0.0899677881118753,0,0.640936225193694,0,0,0,0,0,0,0,0,0,0,0,0.26909598669443
"10450_9750",0,0,0,0,0,0.221649777609718,0.110429335386213,0.158013281294593,0,0,0,0,0,0,0,0,-2.5834806461924e-19,0.509907605709476
"10450_9850",0,0.0836001696214812,0,0,0.00310386553559139,0.433919194738744,0,0.347922180655188,0,0,0,0,0,0,0,0,0,0.131454589448996
"10450_9950",0,0.125272306020804,0,0.224675406936757,0.0897344236819068,0.407655334516066,0,0.152662528844466,0,0,0,0,0,0,0,0,0,0
"10550_10050",0,0.348033216620551,0,0.106150414498815,6.62109523940605e-18,0.429966667113279,0,0,0.0356012669400462,0,0,-7.20887507701671e-18,0,0,0,0,0,0.080248434827309
"10550_10150",0.0102927925656127,0.140544597806818,0,0.319089962218498,0,0.248502632876329,0,0,0.186978753042779,0,0,0,0,0,0,0,0.00120594298516926,0.0933853185047941
"10550_10250",0,0.258732588219527,0,0.215002178421197,0,0,0,0.0884888380987261,0,0,0,0.0810596085161445,0,0.254363171303135,0,0,0.102353615441271,0
"10550_10350",0,0.134200120891474,0,0.672878188508892,0,0,0,0,0,0,0.0979877542990366,0,0,0,0,0,0.0443025223563375,0.0506314139442593
"10550_10450",0.0984046310344847,0,0,0.783119300534496,0,0,0,0,0,0,0,0,0,0,0,0.00105971542700964,0,0.117416353004009
"10550_10550",0.109214718098711,0.000423194328207596,0,0.365270522574396,0,0,0,0.0563709650331096,0,0,0,0.280232963678876,0,0,0,0,0.093979015366426,0.0945086209202736
"10550_10650",0,0.143930375932465,0,0.328562826548925,0,0,0,0.104659738768215,0,0.0449546661797348,0,0.0970935552831443,0,0,0,0,0.258728578321834,0.0220702589656821
"10550_10750",0,0.0846519492101629,0,0.525349521266262,0,0,0,0.142298569389543,0,0,0,0,0,0,0,0.247699960134032,0,0
"10550_10850",0,0.212800225800169,0,0.253671440022015,0,0,0,0.144283671442844,0,0,0,0.167351021563337,0,0,0,0,0.221893641171635,0
"10550_10950",0,0.206054896077967,0,0.0646285733628048,-1.18207525814197e-18,0.331601088583627,0,0.218552812144968,0,0,0,0,0,0.179162629830634,0,0,0,6.87287926200849e-20
"10550_11050",0.238764324940316,0,0.00223850571831782,0.222858594774079,0.213269183457691,0.0736057059391236,0,0,0,0,0,0,0,0.0779566767256808,0,0,0,0.171307008444792
"10550_11150",0,0.256379774892325,0.000898796520065339,0.0435494645858503,0,0.0261680382333671,0,0.102865600964386,0.203892256838451,0,0,0,0,0.165611977238383,0,0,0,0.200634090727171
"10550_11250",0,0,0,0,0.00321127008015122,0,0,0,0.621910616819458,0,0,0,0,0,0,0,0,0.374878113100391
"10550_7550",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10550_7650",0,0,0,0.615111824255939,6.63150725180029e-05,0,0.00121116839638181,0.343364638299998,0,0,0,0,0,0,0,0,0,0.0402460539751627
"10550_7750",0.22117352482214,-1.4645859770158e-20,0,0.20072647581714,0.174491124839636,0,0.377000287192532,0.0266085873285522,0,0,0,0,0,0,0,0,0,0
"10550_7850",0,0.0823101599861861,0.000460477253794697,0.185404677633949,0.316424912822566,0,0,0.290912693054744,0.0897934270435986,0,0,0,0,0,0,0.0346871291814823,6.52302367991091e-06,0
"10550_7950",0,0.179784792960881,0,0.242697153088742,0,0.260346099033147,0,0.17948670045823,0,0,0,0,0,0,0,0.0127330685237977,0.101659261373635,0.0232929245615666
"10550_8050",0,0.112845529487144,0,0.190135962876449,0.31037192720453,0.386646580431876,0,0,0,0,0,0,0,0,0,0,0,0
"10550_8150",0,0,0,0.179517506893489,5.25291751123103e-18,0.000562955747861109,0.490839558759307,0.142165553373807,0,0,0,0,0,0,0,0,0.0732131374827593,0.113701287742776
"10550_8250",0,0,8.82444414928986e-18,0.108705300690586,0.406385582892759,0.409085707019291,0,0.0535625644007582,0,0,0,0.0222608449966061,0,0,0,0,0,0
"10550_8350",0.107267401567327,0,0,0.125366679441065,1.72746880876032e-18,0.553799971829719,0,0.0725856309368661,0,0,0,0,0,0,0,0,0,0.140980316225023
"10550_8450",0,0.648996196837427,0,0.0384696248492519,0,0.0313231700603776,0,0,0.196191404008307,0,0,0,0,0,0,0,0.00051516070563654,0.0845044435390001
"10550_8550",0,0,-3.12648190870215e-18,0,0,0.634020779805823,0,0,0.000747000202850281,0,0,0,0,0.26089207404853,0,0,0,0.104340145942796
"10550_8650",0,0,0,0.311351718048302,0,0.650441116387056,0,0,0,0,0,0,0,0,0,0,0,0.0382071655646423
"10550_8750",0,0,0,0.000316952056267668,0,0.164869799348271,0,0.139381299057585,0,0,0,0,-8.46625949335281e-22,0,0.695431949537876,0,0,0
"10550_8850",0,0,0,0,0,0.481215884156668,0,0.517066715212539,-2.65164904007218e-18,0,0,0,0,0,0,0.00171740063079318,0,0
"10550_8950",0,0,0,0,-1.86911018924181e-17,0.892072632297096,0,0,0,0,0,0,0,0,0,0,0,0.107927367702904
"10550_9250",8.37617898777987e-06,0,0,0,0,0,0.998583105518124,0,5.12277527599114e-18,0,0,0,0.00140851830288856,0,0,0,0,0
"10550_9350",0,0,0,0,0,0.674388723437869,0,0,6.3481976725445e-18,0,0,0,0,0,0,0,0,0.325611276562131
"10550_9450",0,0,0,0.0408568351099334,2.55274940657986e-18,0.653685302809696,0,0.137173787758894,0,0,0,0,0,0,0,0,0,0.168284074321477
"10550_9550",0,0,0.000600083992533311,0.229683211438857,0,0.504743353427678,0,0.0967266317508981,0,0,0,0,0,0,0,0,0,0.168246719390033
"10550_9650",0,0,0,0.0490987024349925,0,0.065006690415878,0,0.885894607149129,-8.46064340186729e-18,0,0,0,0,0,0,0,0,0
"10550_9750",0,0,0.592692347571531,2.63300411620226e-20,0,0.0160048510270971,0,0,0,0,0,0,0,0.314762341811913,0,0.0765404595894597,0,0
"10550_9850",0,0,0.148303114217847,0.142207477061155,0,0.277448611659789,0,0.43204079706121,0,0,0,0,0,0,0,0,0,0
"10550_9950",0,0.152099930983541,0.110224744871891,0.116717731201181,0.0443729895925733,0.45189551835797,0,0.124689084992844,0,0,0,0,0,0,0,0,0,0
"10650_10050",0.335203294416057,0.101560558752139,0,0.199287705582812,-1.49660524321906e-19,0.125659390668584,0,0,0.179873973129542,0,0,0,0,0,0,0,0,0.0584150774508662
"10650_10150",0,0.159174144570812,0,0.321487055471069,0,0.163485980208945,0,0.338175793239377,0,0,0,0,0,0,0,0,0,0.0176770265097968
"10650_10250",0,0.0568326241431874,0.0235185044096958,0.532070895865704,0,0,0,0.169188860366554,0,0,0,0,0,0.15743665908276,0,0,0.00222646385636153,0.058725992275738
"10650_10350",0,0.0324794300784763,0,0.380013976507298,0,0,0,0.175255639494272,0,0,0,0.211483405153055,0,0,0,0,0.200767548766899,0
"10650_10450",0,0.0901396331582608,1.06153530223348e-18,0.581914374811149,0.323213755533983,0,0,0,0,0,0,0,0,0,0,0,0.00473223649660741,0
"10650_10550",0,0.0956271274557438,0.169918813051204,0.44407704136602,0,0,0,0.139706671608434,0,0,0,0,0,0,0,0.126295380609973,0.0230790553997983,0.00129591050882758
"10650_10650",0,0,0,0.600609315275848,0,0,0,0.16936210511962,0,0,0,0.000386673009606658,0,0,0,0.0244850452525723,0,0.205156861342353
"10650_10750",0,0.0895078754670976,0.144109903905194,0.349018064532564,0,0,0,0,0,0,0,0.258244917088748,0,0,0,0,0.0717547575306492,0.0873644814757471
"10650_10850",0,0.060933456750391,0.0661422604166109,0.434756675931298,0,0,0,0.200968731033258,0,0,0,0,0,0,0,0,0.163017393093438,0.0741814827750046
"10650_10950",0,0.0757584735448645,0,0.274446388735953,0.0955683634972755,0.26247603174999,0,0.230516995988962,0,0,0,0,0,0,0,0,0,0.0612337464829551
"10650_11050",0,0.112424379976707,0,0.570145114987587,0.089679050170884,0,0,0.1380205306535,0,0,0,0,0,0,0,0,0.0897309242113227,0
"10650_11150",0.290480237637359,0.0873378984468506,0,0.427680691156877,0,0,0,0.0469865269007268,0,0,0,3.30131760562971e-19,0,0,0,0,0.0921939221121562,0.0553207237460305
"10650_11250",0.332428249337957,0,0.00176908258195264,0.111003370039906,0.322212860296525,0.086900483674144,0,0.145685954069516,0,0,0,0,0,0,0,0,0,0
"10650_11350",0,0,0,0,0,0.321847092943566,0,0,0,0,0,0,0,0,0,0.324255268410121,0,0.353897638646313
"10650_7450",0,0,0,0.267677736483604,0,0.379671139195327,0,0,0,0,0,0,0,0,0.0170418196223101,0,0.283554449380539,0.0520548553182198
"10650_7550",0,0.131310620411998,0.00927596245276703,-2.15512758723884e-18,0,1.01619580128156e-18,0.700860774058252,0.000604494908625878,0.0461634212580618,0,0,0,0,0,0,0,0,0.111784726910295
"10650_7650",0,0.0368803299295641,0.0420846376363536,0.152927626493457,0,0.30508957312927,0,0.156647680701515,0.0948480398111352,0,0,0,0,0,0,0,0,0.211522112298705
"10650_7750",0,0.293162794050548,0.0926951628985192,0.0976308439706006,7.53664873907266e-19,0,0,0.516511199080332,0,0,0,0,0,0,0,0,0,0
"10650_7850",0,0.132762713190747,0.000231890540424781,0.239827849836792,1.97016392477654e-19,0.0313969836967226,0,0.198405522002915,0.299369764511135,0,0,0,0,0,0,0,0.0525973909001835,0.0454078853210801
"10650_7950",0,0.097814563840637,-4.67361912066892e-22,0.145100930381842,0.182049716468581,0.268370125987099,0,0.108115423945247,0.160767082970749,0,0,0,0,0,0,0,0,0.0377821564058436
"10650_8050",0,0.0504668222427187,0,0.0468698676090082,0.0239417501261274,0.339985197176249,0,0.108065305851931,0,0,0,0.0135005729154966,0,0.180599759906214,0.172617989693887,0,0.0639527344783681,0
"10650_8150",0,0.00832230559718057,0,0.209540285677178,0,0.456709251870084,0,0.125558345751223,0,0,0,0,0,0,0,0,0.108722109287964,0.0911477018163705
"10650_8250",0.209072735823357,0.0194935707940568,0,0.182456939220161,-1.1836570121513e-18,0.320109667710253,0.00340447361797762,0.143662813947403,9.24395175188044e-05,0,0,0,0,0,0,0,0,0.121707359369273
"10650_8350",0,0.075425148691851,0,0.215562904128716,0,0.275368859702818,0,0.209785421529003,0,0,0,0,0,0,0,0,0.128036169911376,0.0958214960362358
"10650_8450",0,0.147556799056352,0,0.179991193524083,6.46159857960403e-19,0.0935160536246148,0.348156383727568,0.230745446208997,0,0,0,0,0,0,0,3.41238583856286e-05,0,0
"10650_8550",0.18555606111344,0,0.0599046062399869,0.0813710631471994,0,0.199035584172332,0,0.266640961971478,0,0,0,0,0,0,0,0,0,0.207491723355564
"10650_8650",0,0.112473628127673,0.201577444112182,0.13004933953997,0,0.375964211243478,0,0.082597614372507,0,0,0,0.0475706452781769,0,0,0,0,0,0.0497671173260129
"10650_8750",0,0,0.0326536242738233,0,0,0.669150704506999,0,0.110811865705369,0,0,0,0,0,0,0,0,0,0.187383805513809
"10650_8850",0,0,0,0.136755815761429,0.0329761534493127,0.386208662750481,0,0.444059368038776,0,0,0,0,0,0,0,0,0,0
"10650_8950",0.118083578723489,5.24294198924642e-19,0.139602642744352,0.230110189512117,0,0.191866165348131,0,0.226957229656424,0,0,0,0,0,0,0,0,0,0.0933801940154875
"10650_9050",0,-1.38260575159535e-18,0,0,2.74478661959601e-18,0.563709665322568,0,0,0,0,0,0,0,0,0,0,0,0.436290334677432
"10650_9150",0,0,0,0.380279162308671,0.356082540259657,0,0,0,0,0,0,0,0,0,0,0,0,0.263638297431673
"10650_9250",0,0.188636393068797,0.00187947919950092,0.0238189449433246,0,0.461247751964453,0,0.0174190402753363,0,0,0,0.068695545751674,0,0,0,0,0,0.238302844796914
"10650_9350",0.049959511001028,0,0,0,-5.1698265934287e-18,0.770049968121666,0,8.16216196106927e-19,0,0,0,0,0,0.134044688823565,0,0,0,0.0459458320537404
"10650_9450",0.12374621303936,0,0.00265601588935258,0,-5.61729718163187e-19,0.448650124162611,0,0,0,0,0,0,0,0.0222208347066079,0,0,0,0.402726812202069
"10650_9550",0.0908641690679017,0,0.0950441435177172,0.11744514217569,-9.18452780490721e-18,0.590110010019649,0,0.0490483456211555,0,0,0,0,0,0,0,0,0,0.0574881895978864
"10650_9650",0,0.160752885289869,0.00197344197325474,0,0.0970623296806936,0.505014432308589,0,0.100720297976713,0,0,0,-2.78952206524973e-19,0,0,0,0,0,0.134476612770881
"10650_9750",0,0.132730873537929,0,0,-6.32228245078232e-19,0.747352574870939,0,0,0,0,0,0,0,0,0,0,0,0.119916551591133
"10650_9850",0.329928970989953,0,7.62700513043426e-20,0.0451441672850985,0.414726573307278,0.21020028841767,0,3.88893408705039e-21,0,0,0,0,0,0,0,0,0,0
"10650_9950",0,0.340827504341267,0,0.174430906973354,0,0.213193644595145,0,0,0,0,0,0.129643231414494,0,0,0,0,0,0.141904712675739
"10750_10050",0,0.160185658764562,0,0.627205506448388,0.00369764325279385,0,0,0,0,0,0,0.0178740276991416,0,0,0,0,0,0.191037163835114
"10750_10150",0,0.0600428213774061,0,0.73830161844294,0,0,0,0.0425588255761767,0,0,0,0,0,0,0,0.119714602920579,0.00197758501468034,0.0374045466682177
"10750_10250",0,0.0265696143661005,0,0.614366146636582,0,0,0,0.129781074841878,0,0,0,0,0,0,0,0.190252844610567,0.0390303195448726,0
"10750_10350",0,0,0,0.383806836768638,0,0,0,0.184025803055731,0,0,0,0,0,0.247343187568325,0,0.0617178434406889,0.000449848837304807,0.122656480329312
"10750_10450",0.00740310559150698,0.0562855748603457,0,0.649062494786361,0,0,0,0,0,0,0,0,0,0,0,0.193275822686481,0.00246067953463383,0.0915123225406714
"10750_10550",0,0,0,0.741454951691436,0,0,0,0.105495583442165,0,0,0,0,0,0,0,0.102579585441764,0,0.0504698794246351
"10750_10650",0.0485734651613193,0,0,0.730903004377161,0,0,0,0.124242085883984,0,0,0,0,0,0,0,0,0.0962814445775364,0
"10750_10750",0,0,0,0.479737171991508,0,0,0,0.213947295439411,0,0,0,0,0,0,0,0,0.306315532569081,0
"10750_10850",0,0,0.117447403019916,0.169272309451906,0,0,0,0,0,0,0,0,0,0,0,0.580240610572254,0,0.133039676955925
"10750_10950",0,0.147163319958968,0.29780890387252,0.243673190723628,0,0,0,0.237392704887098,0,0,0,0,0,0,0,6.06481952799662e-05,0.0739012323625062,0
"10750_11050",0,0.0346313785907242,0,0.777537298870788,0,0,0,0.153452620430051,0,0,0,0,0,0,0,0,0.0343787021084376,7.40263877778665e-19
"10750_11150",0,0.226233881160988,0,0.431622810094212,0,0.0751184058265491,0,0.101776317806152,0,0,0,0.02423602102177,0,0,0,0,0.073171669196237,0.0678408948940915
"10750_11250",0.431485888234522,-5.45346569964616e-19,0,0.239661473703386,0.158694634139384,0,0,0.170158003922708,0,0,0,0,0,0,0,0,0,0
"10750_11350",0.0902206636721471,0.213752873285018,0,0,-5.17942315716574e-19,0.21749555398726,0,0.00520360575388432,0.189218250335353,-2.15325688860513e-20,0,0,0,0,0,0,0,0.284109052966338
"10750_11450",0,0.151275411806888,0,0,0,0.413647463510857,0.00192632835123933,0,0,0,0,0.0705826974895195,0,0,0,0,0,0.362568098841496
"10750_7250",0,0,-3.29139263325277e-18,0.00202304664513781,0,0,0,0.343534940657681,0.654442012697182,0,0,0,0,0,0,0,0,0
"10750_7350",0,0,0,0.0818297738657761,0,0.729992610970324,0,0.00851962776351175,1.69598070450098e-18,0,0,0,0,0,0,0.000982348792778312,0,0.17867563860761
"10750_7450",0.161236913948871,0,0.000246975235113474,1.0935699568854e-18,0.586318154235508,0.0460496834830864,0,1.19158177300574e-05,0.00572348830898562,0,0,0,0,0.200412868970706,0,0,0,0
"10750_7550",0,0.148432028507045,0.0308136857220071,0.0389010365993297,0,0.0830628059132901,0.482809476713148,0.0894521635282906,0.00130998940029429,0,0,0,0,0.118736567421533,0,0,0,0.00648224619506134
"10750_7650",0.148511548781756,0.039585142196352,0,0.0387482627239472,0,0,0.389589142116829,0.14372378885083,0,0,0,0,0,0,0,0,0.239842115330286,0
"10750_7750",0,0.12492617008732,0,0.275128604467962,0,0.0629126831658009,0,0.168604082780457,0,0,0,0,0,0,0,0,0.36842845949846,0
"10750_7850",0.199453659815266,0.0239220698328619,0.0182232468017612,0.116550349564121,0,0,0,0.0370933221308261,0,0,0,0.379518866021137,0,0.122112162536458,0,0,0.0142008453306842,0.0889254779668832
"10750_7950",0,0.0239148765341774,0,2.11009875454594e-05,0,0,0.422573134657365,0.0607485265394619,0.195362403874006,0,0,0,0,0.27323780066654,0,0.0241421567409038,0,0
"10750_8050",0.33510757688466,0.0754859490913868,0,0.186155507242247,0,0,0,0,0,0,0,0.25135119473366,0,0,0,0,0.0853024798944579,0.0665972921535873
"10750_8150",0,0.0876283330946558,0.0140090188750131,0.135761853986092,0.0826969942653737,0.370440839602264,0,0.113522080656797,0,0,0,0.0112321037528541,0,0.10151904858279,0,0,0.064828012567469,0.0183617146166912
"10750_8250",0,0.172159419642486,0,0.282375745077163,0,0.164204801868277,0,0,0.276405968944224,0,0,0,0,0,0,0,0.00193670805512192,0.102917356412728
"10750_8350",0,0.403332378339051,0,0.147118525106022,1.38809728126595e-19,0,0,0.449549096554927,0,0,0,0,0,0,0,0,0,0
"10750_8450",0,0.465921511085014,0,0.525081893726951,-1.99144706179801e-18,0,0,0,0,0,0,0,0,0,0,0,0,0.00899659518803459
"10750_8550",0,0.292981754957323,1.78764015245567e-20,0.126129778937811,0.191377464333823,0.117803597606359,0,0,0,0,0,0,0,0,0,0,0.106588241892915,0.165119162271769
"10750_8650",0,1.62739724431744e-07,0,0.0540061033506386,-3.0498408130637e-18,0.071038310556155,0.198136390012158,0.14852319039501,0.377066201966625,0,0,0,0,0,0,0,0.00779021669930797,0.143439424280381
"10750_8750",0,0,0.00149814326634889,0.135120726928412,0,0.644136224499941,0,0.161294215457136,0,0,0,0,0,0.0536819870490321,0,0,0,0.00426870279912941
"10750_8850",0,0.0883735148419952,0.132316474485287,0,0.028445837348769,0.626772646348732,0,0,0,0,0,0,0,0,0,0,0,0.124091526975217
"10750_8950",0,0.0815954962995154,0,0.0145730623366215,0.308142791539271,0.460319601354378,0,0,0,0,0,0.135369048470214,0,0,0,0,0,0
"10750_9050",0.163387380448596,0,0,0.345559077192841,0.220701248733206,0.149066370571444,0,0.121285923053913,0,0,0,0,0,0,0,0,0,0
"10750_9150",0,0,0,0,0,0.0367017088573001,0,0.22107769322321,0,0,0,0,0,0.72747953525464,0,0,0.0147410626648503,0
"10750_9250",0,0,0,0,0.000346673087498438,0.895500412523615,0,0,-1.36006793432768e-18,0,0,0,0,0.104152914388886,0,0,0,0
"10750_9350",0,0,0,0.142410892253991,0.00404922815332667,0.70833589617548,0,0.0523533393789552,0,0,0,0,0,0,0,0,0.0928506440382478,7.45309306992643e-19
