"cell_ID","iNeuron","eNeuron","Olig","microglia","endo_mural","astrocytes"
"0",0,0.503475688168893,0,0,0,0.496524311831107
"1",0.139432373983405,0.294969127239927,0.0221431076308079,0,0,0.54345539114586
"2",0,0.324213768381432,0.00739357180640055,0,0,0.668392659812168
"3",0.186719785963631,0.267411327870902,0.0921650313767525,0,0,0.453703854788715
"7",0,0.870113420548459,0.129886579451541,0,0,0
"8",0.153729792934914,0.472567523714882,0.132627263766851,0,0,0.241075419583352
"9",0,0.765321291185048,0.075219164913191,0,0,0.159459543901761
"10",0.154654805061048,0.644686626045552,0.0578978442428562,0,0,0.142760724650544
"14",0.0385414139782468,0.762364044028402,0.105592110447096,0,0,0.0935024315462548
"15",0.202286556631815,0.550698767154388,0.107615513031274,0,0,0.139399163182524
"16",0,0.81543699010481,0.0744243165776385,0,0,0.110138693317552
"17",0.0830447739681536,0.758992511817785,0.0358190471724248,0,0,0.122143667041637
"21",0.0609957399849659,0.72563626445831,0.114189530455318,0,0,0.0991784651014055
"22",0.0539154498849602,0.785329749231748,0.0534089894920925,0,0,0.1073458113912
"23",0.183587493929646,0.632879373468795,0.100991892382596,0,0,0.0825412402189633
"24",0,0.869885886208395,0,0,0,0.130114113791605
"28",0.0213286739725609,0.598892878451164,0.0880755450804496,0,0,0.291702902495826
"29",0.0397354061562354,0.726320613551018,0.0731020919838895,0,0,0.160841888308857
"30",0.101740109502585,0.653950369195359,0.0703947888615773,0,0,0.173914732440479
"31",0,0.815484427779104,0.0166419817172097,0,0,0.167873590503687
"35",0.0888077095474363,0.72473375242208,0.114753428574891,0,0,0.0717051094555932
"36",0.0241317019709853,0.760947705407086,0.0639814109143057,0,0,0.150939181707623
"37",0.0792250396149698,0.712836550121212,0.0346633258110059,0,0,0.173275084452812
"38",0,0.667444133190049,0.0288487142611116,0,0,0.30370715254884
"42",0.0546655593804198,0.656926122650776,0.0713627986506587,0,0,0.217045519318145
"43",0.0960592884459997,0.63748330102177,0.0865445959876683,0,0,0.179912814544562
"44",0,0.785194119695647,0.0450723766730905,0,0,0.169733503631262
"45",0,0.759006963132101,0,0,0,0.240993036867899
"49",0.154195894800342,0.649804906699942,0.0552086521914434,0,0,0.140790546308273
"50",0.0707937318289948,0.690468229190148,0.0961486080810109,0,0,0.142589430899847
"51",0.0560881853725244,0.703197890115856,0.0864592051063187,0,0,0.154254719405301
"52",0.108092854874071,0.648227138367758,0,0,0,0.243680006758171
"56",0.0377261619932798,0.631205213439499,0,0,0,0.331068624567221
"57",0,0.746231019592241,0.0583548329869925,0,0,0.195414147420767
"58",0.0998435409310667,0.590870990024128,0,0,0,0.309285469044805
"59",0.0736871429513812,0.79101100059388,0,0,0,0.135301856454738
"63",0.0495986264625688,0.75904634403445,0.037448709039406,0,0,0.153906320463575
"64",0.0597984707151681,0.756088800465384,0.0231799827191061,0,0,0.160932746100342
"65",0.0762513140213583,0.71277896562046,0.0222471348201853,0,0,0.188722585537996
"66",0.0975144564441308,0.718253920686255,0.0339305948176468,0,0,0.150301028051967
"70",0.0377599306167347,0.597013274121254,0.238352473621687,0,0,0.126874321640324
"71",0.0766360094718034,0.587138803440833,0.050766055286485,0,0,0.285459131800878
"72",0,0.623279987463407,0.141134392172431,0,0,0.235585620364163
"73",0.33854039708098,0.314618846794733,0.0560800977854241,0,0,0.290760658338862
"77",0.183015158156543,0.658036792566366,0.0420235758735309,0,0,0.11692447340356
"78",0.169205591335657,0.601068169377137,0.0715971247553589,0,0,0.158129114531848
"79",0.103889393468574,0.776567304954793,0.0570031248162435,0,0,0.0625401767603901
"80",0.0911169851985831,0.708332497476206,0,0,0,0.200550517325211
"81",0.0487479265376847,0.753880473296986,0.0885593676340065,0,0,0.108812232531323
"82",0,0.80671074162894,0.0119937563004964,0,0,0.181295502070563
"83",0,0.725697260713064,0.0399185270945594,0,0,0.234384212192377
"84",0.1061114152153,0.505896486874392,0.141096668422428,0,0,0.24689542948788
"85",0.165519155803122,0.543462277278614,0.0589189449805236,0,0,0.232099621937741
"86",0,0.743452460894725,0.163933021190257,0,0,0.0926145179150174
"87",0,0.715683269015827,0.0585069246301821,0,0,0.22580980635399
"88",0.217735576131979,0.563908624739588,0.0463849898613262,0,0,0.171970809267106
"89",0.0768625020632892,0.577623946454542,0.274982685097206,0,0,0.070530866384963
"90",0.0910376300785464,0.756205223586952,0.0821396663178066,0,0,0.0706174800166949
"91",0,0.447255392300703,0.504385675909961,0,0,0.0483589317893361
"92",0.108853519787999,0.652334387540331,0.135473314761441,0,0,0.103338777910229
"93",0,0.662139660901959,0.022460499462048,0,0,0.315399839635993
"94",0,0.664831218871346,0.11579461679567,0,0,0.219374164332984
"95",0.0298649621510931,0.568400521663808,0.173235856142225,0,0,0.228498660042875
"96",0.0768086384808132,0.639658559671063,0.0509048367712334,0,0,0.23262796507689
"97",0.0764134832694988,0.643771862803455,0,0,0,0.279814653927046
"101",0.0934063927385193,0.331388225918231,0.0803509302955216,0,0,0.494854451047728
"102",0.0385166944691035,0.417230879358104,0.347533270559512,0,0,0.196719155613281
"103",0.0480280909987906,0.424329512100187,0.266834381757601,0,0,0.260808015143421
"104",0,0,0,0,0,1
"109",0.08187540127172,0,0.438532782508337,0,0,0.479591816219943
"110",0,0,1,0,0,0
