,n_counts
1,250.0
2,495.0
4,195.0
5,4283.0
6,5230.0
7,3736.0
8,2202.0
9,297.0
17,1297.0
18,4571.0
19,3821.0
20,2971.0
21,4494.0
22,6068.0
23,7790.0
24,3488.0
25,164.0
26,334.0
27,4596.0
28,1666.0
29,281.0
30,710.0
31,2021.0
32,611.0
33,2430.0
34,933.0
42,1487.0
43,3317.0
44,2730.0
45,4411.0
46,2413.0
47,5323.0
48,1415.0
49,6794.0
50,4623.0
51,1663.0
52,4540.0
53,2327.0
54,3917.0
55,3960.0
56,3078.0
57,2863.0
58,2059.0
59,2463.0
60,1781.0
61,3282.0
62,1588.0
63,2115.0
64,4362.0
65,3255.0
66,2376.0
71,551.0
72,2977.0
73,2326.0
74,1139.0
75,1461.0
76,1832.0
77,2627.0
78,1096.0
79,2248.0
80,2721.0
81,1216.0
82,2008.0
83,4375.0
84,6711.0
85,3076.0
86,3746.0
87,3536.0
88,2563.0
89,4400.0
90,2829.0
91,1843.0
92,981.0
93,2446.0
94,2637.0
95,1332.0
96,3118.0
97,2838.0
98,1905.0
99,2890.0
100,1488.0
101,324.0
104,1954.0
105,1380.0
106,665.0
107,2559.0
108,3696.0
109,2005.0
110,876.0
111,2103.0
112,793.0
113,757.0
114,1127.0
115,1260.0
116,1089.0
117,4253.0
118,1786.0
119,7198.0
120,1326.0
121,4076.0
122,3982.0
123,2301.0
124,6400.0
125,905.0
126,1717.0
127,766.0
128,364.0
129,1143.0
130,1627.0
131,1622.0
132,412.0
133,1857.0
134,2007.0
135,2870.0
136,824.0
138,4038.0
139,1647.0
140,3752.0
141,1818.0
142,2356.0
143,3021.0
144,1322.0
145,1726.0
146,3103.0
147,3322.0
148,2732.0
149,1509.0
150,549.0
151,3999.0
152,3914.0
153,4961.0
154,8434.0
155,2104.0
156,7512.0
157,4246.0
158,4925.0
159,3059.0
160,659.0
161,787.0
162,1659.0
163,1943.0
164,1726.0
165,2600.0
166,2371.0
167,1959.0
168,3445.0
169,3836.0
170,2040.0
171,5096.0
172,394.0
173,4632.0
174,2154.0
175,2384.0
176,3074.0
177,1703.0
178,2581.0
179,2454.0
180,2835.0
181,3101.0
182,4241.0
183,3566.0
184,2412.0
185,4243.0
186,592.0
187,1647.0
188,1071.0
189,5048.0
190,992.0
191,515.0
193,2216.0
194,4122.0
195,3153.0
196,2561.0
197,605.0
198,1662.0
199,657.0
200,2888.0
201,2819.0
202,2490.0
203,3848.0
204,2271.0
205,3231.0
206,2871.0
207,1333.0
208,2780.0
209,535.0
210,3589.0
211,288.0
212,4661.0
213,416.0
214,3320.0
215,2640.0
216,3300.0
217,7076.0
218,5906.0
219,5140.0
220,4701.0
221,3331.0
222,2992.0
223,1701.0
224,4605.0
225,842.0
226,826.0
227,1973.0
228,6413.0
229,2769.0
230,358.0
231,1465.0
232,2436.0
233,5063.0
234,4064.0
235,2577.0
236,1529.0
237,82.0
238,2948.0
239,3229.0
240,2003.0
241,1359.0
242,1659.0
243,3186.0
244,3237.0
245,3207.0
246,1620.0
247,1784.0
248,3681.0
249,2602.0
250,4377.0
251,3704.0
252,3107.0
253,1569.0
254,4256.0
255,673.0
256,3329.0
257,4642.0
258,4674.0
259,3843.0
260,3369.0
261,2808.0
262,2059.0
263,1937.0
264,3285.0
265,1034.0
266,698.0
267,1443.0
268,538.0
269,570.0
270,456.0
271,2608.0
272,4820.0
273,7744.0
274,2430.0
275,1537.0
277,3421.0
278,3558.0
279,503.0
280,2375.0
281,2755.0
282,3520.0
283,3498.0
284,5585.0
285,3575.0
286,1659.0
287,3806.0
288,1009.0
289,2464.0
290,4275.0
291,5350.0
292,1244.0
293,1547.0
294,821.0
295,2173.0
296,1629.0
297,3034.0
298,5992.0
299,5391.0
300,6253.0
301,5403.0
302,5037.0
303,5141.0
304,4833.0
305,425.0
306,763.0
307,1957.0
310,1180.0
311,4714.0
312,3205.0
313,1265.0
314,1318.0
315,2060.0
316,4002.0
317,2532.0
318,2864.0
319,2677.0
320,3586.0
321,5407.0
322,4140.0
323,6312.0
324,4572.0
325,2031.0
326,1857.0
327,2556.0
328,917.0
329,5796.0
330,2616.0
331,5431.0
332,975.0
333,2030.0
334,2901.0
335,4929.0
336,4039.0
337,3456.0
338,6973.0
339,7090.0
340,6924.0
341,3701.0
342,3215.0
343,2977.0
344,3165.0
345,2151.0
346,905.0
347,1316.0
349,6655.0
350,4640.0
351,4217.0
352,634.0
353,243.0
354,3312.0
355,2526.0
356,2196.0
357,2434.0
358,3119.0
359,2708.0
360,4712.0
361,2023.0
362,4130.0
363,3581.0
364,2130.0
365,3443.0
366,1305.0
367,4695.0
368,2827.0
369,4323.0
370,4638.0
371,1777.0
372,3066.0
373,2854.0
374,2924.0
375,3884.0
376,4413.0
377,4825.0
378,6318.0
379,5472.0
380,3914.0
381,5141.0
382,3431.0
383,1151.0
384,457.0
387,5664.0
388,5535.0
389,3235.0
390,3582.0
391,86.0
392,4455.0
393,3616.0
394,2147.0
395,3126.0
396,2736.0
397,2756.0
398,4420.0
399,5531.0
400,3278.0
401,5006.0
402,1327.0
403,3008.0
404,1926.0
405,1310.0
406,2822.0
407,1674.0
408,2809.0
409,1953.0
410,1299.0
411,2145.0
412,1922.0
413,3557.0
414,4502.0
415,7346.0
416,5133.0
417,6436.0
418,3542.0
419,2863.0
420,3461.0
421,1668.0
422,1440.0
423,1083.0
425,6571.0
426,2664.0
427,2266.0
428,1986.0
429,586.0
430,4704.0
431,2763.0
432,5384.0
433,2606.0
434,4388.0
435,2736.0
436,5677.0
437,3828.0
438,1890.0
439,1282.0
440,1200.0
441,2517.0
442,735.0
443,3405.0
444,1832.0
445,2897.0
446,5019.0
447,2573.0
448,1431.0
449,2295.0
450,2104.0
451,5274.0
452,5124.0
453,4581.0
454,5037.0
455,4675.0
456,2518.0
457,4124.0
458,742.0
459,962.0
460,2464.0
462,3247.0
463,5066.0
464,4419.0
465,1272.0
466,1849.0
467,4326.0
468,5576.0
469,3193.0
470,3098.0
471,2690.0
472,3563.0
473,3353.0
474,3833.0
475,2911.0
476,1903.0
477,2250.0
478,2502.0
479,1559.0
480,4676.0
481,5088.0
482,1801.0
483,4585.0
484,2972.0
485,1694.0
486,2474.0
487,1969.0
488,2716.0
489,3362.0
490,3610.0
491,4511.0
492,5474.0
493,5404.0
494,3791.0
495,3440.0
496,915.0
497,1032.0
499,5467.0
500,4269.0
501,5002.0
502,763.0
503,1389.0
504,4090.0
505,3084.0
506,2847.0
507,3759.0
508,3287.0
509,3239.0
510,3419.0
511,3404.0
512,1534.0
513,3806.0
514,3207.0
515,822.0
516,2435.0
517,4627.0
518,3976.0
519,1971.0
520,3576.0
521,3223.0
522,884.0
523,4345.0
524,3657.0
525,5277.0
526,2668.0
527,6341.0
528,3395.0
529,4923.0
530,4342.0
531,3819.0
532,1049.0
533,616.0
535,2400.0
536,4889.0
537,1296.0
538,4378.0
539,691.0
540,652.0
541,3930.0
542,4084.0
543,4273.0
544,2545.0
545,2615.0
546,3480.0
547,3446.0
548,1413.0
549,1318.0
550,2613.0
551,1644.0
552,2730.0
553,3834.0
554,7323.0
555,1587.0
556,2604.0
557,8183.0
558,2392.0
559,1082.0
560,3290.0
561,4558.0
562,5203.0
563,4031.0
564,4566.0
565,4315.0
566,4159.0
567,1947.0
568,1066.0
569,712.0
571,3786.0
572,5369.0
573,6202.0
574,4428.0
575,1597.0
576,1471.0
577,2041.0
578,4950.0
579,2382.0
580,2303.0
581,5003.0
582,3199.0
583,3255.0
584,1801.0
585,3685.0
586,1193.0
587,2214.0
588,3981.0
589,2143.0
590,1741.0
591,761.0
592,3895.0
593,3019.0
594,3020.0
595,776.0
596,1953.0
597,2390.0
598,1810.0
599,4319.0
600,3257.0
601,5326.0
602,3234.0
603,57.0
604,1286.0
605,159.0
606,175.0
607,3120.0
608,2397.0
609,3353.0
610,1822.0
611,524.0
612,2867.0
613,5368.0
614,2861.0
615,4626.0
616,3022.0
617,2940.0
618,2878.0
619,3006.0
620,1021.0
621,1793.0
622,3896.0
623,3725.0
624,1766.0
625,2977.0
626,2681.0
627,4070.0
628,4389.0
629,1852.0
630,854.0
631,2708.0
632,3076.0
633,4685.0
634,5225.0
635,2393.0
636,2741.0
637,1208.0
638,2285.0
639,94.0
641,4760.0
642,2103.0
643,3534.0
644,2061.0
645,2332.0
646,3435.0
647,2467.0
648,1754.0
649,2354.0
650,2457.0
651,2945.0
652,2037.0
653,941.0
654,1998.0
655,3532.0
656,5833.0
657,3883.0
658,1142.0
659,3164.0
660,3420.0
661,5071.0
662,3027.0
663,436.0
664,1179.0
665,3229.0
666,3917.0
667,2628.0
668,2681.0
669,144.0
670,880.0
671,2000.0
672,410.0
673,96.0
674,3155.0
675,3101.0
676,2909.0
677,2266.0
678,1600.0
679,3934.0
680,4270.0
681,3635.0
682,5997.0
683,2320.0
684,3847.0
685,1319.0
686,1499.0
687,5523.0
688,2260.0
689,4694.0
690,1586.0
691,3952.0
692,1475.0
693,4927.0
694,2267.0
695,2651.0
696,362.0
697,3620.0
698,5380.0
699,3619.0
700,6107.0
701,2450.0
702,1208.0
703,1502.0
704,909.0
705,2714.0
706,2711.0
707,5100.0
708,1802.0
709,1220.0
710,2358.0
711,2100.0
712,3533.0
713,4938.0
714,1868.0
715,1736.0
716,1572.0
717,3571.0
718,454.0
719,1176.0
720,1852.0
721,1834.0
722,1961.0
723,146.0
724,2061.0
725,1633.0
726,3015.0
727,959.0
728,1855.0
729,1628.0
730,3309.0
731,1427.0
732,790.0
733,260.0
734,2856.0
735,4669.0
736,2955.0
737,465.0
738,1223.0
739,94.0
740,1758.0
741,872.0
742,2474.0
743,1695.0
744,4185.0
745,914.0
746,4877.0
747,1870.0
748,2920.0
749,2260.0
750,1180.0
751,2147.0
752,1148.0
754,2250.0
755,4891.0
756,1004.0
757,1465.0
758,1179.0
759,335.0
760,361.0
761,1123.0
762,1843.0
763,5926.0
764,9435.0
765,11692.0
766,8444.0
767,7871.0
768,6463.0
769,6018.0
770,9082.0
