,n_counts
4,1377.0
5,2957.0
6,4635.0
7,3320.0
8,1437.0
9,752.0
16,530.0
17,1646.0
18,1428.0
19,1946.0
20,548.0
21,2686.0
22,5094.0
23,2971.0
24,1851.0
25,489.0
26,275.0
27,769.0
28,526.0
40,201.0
42,2622.0
43,3006.0
44,2967.0
45,1264.0
46,4236.0
47,3539.0
48,1170.0
49,5086.0
50,2611.0
51,1505.0
52,1021.0
53,553.0
54,4520.0
55,2160.0
56,1872.0
57,2077.0
58,338.0
59,1416.0
60,155.0
61,1366.0
62,2346.0
63,367.0
64,1971.0
65,1632.0
66,1369.0
67,337.0
75,694.0
76,2055.0
77,2314.0
78,1882.0
79,2608.0
80,2156.0
81,2098.0
82,2626.0
83,554.0
84,5569.0
85,2900.0
86,1450.0
87,1092.0
88,3270.0
89,2233.0
90,2072.0
91,2337.0
92,764.0
93,2522.0
94,1327.0
95,1300.0
96,1133.0
97,777.0
98,1120.0
99,2081.0
100,1593.0
102,3785.0
103,2486.0
104,2007.0
105,2215.0
106,285.0
112,2388.0
113,863.0
114,1982.0
115,443.0
116,1461.0
117,1455.0
118,1451.0
119,649.0
120,621.0
121,1766.0
122,1363.0
123,333.0
124,995.0
125,1667.0
126,3787.0
127,4667.0
128,4565.0
129,2388.0
130,1558.0
131,2581.0
133,2889.0
134,2677.0
135,1409.0
136,1869.0
138,653.0
139,2124.0
140,1776.0
141,833.0
142,1336.0
143,1717.0
144,2105.0
145,1661.0
146,2041.0
147,1493.0
148,276.0
152,1370.0
153,1365.0
154,764.0
156,2031.0
157,2151.0
158,1655.0
159,996.0
160,709.0
161,1136.0
162,582.0
163,954.0
164,1043.0
165,308.0
166,958.0
167,398.0
168,3434.0
169,1014.0
170,2427.0
171,3665.0
172,1015.0
173,2769.0
174,1712.0
175,2587.0
176,3468.0
177,1774.0
178,1090.0
179,1016.0
180,707.0
181,207.0
182,1418.0
183,744.0
184,1846.0
185,794.0
186,92.0
187,875.0
188,1337.0
189,1787.0
190,1323.0
193,1514.0
194,905.0
195,683.0
196,2025.0
197,976.0
198,1658.0
199,1919.0
200,1450.0
201,1067.0
202,869.0
203,2644.0
204,2136.0
205,2398.0
206,616.0
207,1126.0
208,896.0
209,1809.0
210,3553.0
211,1216.0
212,6585.0
213,4372.0
214,2047.0
215,2924.0
216,4297.0
217,2194.0
218,2298.0
219,5037.0
220,682.0
222,1165.0
223,1465.0
224,462.0
225,770.0
226,2119.0
227,446.0
228,1687.0
229,893.0
230,2920.0
231,2545.0
232,625.0
233,1262.0
234,2308.0
236,1739.0
237,3196.0
238,1090.0
239,2786.0
240,2371.0
241,1824.0
242,1484.0
243,1556.0
244,1640.0
245,1523.0
246,1147.0
247,2542.0
248,1345.0
249,2128.0
250,2235.0
251,786.0
252,1129.0
253,1705.0
254,1801.0
255,1741.0
256,4063.0
257,2065.0
258,197.0
260,4234.0
261,3503.0
262,3285.0
263,3062.0
264,962.0
265,1425.0
266,339.0
267,678.0
268,2316.0
269,917.0
270,1181.0
271,2272.0
272,1764.0
273,1833.0
274,1550.0
275,1072.0
276,1241.0
277,2562.0
278,1308.0
279,2845.0
280,1880.0
282,3891.0
283,544.0
284,1518.0
285,1579.0
286,1140.0
287,845.0
288,3541.0
289,2293.0
290,1799.0
291,2622.0
292,1473.0
293,2724.0
294,2435.0
295,1645.0
296,2615.0
297,2011.0
298,249.0
299,1167.0
300,496.0
301,2940.0
