"","33 Vascular","05 OB-IMN GABA","34 Immune","32 OEC","30 Astro-Epen","03 OB-CR Glut","31 OPC-Oligo","13 CNU-HYa Glut","02 NP-CT-L6b Glut","11 CNU-HYa GABA","10 LSX GABA","09 CNU-LGE GABA","29 CB Glut","12 HY GABA","06 CTX-CGE GABA","14 HY Glut"
"0",0.452749678348569,0.0671518959148229,0.000219511029305567,1.72096899476362e-05,0.069784467642786,5.94256030584008e-08,6.99631310854178e-08,0.000521182638972627,0.280870843526554,0.0193056991958424,0.000524917777590671,1.81344189687648e-05,2.66809472791143e-09,0.108789977319057,4.53218361883029e-05,1.02860456662192e-06
"1",0.187171635907054,1.59823132914981e-07,0.757355570438057,0.0292391534034814,0.00194232517405997,0.000100473048985167,1.54445977294158e-06,0.00251794570171341,8.15023814898254e-07,1.57136089741016e-07,0.000520992921100682,1.32067351609832e-06,0.0067030027784023,0.000180537699520583,2.93312607676968e-05,0.0142350345505317
"2",0.0810356291786135,0.277428232162475,0.0348975308809653,2.95186558104457e-07,4.92567331343391e-06,0.000358501896628289,6.15914308934194e-06,0.000593003665764521,0.315672747739219,0.000222362125775962,0.00462674215523853,1.42555284844108e-07,2.6330108915387e-06,0.285151005563793,6.23806671611567e-09,8.28243231922795e-08
"3",0.0599593061795044,0.288791912536664,0.0405720439719334,0.0406543231114509,0.00169335740098181,0.000518877875168631,0.00216129299728838,0.405939079237359,0.0436061245169659,0.0179672475370031,0.000643857030093168,0.00727192295664916,1.08563132189024e-05,0.048746950842454,0.0414623067471439,5.40746121188618e-07
"4",0.38082801610999,0.19155714451202,0.0301572689400912,0.0103682737289859,0.000263947489756614,1.25134388610442e-08,2.23198368283965e-05,0.183452195581612,0.103171595889292,0.0220147240900231,9.54246163558647e-05,0.0243372517857249,1.30978608018889e-10,0.0536114754041407,6.34461918851887e-05,5.69031788768476e-05
"5",0.000112679386297871,0.204401755027531,0.000459335490361344,0.0117320704598297,3.69121535572949e-09,0.317405141670419,0.000671290868386269,0.180354637640787,0.0117261896833109,0.000575590684469573,0.191289460338368,0.0282557734089842,4.35952790284917e-06,0.052939506830272,3.45912177184349e-05,3.7614074147043e-05
"6",0.324696404709393,0.272474979799667,0.000984513938838564,0.00158583056029617,0.0417803467243081,0.0731364297685185,0.0468245112400129,0.0119371787459073,0.00210998528432072,0.0139680245017569,0.0283892993027473,0.018213436636511,0.00361649136816881,0.149734629772407,0.000463310857830105,0.010084626789317
"7",0.360110040702933,0.00567351525778529,2.25325785045971e-05,5.88796402260018e-06,1.2025448717984e-05,0.305949384662779,0.00715393769639666,0.000404680060415091,0.0155453147674649,0.00207360854074106,0.064986418492315,0.00539491037499586,2.61655370114095e-06,0.226991389768153,0.000110444641394451,0.00556329248967984
"8",0.346269465804624,0.320489180378738,0.020387126256234,1.37070361079367e-05,1.18099050436764e-06,0.000983406257642716,1.4583414344326e-05,0.0260871599280329,0.0131061617894282,0.0252746451562988,3.50976403224866e-05,0.0382267388040909,0.000171553017989811,0.121416501032414,0.0851310827761809,0.00239240971704535
"9",0.0380824150507166,0.339717145991787,0.00574629473464943,0.00674316125041341,3.83941040219972e-05,3.18644611292704e-06,0.000335146642219672,0.40099925352972,0.000654535006060103,1.76388128712413e-05,4.36215126661896e-06,0.00119234791593409,2.68904536800028e-09,0.00592640419170705,0.199955421412181,0.000584290071293771
