"cell_ID","33 Vascular","05 OB-IMN GABA","34 Immune","32 OEC","30 Astro-Epen","03 OB-CR Glut","31 OPC-Oligo","13 CNU-HYa Glut","02 NP-CT-L6b Glut","11 CNU-HYa GABA","10 LSX GABA","09 CNU-LGE GABA","29 CB Glut","12 HY GABA","06 CTX-CGE GABA","14 HY Glut"
"87",0,0,0.0337880305686152,0,0,0,0.0588842681772983,0.907327701254086,0,0,0,0,0,0,0,0
"95",0.794203593665631,0,0.000152484462780168,0,0,0,0,0.205643921871588,-1.60864114101909e-18,0,0,0,0,0,0,0
"96",0,0,0.0610894001610967,0,0.136704581940131,0,0,0.707251737056137,0.0949440145406326,1.02663020024908e-05,0,0,0,0,0,0
"97",0.537629813435439,0.409230023870971,0,0,0,0,0,0,0.0527140267695782,0.000426135924012099,0,0,0,0,0,0
"98",0,0,0,0,0,0,0,0,0.0799927436818386,0.00109368941003221,0,0,0,0.918913566908129,0,0
"99",0,0,0.0440043870543085,0,0.234001543842204,0,0.0729074905217282,0,0,0,0.194141358738475,0,0,0.367174054015715,0.0877711658275686,0
"100",0,0,0.182396376551202,0,0.48199629391804,0,0,0,0.000113764744083551,0,0,0.111132072502843,0.162494881016489,0.061866611267342,0,0
"101",0.290807935342152,0.66477190623348,0.0365090015906724,0,0,0,0,0,0,0.00718356421700995,0,0,0,0.000727592616685559,0,0
"102",0,0.237001771270643,0,0,0,0,0,0,0,0,0,0,0,0.762998228729357,0,0
"103",0,0,0,0,0,0.0396711495411388,0.457269738883151,0,0,0,0.273835811544175,0.149239448181385,0,0,0,0.0799838518501502
"104",0.515632824442169,0,0.484367175557831,0,0,0,0,0,0,0,0,0,0,0,0,0
"107",1,0,-2.88175932031216e-21,0,0,8.53516013487492e-19,0,0,0,0,0,0,0,0,0,0
"108",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"109",0,0.589483531564064,0,0,0,0,0,0,0,0.000647854590964019,0,0,0.409868613844972,0,0,0
"110",0,0.779284927895324,0,0,0,0,0,0,0,0.000816415554929518,0,0,0.219898656549746,0,0,0
"111",0,0.898653244922406,0,0,0,0,0.100457537519192,0,0,0,0,0,0,0.000889217558402499,0,0
"112",0,0.686244621561365,0,0,0,0,0,0,0,0,0,0,0.313755378438635,0,0,0
"113",0.456532656052298,0.345958130080459,0,0,0,0.163699099039516,0,0,0,-5.63349429336474e-22,-8.48447964207476e-19,0,0,0.0338101148277263,0,0
"114",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"115",0.396018646022344,0,0,0,0.275816038372381,0,0,0,0,0,0.145427935148776,0,0.182737380456499,0,0,0
"116",0,0,0,0,0,0,0,0,0,0,0,0,0.27575454803382,0.721383424739126,0.00286202722705409,0
"117",0.589161161344025,0.410838838655976,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"118",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"120",0.466423391068363,0.0581693140458879,0,0,0,0.208510519477882,0,0,0,0,0,0.174122046533578,0,0.0927747288742891,0,0
"121",0,0.138611237511263,0,0,0.0790444909377096,0,0.0564682596950492,0,0,4.75256692556148e-18,0,0,0,0.725876011855978,0,0
"122",0.678453135902922,0,0,0,0.112704839931105,0,0,0,0.172085002484797,0.0366833283355017,0,0,1.98041240608126e-05,5.38892216136141e-05,0,0
"123",0.832292514452323,0.0964447416331078,0,0,0,0,0,0.0703383684563574,-2.19405506288896e-19,0,0,0.000924375458211289,0,0,0,0
"124",0,0,0.0907069717772906,2.1794420867549e-18,0,0,0,0.909293028222709,-2.10479840266324e-19,0,0,0,0,0,0,0
"130",0,0,0,0.0173546707508016,0,0,0,0.982645329249198,-5.80643910923062e-20,0,0,0,0,0,0,0
"131",0,0,0,0.444888524137441,9.40332216027199e-19,0,0,0,0.41487757369288,0,0,0,0,0.140233902169679,0,0
"132",0.844470156759071,0,0,0,0,0,2.96272518615221e-06,0,0.112013966692483,0.0241920592426929,0,0,0,1.22631533028908e-05,0,0.0193085914272636
"133",0,0.00222089722330273,0,0,-6.52807821840716e-20,0,0,0.00466591066001011,0.337001547518587,0,0,0,0,0.656111644598101,0,0
"134",0.573858651480252,0.041776247458747,0.00213378606550814,0,0,0,0,0,0,0,0,0,0,0.382231314995493,0,0
"135",0,-5.01527449446766e-18,0,0,0,0,0,0,0,3.41395999420857e-19,0.21109665290348,0,0,0.78890334709652,0,0
"136",0,0.892670503585629,0.107234718857197,0,0,0,0,0,0,0,0,0,0,4.84092923234107e-05,0,4.63682648497941e-05
"137",0,0.38285228181196,0,0,0,0,0,0,0,0,0,0.210742787040017,0.0537154709061238,0.352689460241899,0,0
"138",0.237029751992355,0,0,0,0,0,0,0,0,0,0.609093695246959,0,0.0568634046187645,0.0970131481419217,0,0
"139",0,0,0,0,0,0,0,0,0,0,0,0.364832742094529,0.131665228922137,0.382624621334018,0.120877407649316,0
"140",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"141",0,0,0,0,0,0,0,0,0,0,0,0,0,0.999898992249746,0.000101007750253754,0
"142",0.848092039434986,0,0,0,0.151907960565013,0,0,0,0,0,0,0,0,0,0,0
"143",0,0,0,0,0,0,0,0,0,0,0,0,0,0.999878950258381,0.000121049741619148,0
"144",0,0,0,0,0,0.913380997818017,0,0,0,0,0,5.13328953227959e-06,4.94472754169656e-19,0.0866138688924505,0,0
"145",0,0.687064736269545,0,0,0,0,0,0,0,0,0,0,0.312935263730455,0,0,0
"146",0,0.768388621318369,0,0,0.231611378681631,0,0,0,0,0,0,0,0,0,0,0
"147",0,0.655950730324893,0,0,0,0,0.344049269675107,0,0,0,0,0,0,0,0,0
"148",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"149",0,0.999589360170466,0,0,0,0,0,0,0,0.000410639829533833,0,0,0,0,0,0
"150",0,0.811963265849528,0,0,0,0,0.188036734150472,0,0,0,0,0,0,0,0,0
"151",0,0.999942323531722,0,0,0,0,0,0,0,0,0,5.76764682785203e-05,0,0,0,0
"152",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"153",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"154",0,0.998902399133439,0,0,0,0,0,0,0,0.00109760086656136,0,0,0,0,0,0
"155",0,0.999555188578544,0,0,0,0,0,0,0,0.000444811421456456,0,0,0,0,0,0
"156",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"157",0,0,0,0,0,0,0,0,0,0,0,0,0,0.930480400544297,0.000735632075949863,0.0687839673797531
"158",0.664500425157926,0,0,0,0,0,0.0761548735043321,0,0,0.259344701337742,6.88871137521545e-18,0,0,0,0,0
"159",0,-1.29728241238503e-18,0,0,0,0,0,0,0,0,0,0.00252615814656865,0,0.997473841853431,0,0
"160",0,5.59304726301054e-18,0,0,0,0,0.272049733861635,0,2.92321611982407e-06,0,0,0.371006020137256,0,0.288141469263203,0.0687998535217856,0
"161",0.856334799982624,0,0,0,0,0,0,8.14189118409853e-19,0.143639444456449,6.58394539088048e-06,0,0,0,1.65592144794415e-05,0,2.61240105629322e-06
"162",0.299283683988402,0,0.137090957325082,0,0,0,0,0.563625358686515,5.10143214160537e-19,0,0,0,0,0,0,0
"167",0.92056782520757,0,0.0794321747924301,0,0,0,0,0,0,0,0,0,0,0,0,0
"168",0.698412013435343,0.0211554484262474,0,0.0288216175589471,0.000840716167813832,0,0,0,0.176888464645013,0,0,0.0738817397666354,0,0,0,0
"169",0.262330313683662,0,0,0,1.33421672685145e-06,0,0,0,0.0615067690811685,0,0,0,0,0.676161583018443,0,0
"170",0,0,0,0,0,0.01318271142394,0,0,0,0,0.98681728857606,0,0,-1.27315425923161e-20,0,0
"171",0.311196115677021,0.297654162275263,0,0,0.202478795676532,0,0,0,1.29718947735706e-06,0.0258506555352084,1.55247457987078e-20,0,0,0.162818973646499,0,0
"172",0,1.1618120696857e-17,0,0,0,0,0,0,0,0,0,0.126292212595411,0.0924022482572676,0.711984344897579,0.0693211942497423,0
"173",0.110604396957487,0,0,0,0,0,0,0,0.0557836128170619,0,0.300432592734969,0,0.0238019724676704,0.442528150016599,0.066849275006213,0
"174",0,0,0,0,0,0,0,0,0,0,0.276910083978407,0,0.07043816298512,0.652651753036473,0,0
"175",0,0,0,0,0,0,0,0,0,0.703018289683764,0,0,0,0.296981710316236,0,0
"176",0.51966671662038,0.0282091984432121,0.203595172585533,0,0,0,0,0,0,0,7.14107129138722e-06,0.230410129724953,0.0181116415546314,0,0,0
"177",0.973205688241476,0,0,0,0,0,0,0,0,0,-1.09809527040951e-18,0.0267943117585239,0,0,0,0
"179",0,0,0,0,1,0,0,0,0,0,-1.16634313372608e-19,0,0,0,0,0
"180",0,0.0514312928896027,0,0,0,0.948490659199835,0,0,0,0,0,0,7.80479105621866e-05,0,0,0
"181",0,0.255190086543809,0,0,0,0,0,0,0,0,0,0,0,0.74477555155715,3.43618990408521e-05,0
"182",0,0.799269183951188,0.0509351987565695,0,0,0,0.149795617292243,0,0,0,0,0,0,0,0,0
"183",0,0.999600115336462,0,0,0,0,0,0,0,0,0,0.000399884663538334,0,0,0,0
"184",0,0.887053990200617,0.112946009799383,0,0,0,0,0,0,0,0,0,0,0,0,0
"185",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"186",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"187",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"188",0,0.877568145313678,0.122431854686322,0,0,0,0,0,0,0,0,0,0,0,0,0
"189",0.855948560011506,0.144050489487375,0,0,0,0,0,0,0,0,0,9.5050111929149e-07,0,0,0,0
"190",0,0.963096218975546,0,0,0,0,0,0,0.0369037810244544,0,0,0,0,0,0,0
"191",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"192",0.378113684534713,0.431551138602688,0,0,0,0,0.190315597444364,0,1.95794182348527e-05,0,0,0,0,0,0,0
"193",0,0.610967937344381,0,0,0,0.0111476372120661,0,0,0,0,0,-1.77614681631142e-21,0,0.377884425443553,0,0
"194",0.551929150488942,0,0,0,0.0353757554568416,0,0,0,0.00313914330801601,0.374421570429634,0,0,0.0351343803165663,0,0,0
"195",0.912789604192484,0,0,0,0,0,0.0872103958075158,0,0,0,0,-1.8945052670978e-19,0,0,0,0
"196",0.759569250469653,0,0,0,0.0553071048520747,0,0,0,0,0,0,0,0,0.185123644678272,0,0
"197",0,0.31766546985866,0.0391498829801755,0,0,0.468024789809421,0,0,0,0,0,0,0,0.175159857351744,0,0
"198",0,5.19314007198224e-10,0,0,0,0,0,0.399216129543148,0,0,0,0.166824935858375,0,0.433958934079164,0,0
"199",0.819629766167066,0,0,0.144289891381088,0,0,0,0.0116557588533688,0.0244245835984771,0,0,0,0,0,0,0
"200",0.861299007757498,0,0,0.138700992242502,0,0,0,0,0,0,0,0,0,0,0,0
"204",0.932521996956844,0,0.0674780030431556,0,0,0,0,0,0,0,0,0,0,0,0,0
"205",0.0423226326369254,0.267732577026064,0,0.445949614178537,0,0,0,0,0.243995176158473,0,0,0,0,0,0,0
"206",0.627890795115611,0,0,0.187809250069537,0,0,0,0.184299954814852,0,0,0,0,0,0,0,0
"207",0,0.00892742352586257,0,0.115939153124571,0,0,0,0,0.119254186038435,0.137750046260281,1.42493942738193e-18,0,0,0.618127011956979,2.17909387070008e-06,0
"208",0.342181899653675,0,0,0,0.217871980128978,0,0,0,0,0.15205068214355,0,0,3.34821201839366e-07,0.287895103252594,0,0
"209",0,1.28558870989501e-05,0,0,0.0402856900075919,0,0,0.024621762348274,0.144783603754319,0,0,0,0,0.790296088002716,0,0
"210",0.127704298648162,0.181000371500836,0,0,0,0,0,0,0,0,0,0,0,0.646092837955418,0.0452024918955839,0
"211",0,0,0,0,0,0.198581584199048,-3.36014555278806e-19,0,0,0,0,0,0,0.682882615147433,0.0637965022646132,0.0547392983889061
"212",0,0,0,0,0.999984214103632,0,0,0,0,0,0,0,0,0,0,1.57858963678949e-05
"213",0,0.999970918406788,0,0,0,0,0,0,2.90815932121747e-05,0,0,0,0,0,0,0
"214",0,0.11165293707378,0.47551025872244,0,0,0,0,0,0,0,0.412817991266178,0,0,0,1.88129376015392e-05,0
"215",0.697508168986841,0,0,0,0,0,0.302491831013158,0,1.34313158011145e-18,0,0,0,0,0,0,0
"216",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"217",0,0.828277827499271,0,0,0,0,1.61978813839505e-05,0,0,0.00023514680849843,0,0,0,0,0.171470827810847,0
"218",0,0.0482979798101803,0,0,0,0.943110905425307,0,0,0,0,0,0,0.00859111476451306,0,0,0
"219",0,0.948842438042122,0,0,0,0,0.0511575619578783,0,0,0,0,0,0,0,0,0
"220",0,0.510900329404195,0.489099670595805,0,0,0,0,0,0,0,0,0,0,0,0,0
"221",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"222",0,0.798457552240133,0.201542447759867,0,0,0,0,0,0,0,0,0,0,0,0,0
"223",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"224",0,0.99924450731381,0,0,0,0,0,0,0,0,0,0.000755492686190507,0,0,0,0
"225",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"226",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"227",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"228",0,0.801216083608834,0,0,0,0,0.198783916391166,0,0,0,0,0,0,0,0,0
"229",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"230",0,0.99934019684242,0,0,0,0,0,0,0,0,0,0.000659803157580472,0,0,0,0
"231",0.46471943600977,0.53528056399023,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"232",0,0.998450871619842,0,0,0,3.72734559203267e-05,0,0,0,0,-2.21081819092325e-17,0,0,0.00151185492423813,0,0
"234",0.454804805311676,0,0,0,0,0,0,0,0,0.139721861247356,0,0.405473333440968,0,0,0,0
"235",0,0,0,0,0.722859999384135,0,0.065472073645113,0,0,0,0.193292433442008,0,0,0,0,0.0183754935287441
"236",0,-3.60462981194099e-19,0,0,0,0,0.0780482942787632,0.00128154851887428,0,0,0,0.135423072208409,0.17440306665705,0.610844018336903,0,0
"237",0,0,0,0,1.23633188634167e-19,0,0,0,0.199775112704506,0.354282974205499,0.0735573248386048,0.372384588251389,0,0,0,0
"238",0,0,0,0.999790593178162,-1.88715247214494e-20,0,0,0.000209406821838151,0,0,0,0,0,0,0,0
"239",0.730913390094936,0,0,0.268492390156079,0,0,0,0.000594219748984461,0,0,0,0,0,0,0,0
"242",0.546223099318608,0,0,0.4386636173864,0,0,0,0,0,0,0,0,0.0151132832949921,-1.75589333718833e-18,0,0
"243",0,0,0.180361110339378,0.819638889660622,0,0,0,0,0,0,0,0,0,0,0,0
"244",0.473040242648142,0.519583785490112,0.00462247390809113,0,1.32957560236e-08,0,0,0,0,6.28942856902119e-07,0,0,0,6.80275689427245e-05,0.00268482814609959,0
"245",0,0.158206474512055,0.061951317672451,0,0,0,0,0.405155861730812,0.0676648210181782,0,1.33412908119425e-21,0.0582123644017238,0,0.225980494912184,0.0228286657525961,0
"246",0,0,0,0,0.390008575225515,0,0,0,2.58422794270722e-07,0,0,0.218906632538834,0,0.339894766433453,0.0511897673794033,0
"247",0,0,0,0,0,0.390129870525141,0,0,0.0435466473258278,0.0274040399831016,7.35387581778188e-18,0,0,0.465295152823851,0.0736242893420788,0
"248",0.144834693824174,0.0663814247992573,0,0,0,0,0,0,0,0,0,0,0,0.788783881376569,0,0
"249",0,0.0339217495606837,0,0,0,0.324139241099273,0,0,0,0,0,0.00011181471855112,0.0364933625523211,0.605333832069172,0,0
"250",0,0,0,0,3.4642406235527e-18,0.719128149405505,0,0,0,0,0,2.69935555717002e-25,0,0.280871850594495,0,0
"251",0,0,0.519072379071259,0,0,0,0.383947318679183,0.0751377550244643,0,0,0.0218425472250935,0,0,0,0,0
"252",0,0,0,0,0,0,0.306820044961995,0,0,0,0,-5.78192829341952e-19,0,0.478327552739889,0.214852402298115,0
"253",0,0,0.167545100614773,0,0.832167017116588,0,0,0,0,0,0,0,0,0.000287882268639435,0,0
"254",0.575784628342195,0.0646251172211039,0,0,0,0,0,0,0,0,-3.10828017163349e-17,-8.61546027280996e-20,0,0.359590254436701,0,0
"256",0,0.896501580603125,0,0,0.103498419396875,0,0,0,0,0,0,0,0,0,0,0
"257",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"258",0,0.784656250894414,0.161259075886478,0,0,0,0,0,0,0,0.0536555344559896,0.000429138763118841,0,0,0,0
"259",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"261",0,0.99939104946937,0,0,0,0,0,0,0,0,0,0.000608950530629655,0,0,0,0
"262",0.844886473378371,0.111117140263923,0,0,0,0,0,0,0,0,0,0.0439963863577058,0,0,0,0
"263",0,0.920787711194489,0.0507069827615039,0,0,0,0,0,0,0,0,0.000972310921724169,0,0,0.027532995122283,0
"264",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"265",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"266",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"267",0,0.695091723856151,0.0302807841028342,0,0,0,0.274627492041015,0,0,0,0,0,0,0,0,0
"268",0,0.956419155202182,0,0,0,0,0,0,0.0428087258318531,0,0,0.00077211896596443,0,0,0,0
"269",0,0.45571360282759,0,0,0,0,0,0,0,0,0,0.273970356036698,0.270316041135712,0,0,0
"270",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"271",0.634303519386866,0.365696480613134,0,0,0,0,0,0,0,0,8.5328204510299e-19,0,0,7.86668188364561e-20,0,0
"272",0,0.998676461748508,0,0,0,0,0,0,0,0,0,0.00132353825149199,0,0,0,0
"273",0.724082954594705,0,0.255343548075541,0,0,0,0,0,0,0,0,0,0,0,0.0205734973297544,0
"275",0,0,0,0,0.0940835769423462,0.905792140681294,0,0,0,0,0,0,6.36580611171106e-05,6.06243152425607e-05,-9.65428566870564e-19,0
