,02 NP-CT-L6b Glut,03 OB-CR Glut,05 OB-IMN GABA,06 CTX-CGE GABA,09 CNU-LGE GABA,10 LSX GABA,11 CNU-HYa GABA,12 HY GABA,13 CNU-HYa Glut,29 CB Glut,30 Astro-Epen,31 OPC-Oligo,32 OEC,33 Vascular,34 Immune
3,0.0001653329760301858,0.00030523266614181923,0.0001711390563286841,0.000245881087903399,0.00011552111755008809,7.787647518853191e-05,4.2585631672409366e-05,0.0002076957782264799,0.00016842941331560724,0.00014801957659074105,0.0004683038321672939,0.0005044598015956581,0.013032742822542787,2.455335056781769,0.001336120767518878
4,0.0019329257542267443,0.1954807385802269,2.114535593986511,0.05322901420295239,0.007964328210800887,0.03963666278868914,0.0013268584210891277,0.0023080936283804477,0.0029845230747014284,0.0018298839568160474,0.26595949530601504,0.04085123743861914,5.704302406311035,0.0026212998083792625,0.002710664924234152
5,0.0037880492629483345,0.02101281937211752,3.211881387233734,0.24587877169251443,0.019349735137075184,0.028436574339866637,0.005610328842885793,0.005909374821931124,0.0024630308616906404,0.005444945022463799,4.0972120523452755,0.029474024567753075,3.7260679244995116,0.0017584291577804833,0.0038363923318684105
6,0.011739317141473294,0.02954278700053692,9.390897989273071,0.23385108560323714,0.07026547566056252,0.6150389522314071,0.009692942630499602,0.01811102796345949,0.005668116267770529,0.039288249984383586,3.5163238525390623,0.1471676155924797,1.6244291841983796,0.007412637257948518,0.01302112457342446
7,0.011620760662481189,1.6729795336723328,3.15365492105484,0.39814961701631546,0.022714351676404475,0.28859730809926987,0.007634422904811799,0.016119624394923447,0.006625082157552242,0.03376293368637562,0.676492589712143,0.24470411092042924,3.2089525699615478,0.11490222588181495,0.1096082504838705
8,0.004109809151850641,0.04508250541985035,0.0899618349969387,0.014066718751564622,0.2664541363716125,0.0047193678794428704,0.0023231755709275602,0.0025379684870131315,0.0033190093003213406,0.002137202012818307,0.6540591776371002,0.023069332540035247,8.853246974945069,0.0023787236539646985,0.0038828967954032123
9,0.002682898717466742,0.04940046388655901,0.05471956506371498,0.0718997973948717,0.0034793804516084492,0.0522980909794569,0.0007356661400990561,0.005237855832092464,0.0023223772761411967,0.006050159223377705,0.006958318222314119,0.00819970560260117,3.588062071800232,3.0528671979904174,0.028473401162773374
16,0.0001748538277752232,0.0003422760753892362,0.00022759969069738873,0.00019129902939312162,9.286578788305634e-05,8.737283969821874e-05,0.000149831130693201,9.368360188091175e-05,0.00010142817627638579,0.00010332407255191358,0.0006371509953169152,0.0002862304259906523,0.001062422717222944,1.9077910602092742,0.0006816200271714479
17,0.003365880646742881,0.0014702731394208967,0.0003983227768912912,0.0010759391589090228,0.0005353338434360922,0.0009087272803299129,0.0008900986722437665,0.003221846290398389,0.003328091301955283,0.0013452206214424223,0.005317097017541528,0.0014624694129452109,4.5368894100189205,1.0656067609786988,0.003733539034146816
18,0.001327883719932288,0.001195294037461281,1.6262685477733612,0.07515198476612568,0.0005244836414931343,0.0008155572053510695,0.00010375778874731623,0.00019495003216434272,0.0004311577300541103,0.00021215094966464676,0.002535854675807059,0.0010324793052859603,0.00838349428959191,0.0003977059153839946,0.0007053732580970973
21,0.002908789331559092,0.5041431963443757,4.256368899345398,0.012711905129253864,0.07398073151707649,0.12261055894196034,0.003498837898951024,0.005133524630218744,0.0010422606195788831,0.002877929678652436,1.5965423226356505,0.025220726523548363,0.07652833834290505,0.0026463078102096915,0.018064529821276664
22,0.008126451959833502,0.0063481608405709265,1.401391762495041,0.3520572051405907,0.017681815009564162,0.05506979711353779,0.0023768624174408614,0.0035375194274820387,0.003140470024663955,0.006754704471677542,7.415572619438171,0.19292781576514245,1.8748287737369538,2.62145094871521,0.021529905404895543
23,0.0008014585502678529,0.019695503916591407,1.7958692014217377,0.024407180957496166,0.003794269671197981,0.29797548353672026,0.0011650444997940213,0.0021318806917406618,0.0007023790152743459,0.0020433246856555345,1.894749104976654,0.01806765319779515,2.2273269057273866,0.0013156898377928883,0.0025082822190597653
24,0.0013555540470406413,0.02503001391887665,1.6284004390239715,0.30480077415704726,0.015516933798789979,0.028792902268469332,0.0012342891772277654,0.003253468160983175,0.0013053785485681146,0.01062656189315021,3.1394203305244446,0.019902377389371395,0.7630052000284195,0.0018028152640908958,0.0065849760314449675
