"cell_ID","05 OB-IMN GABA","30 Astro-Epen","03 OB-CR Glut","34 Immune","33 Vascular","31 OPC-Oligo","32 OEC","06 CTX-CGE GABA","29 CB Glut","09 CNU-LGE GABA","12 HY GABA","10 LSX GABA","02 NP-CT-L6b Glut","11 CNU-HYa GABA","13 CNU-HYa Glut"
"3",0,0,0,0,1,0,0,5.29204688910479e-18,0,0,0,0,0,0,0
"4",0,0.0313287761324955,0,0,0,0,0.355992758526055,0.0550558487836315,0.252521648487823,0.0775218027029146,0,-1.32288198580988e-19,0.227579165367081,0,0
"5",0.0383710474008278,0.318715796399658,0,0,0,0,-4.96885712225095e-19,0.109234436164636,0.360063979519808,0,0,0,0.0379451593891867,0.135669581125883,0
"6",0.0400975943780203,0.0646624385466286,0,0,0.0887282521499842,0,0,0,0.218081262617809,0.205343114436545,0,0.117635931407035,0.265451406463978,0,0
"7",0.00743820180194847,0,0.103813948467512,0.0956687826313099,0,0,-1.9908876371125e-18,0.0755444130445279,0.154086914835676,0.0480398372865831,0.0763215249907956,0.186815532173265,0.178757503103956,0.0735133416644262,0
"8",0,0.0964655827304848,0,0,0,0,0.299971462360619,0,0,0.0594617197386177,0,0,0.302301737152478,0,0.2417994980178
"9",0,0,0,0.0671495920294163,0,0,0.303034117251219,0,0.164332867825611,0,0,0,0.465483422893754,0,0
"16",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"17",0,0.0626190504170153,0,0,0,0,0.45642680468424,0,0.25081768630872,0,0,0,0.230136458590025,0,0
"18",0.998491467133408,0,0,0,0,0,0,0,0.00126011519077809,0,0,0,0,0.000248417675814277,0
"21",0.0483556195233325,0.178904248198773,0,0,0,0,0,0.0880069531409346,0.0849699971431988,0.330076129474216,0,0.125809268920776,0,0.143877783598769,0
"22",0,0.477980321802397,0,0,0,0.241862978069559,0,0.192860997847817,0.0871732490589332,0,0,0.00012245322129372,0,0,0
"23",0.132536406889984,0.208420775276038,0,0,0,0,0.000174651457352873,0,0.292268930475711,0.0906746982574388,0,0,0.275924537643475,0,0
"24",0,0.301407911125844,0,0,0,0,0.00277624622239744,0.187033260213503,0.20757487343441,0.000180199853044055,0,0,0.301027509150803,0,0
"25",0,2.50860747714726e-26,0,0,0,0,0,0.446251850884218,0.132173395335084,0.057853605707304,-2.3710636478565e-19,0.101423342864396,0.262297805208998,0,0
"26",0,0,0.173745778155843,0,0.764007276094955,0,0,0.0227149612378595,0.0395319845113425,0,0,0,0,0,0
"27",0,0,0,0.0517880598848644,0.948203083236672,0,0,0,0,0,0,0,0,8.85687846355597e-06,0
"28",0,0,0,0,0.93602473688575,0,0,0.0639752631142494,0,0,0,0,0,0,0
"39",0.172316992259355,0,0,0,0,0,0,0,0.349219978099151,0,6.26268513226261e-22,0.107613683689417,0.370849345952078,0,0
"40",0,0.123835548416162,0,0.0372469139056754,0.251803279180431,0,0.28573444900319,0.172791252339689,0.0375127864361879,0,0,0,0.0109678144943623,0,0.0801079562243032
"41",0.0854126405741898,0,0,0,0,0,0.537161363414572,0.106099565027968,0.271266419726105,6.00112571650338e-05,0,0,0,0,0
