"cell_ID","05 OB-IMN GABA","13 CNU-HYa Glut","34 Immune","32 OEC","03 OB-CR Glut","33 Vascular","31 OPC-Oligo","30 Astro-Epen","09 CNU-LGE GABA","06 CTX-CGE GABA","10 LSX GABA","12 HY GABA","02 NP-CT-L6b Glut","29 CB Glut"
"0",0,0,0.290296316259355,0,0,0.709703683740645,0,0,0,0,0,0,0,0
"1",0,0,0,0.214132886280028,0,0,0,0.777149417360352,0,0.00832983456543844,0,0,0,0.000387861794181985
"8",0,0,0,0.763825033199679,0,0,0.236174966800321,0,8.68700348515172e-18,0,0,0,0,0
"9",0,0,0,0.000665687564091403,0,0.999334312435909,0,0,0,0,0,0,0,0
"11",0,0,0,0.196270909785733,0,2.00945234115308e-18,0,0.129248169297371,0,0,0,0,0.213880465436174,0.460600455480722
"24",0,0.209767998405988,0,0,0,0.790232001594012,0,0,0,0,0,0,0,0
"25",0,0,0,0.376226677386495,0,0,0,0.290455806400669,0,0.166778573824321,0.150516948244419,0,0,0.0160219941440956
"26",0.174944773870371,0,0.0841682997121649,0.251919797559199,0,0.157119838696192,0,0,0.0470251240462989,0,0,0,0,0.284822166115775
"27",-1.00515793075767e-19,0,0,0,0.26099786526187,0.257123988239896,0,0,0,0.0844105549583441,0.396878987659317,0.000588603880573746,0,0
"28",0,0,0,0,0,0.628468985577827,0,0,0,0,0,0.371531014422173,0,0
"29",0.08674182883778,0,0.0415295894573769,0,0,0,0,0.156941888898733,0,0,0.71478669280611,0,0,0
"30",0.152702620320201,0,0,0,0,0.638572469382524,0,-1.79544506241019e-20,0.128367384249111,0.0187306514890918,0,0,0,0.0616268745590723
"31",0,0,0,0.128837822512671,0,0.871162177487329,0,0,0,0,0,0,0,0
"33",0,0.105986303780189,0.0449552837210306,0.29117034287841,0,0,0,0.557888069620371,0,0,0,0,0,0
"38",0,0,0,6.12428067632154e-19,0,0,0,1,0,0,0,0,0,0
"39",0,0.0195399334855605,0,0.222269215049119,0,0,0,0,0,0.448039701841655,0.1805011045034,0.106194564232665,0,0.0234554808876014
"40",0.113674673221427,-1.76904909638439e-18,0,0,0,0.36327781568136,0,0.164315816368406,0,0.000148648009422616,0,0.358395862006206,0,0.000187184713178517
"41",0.181344077221435,0,0,0,0,0,0,0.202385973732947,0,0.4058436719456,0.210426277100018,0,0,0
"42",0,0,0,0,0.605283469274098,0.112702423369108,0,0.0674851216130822,0,0,0.0515594446856344,0.154578524975836,0,0.00839101608224058
"43",0.208793951106443,0,0.00638350834628634,0,4.11566586963136e-18,0,0,8.97351259325584e-05,0,0.270727336466299,0.146015189524667,0.367990279430372,0,0
"44",0.20145621895299,0,0,0,0.092607335506766,0,0,0,0.045906054996751,0,0.388672537346563,0.173927028769915,0,0.0974308244270149
