,02 NP-CT-L6b Glut,03 OB-CR Glut,05 OB-IMN GABA,06 CTX-CGE GABA,09 CNU-LGE GABA,10 LSX GABA,12 HY GABA,13 CNU-HYa Glut,29 CB Glut,30 Astro-Epen,31 OPC-Oligo,32 OEC,33 Vascular,34 Immune
0,6.14598178799497e-05,0.006998188025318087,0.00012984781205886974,0.00016560273215873166,0.00010416226432425901,0.00026979248359566556,0.00019979725984740074,0.00042033082863781603,0.0002078595367493108,0.008842203253880144,0.0005194699740968645,0.06744584292173386,3.239574301242828,0.033230458945035936
1,0.0004957504716003314,0.007251067785546184,1.2177856266498566,0.01212054379284382,0.0021963950013741853,0.025159491784870626,0.005184943578206003,0.000649523758329451,0.0009990249236579984,4.514545893669128,0.015372275514528156,4.918794560432434,0.004860085807740689,0.003805762971751392
8,0.00012168529901828151,0.002935653342865408,0.0002912655123509467,7.468786570825614e-05,7.171096694946755e-05,0.00010573139006737621,8.39400920085609e-05,5.800027647637762e-05,5.014690486859764e-05,0.007958414126187563,0.0062475197715684775,0.9542477071285248,0.0008804318815236912,0.00022645467906841078
9,0.0006157488154713065,0.0004248633806128055,0.0002163615899917204,0.0023122398881241677,0.000684949045535177,0.0006397830409696326,0.0006428769673220814,0.003419586759991944,0.015282628033310175,0.007906804932281375,0.000570908485678956,0.9029759377241134,8.74199800491333,0.058540925942361356
11,4.493907581490931e-05,0.0023860923247411847,0.09167471416294574,9.510988711554091e-05,0.00016380178567487746,0.0004664545951527543,0.00018803154016495683,8.829458020045423e-05,6.377445606631227e-05,0.2361295238137245,0.0021750861662440005,0.6016085356473923,0.03054920183494687,0.0009296855918364599
24,0.0012315633648540825,0.0002709666921873577,0.00014218702854122968,0.0010429946705698967,0.000852635659975931,0.0007764875539578498,0.0009075382637092844,0.015859660785645248,0.011553980689495803,0.004362774197943509,0.0016175327007658781,0.5708506554365158,9.842358160018922,0.008965314086526632
25,0.0021428267820738254,0.35127621591091157,5.544558525085449,0.027879528049379588,0.002607755898497999,0.012782307388260961,0.04304763935506344,0.005223205895163119,0.0026800651801750066,1.5731144547462463,0.010261244839057326,9.92410168647766,0.009097684314474464,0.003104665142018348
26,0.0021132306195795537,0.00994547731243074,1.7839648187160493,0.002703991043381393,0.0011119652888737618,0.012973481277003885,0.014247883344069123,0.005827015009708703,0.0036303775967098774,0.3524090304970741,0.043270932883024214,2.1056635975837708,3.8163593411445618,0.3849294900894165
27,0.0026302238693460826,2.5621169209480286,5.082935476303101,0.015006639854982495,0.008290293859317899,0.006229832302778959,0.010617726715281606,0.00737406611442566,0.004391758888959885,0.05554933026432991,0.004387264978140593,0.2455277808010578,7.354890441894531,0.03650871980935335
28,2.965908861369826e-05,0.0004913680808385834,0.00014780123165110127,8.495760885125491e-05,7.389036545646377e-05,5.8374698528496094e-05,6.021964854880935e-05,6.412823822756764e-05,0.00024050736465142109,0.0011316802352666854,0.00032807344978209586,0.0001390901074046269,0.8381567627191544,0.00017577606195118278
29,0.0005016998620703816,0.001775628433097154,2.0691615462303163,0.00036638720630435275,0.0001465918670874089,0.015360907139256598,0.0007734750106465071,0.00017607746121939272,0.00041955478372983633,0.057880999147892,0.03094614315778017,0.011962925596162678,0.0005935028457315639,0.0020929617807269097
30,0.001476862916024402,0.0019512817321810873,4.089423823356628,0.004070747992955148,0.0012625641888007522,0.009255875321105124,0.05957553777843714,0.0025279668509028855,0.0008436921139946208,0.6022611558437347,0.05141089931130409,0.7108001947402954,3.7964829802513123,0.005222500488162041
31,0.0004559276421787218,0.0013770552061032504,0.0006960928731132299,0.0022042229655198755,0.0007183899899246172,0.0003788056055782363,0.001054139289772138,0.03709195703268051,0.001417687622597441,0.44922013580799103,0.0013860394246876242,0.21868543401360513,4.131924843788147,0.002425685210619122
33,0.002150148281361908,0.020621954277157784,0.005627173953689635,0.015708451485261322,0.003977274871431291,0.013458084827288986,0.0018658530665561558,0.003493349184282124,0.0009364833793370054,0.6209469586610794,0.017832010798156262,4.343146514892578,3.0007396697998048,0.1006536517292261
38,1.690733479335904e-05,0.0001125273385696346,7.4859340020339e-05,3.488971196929924e-05,1.0707028468459612e-05,3.0364820213435453e-05,5.7423673388257165e-05,2.0546732412185523e-05,2.0357949961180565e-05,2.329154098033905,0.0007605761929880829,0.09674408435821533,0.0008409630478126928,0.00017132374268840066
39,0.0004910951407509856,0.011423548636958002,3.464691436290741,0.005025015329010785,0.0003749680661712773,0.0012825233221519738,0.005665462790057064,0.0017352355760522186,0.0013456571672577412,0.08434380814433098,0.005253835977055133,4.6511938095092775,0.879086184501648,0.003781940101180226
40,0.005983851873315871,0.2681893602013588,6.939584565162659,0.01019238792359829,0.0037345022545196118,0.03771922029554844,0.022461862303316593,0.014823597064241767,0.00646255963947624,1.1943336486816407,0.05159508362412453,2.8710503339767457,5.661261057853698,0.013406431814655662
41,0.0010720169520936906,0.06369049772620201,8.59358458518982,0.005800067214295268,0.004068139474838972,0.006716746441088617,0.014982129773125052,0.001618913351558149,0.00045938925031805414,0.8558948040008545,0.009297766536474229,0.0030922435922548174,0.000824447040213272,0.0005843880324391648
42,0.001356752496212721,4.545574378967285,5.556903433799744,0.004006235464476049,0.005476124002598226,0.009142793621867895,0.01676638834178448,0.004299856605939567,0.001576164027210325,0.42354855835437777,0.004431974980980158,0.42589565068483354,1.5704936802387237,0.0034901500446721913
43,0.0011740047251805664,1.3516947865486144,10.845868396759034,0.003008728718850762,0.0021801680442877116,0.005209554103203118,0.011344089126214384,0.0023684157640673224,0.004707035957835615,1.1355357825756074,0.018028894346207382,0.03022837536409497,0.35998852401971815,0.2933716207742691
44,0.0042223526863381265,3.3130601406097413,13.726877737045289,0.010278198588639497,0.005796748283319175,0.02504980778321624,0.035646621510386466,0.0035160262254066766,0.03467502724379301,0.04682260733097792,0.010399197647348047,0.001723378151655197,2.9676607489585876,0.010888858791440725
45,0.0001688041345914826,0.0010492609231732787,0.00022993132733972746,0.00010893101789406502,6.60080859233858e-05,0.00011005856467818376,0.00021901284126215614,6.817714420321863e-05,0.0001846119179390371,1.4083352506160736,0.0006473949440987781,0.0005898435832932592,0.30904997438192366,0.0007150951656512916
46,0.0001839534663304221,0.6598067194223404,2.864731955528259,0.00028592196467798204,0.00027649064431898294,0.00040447935898555446,0.0004153451256570406,0.0003131234130705707,0.0003223619845812209,0.030247003864496948,1.5328646659851075,0.0008838191686663777,1.7885507583618163,0.0009218710940331221
47,0.0008678348094690591,0.1343926653265953,3.632214307785034,0.001287143671652302,0.0012141135812271386,0.00562652493827045,0.001391872303793207,0.000896911503514275,0.003427130379714072,2.985723781585693,0.003992330422624946,0.000844399759080261,5.50462167263031,0.016211788542568682
48,0.0005721609049942344,0.1581321746110916,8.397421073913574,0.007553714001551271,0.0009046183666214348,0.0050894430372864004,0.023748517967760563,0.000885626778472215,0.00043379567505326123,1.654033476114273,0.004050012584775687,0.8572301924228668,0.0028031590511091056,0.0012817917217034847
49,0.0007272421731613577,0.016931489575654268,5.203229784965515,0.09700896330177784,0.0020879023591987788,0.0035554192727431655,0.18093203827738763,0.0178340470418334,0.0006778562004910782,0.32215464264154436,0.005721874185837805,7.3559383153915405,0.005571883916854858,0.004160667420364916
50,0.0002362111983529758,0.03685553502291441,0.9118778735399247,0.000724436721066013,0.00035576251102611425,0.36099003106355665,0.0011834272241685539,0.0007300674595171586,0.0009178201464237648,0.014994989428669215,0.027088338602334262,0.056683874875307086,2.8505858182907104,0.005629983195103705
