gene_identifier,n_counts,n_cells
Ndufa13,11980.0,1507
Uqcrc2,5827.0,1322
Ndufv2,6908.0,1300
Hprt,4773.0,1027
Atp5j,13991.0,1542
Ddt,1795.0,669
Fkbp3,7395.0,1115
Ndufa11,7577.0,1395
Ndufa6,8244.0,1432
Atp6v1f,6608.0,1393
Ndufb9,8676.0,1448
Pml,145.0,87
Smim4,1033.0,509
Gm5643_loc2,2668.0,995
Ngfrap1,8449.0,1022
Wbp5,5162.0,1252
Nop10,4203.0,1134
Akr1a1,9296.0,1464
Mdh1,32133.0,1445
Vdac3,6338.0,1284
Mxra7,160.0,95
Tspan6,1122.0,504
BC002163_loc2,4313.0,1185
Otub1,3193.0,981
Sod1,5673.0,1288
Hars,3115.0,952
BC002163_loc1,5608.0,1351
Psmb5,5045.0,1177
Ndufb5,6281.0,1351
Hspe1,5538.0,1351
Gpx4,7784.0,1474
Cox4i1,19341.0,1618
Sncg,677.0,103
Pagr1a,1000.0,504
Npm1,6438.0,1313
Ndufb6,6256.0,1243
Myl12b,12626.0,1379
Idh3b,5741.0,1122
Hint1,7685.0,1437
Gpi1,8867.0,1368
Atp6v1e1,15520.0,1406
Cct8,5358.0,1227
Uchl1,7503.0,834
Mtfr1l,1313.0,578
Pts,1133.0,582
Sucla2,3305.0,1001
Tmx2,5105.0,1175
Fabp3,3885.0,697
Atp5h,10330.0,1450
Rnd2,370.0,231
Gm14326,1052.0,503
Pdhb,5465.0,1192
Ppa1,1874.0,708
Gm5506_loc1,10422.0,1419
Gabarapl2,8464.0,1497
Atp5g3,16463.0,1525
Acot7,8452.0,1303
Pdha1,5509.0,1181
Got1,6026.0,910
Tuba1b,12778.0,1413
Slc25a4,29682.0,1572
2700097O09Rik,546.0,322
Haus8,369.0,212
Pkib,173.0,110
S100a10,756.0,241
Chchd2,10106.0,1448
Asns,2072.0,598
Idh3a,4069.0,1104
Atp5b,15737.0,1521
Prdx2,8003.0,1378
Nudt19,916.0,476
Ckb,27298.0,1557
Morf4l2,8529.0,1294
Tubb2a,19863.0,1099
Pja1,3972.0,1017
Tuba1a,49435.0,1595
Stmn2,14700.0,905
5330434G04Rik,579.0,243
Vipas39,1365.0,580
Ndfip1,4280.0,1033
Snap47,6505.0,1020
Ran,5695.0,1324
Ndufs3,2661.0,864
Chga,1432.0,487
Atp6v1c1,5790.0,1149
Atp6ap2,9775.0,1425
Skp1a,9400.0,1479
Tubb3,4866.0,859
Gpr123,882.0,438
Ppp2r1a,6827.0,1307
Mansc4,26.0,13
Snhg5,1249.0,540
Tmem35,1091.0,463
Taf9b,898.0,455
Nck1,636.0,347
C1galt1c1,1852.0,707
Usp29,619.0,298
Epb4.1l4a,80.0,47
Gprasp2,2135.0,654
Strip2,327.0,205
Rwdd2b,261.0,173
Pfkm,3162.0,819
Cyb561d2,480.0,245
Pcdhb3,101.0,75
Necap1,1924.0,717
Vstm2a,2094.0,474
Gltpd1,452.0,243
Ccnh,1744.0,787
Clu,10103.0,1037
Cst3,38293.0,1442
Rabepk,790.0,403
Sln,163.0,30
Col25a1,709.0,252
Gm13629,210.0,137
Ubb,6215.0,1356
Copg1,2647.0,850
Dynlt3,3909.0,1043
Cgref1,229.0,129
Mdh2,7406.0,1297
Slc25a11,1857.0,666
Gm6710_loc1,450.0,266
Atp6v1h,4590.0,1152
Ndufa12,6790.0,1389
Pacrg,175.0,113
Pgk1,8141.0,1364
Usp14,3546.0,843
Oxr1,3023.0,935
Ascc1,451.0,349
Ankrd29,385.0,183
1110008J03Rik,571.0,263
Ube2v2,3246.0,949
Atp5a1,11989.0,1516
Tpgs2,1054.0,457
Emc4,3022.0,866
1500009L16Rik,288.0,172
Plekhb2,1952.0,759
Acot13,3383.0,998
Atp5o,11685.0,1428
Cox5b,3649.0,1050
Dctn3,4285.0,1063
Dnajb4,1693.0,659
Ghitm,11631.0,1395
Uqcrq,16042.0,1529
Cygb,755.0,259
Nit2,796.0,412
Atp5g1,10272.0,1206
Uqcrfs1,3565.0,986
Uqcrc1,2249.0,894
Romo1,2580.0,1015
Clmp,440.0,257
Atp5d,4693.0,1213
Nars,5121.0,1123
Ndufa10,4287.0,1078
Itgb3bp,484.0,267
Ndufb8,7339.0,1316
Slc25a12,3434.0,999
A530058N18Rik,124.0,78
Hbegf,829.0,345
Nudcd1,321.0,194
Fstl5,492.0,220
Myh13,23.0,18
Slbp,574.0,308
Elmo1,1301.0,620
Moap1,1221.0,487
