cell_ID,cell_type,n_counts,cellType,n_genes
127,iNeuron,9859.0,iNeuron,3653
128,iNeuron,10839.0,iNeuron,3712
129,iNeuron,15973.0,iNeuron,5187
130,iNeuron,11743.0,iNeuron,3468
131,iNeuron,8158.0,iNeuron,2647
132,iNeuron,12883.0,iNeuron,3828
133,iNeuron,17105.0,iNeuron,4315
134,iNeuron,15587.0,iNeuron,4367
135,iNeuron,15121.0,iNeuron,4444
136,iNeuron,13215.0,iNeuron,4190
137,iNeuron,6663.0,iNeuron,2694
138,iNeuron,10406.0,iNeuron,3622
139,iNeuron,10302.0,iNeuron,3888
140,iNeuron,6184.0,iNeuron,2968
141,iNeuron,13443.0,iNeuron,3710
142,iNeuron,7076.0,iNeuron,3052
143,iNeuron,11973.0,iNeuron,3884
144,iNeuron,12861.0,iNeuron,4187
145,iNeuron,13332.0,iNeuron,3900
146,iNeuron,11279.0,iNeuron,3871
147,iNeuron,9035.0,iNeuron,3366
148,iNeuron,13662.0,iNeuron,4269
149,iNeuron,9571.0,iNeuron,2626
150,iNeuron,8459.0,iNeuron,3331
151,iNeuron,8242.0,iNeuron,3284
152,iNeuron,8495.0,iNeuron,3066
153,iNeuron,9902.0,iNeuron,3011
154,iNeuron,9441.0,iNeuron,3053
155,iNeuron,10420.0,iNeuron,3771
156,iNeuron,13664.0,iNeuron,4103
157,iNeuron,12131.0,iNeuron,3846
158,iNeuron,10735.0,iNeuron,3689
159,iNeuron,8002.0,iNeuron,3139
160,iNeuron,9972.0,iNeuron,3898
161,iNeuron,16340.0,iNeuron,4667
162,iNeuron,12501.0,iNeuron,3854
163,iNeuron,12400.0,iNeuron,4435
164,iNeuron,18875.0,iNeuron,4630
165,eNeuron,29661.0,eNeuron,5573
166,eNeuron,33667.0,eNeuron,6495
167,eNeuron,24917.0,eNeuron,5444
168,eNeuron,31438.0,eNeuron,5929
169,eNeuron,55428.0,eNeuron,7936
170,eNeuron,16899.0,eNeuron,4275
171,eNeuron,37569.0,eNeuron,6939
172,eNeuron,23984.0,eNeuron,5376
173,eNeuron,22186.0,eNeuron,5824
174,eNeuron,34474.0,eNeuron,6539
175,eNeuron,21183.0,eNeuron,4690
176,eNeuron,37386.0,eNeuron,6686
177,eNeuron,22942.0,eNeuron,5277
178,eNeuron,39703.0,eNeuron,7403
179,eNeuron,21214.0,eNeuron,5302
180,eNeuron,33056.0,eNeuron,6231
181,eNeuron,32795.0,eNeuron,6253
182,eNeuron,18665.0,eNeuron,4562
183,eNeuron,25877.0,eNeuron,6155
184,eNeuron,43287.0,eNeuron,7466
185,eNeuron,27367.0,eNeuron,5590
186,eNeuron,19581.0,eNeuron,5258
187,eNeuron,12545.0,eNeuron,3908
188,eNeuron,26926.0,eNeuron,6183
189,eNeuron,34918.0,eNeuron,7152
190,eNeuron,19834.0,eNeuron,5396
191,eNeuron,29020.0,eNeuron,6389
192,eNeuron,24435.0,eNeuron,5804
193,eNeuron,25682.0,eNeuron,6431
194,eNeuron,28666.0,eNeuron,6453
195,eNeuron,42082.0,eNeuron,7070
