,Olig,astrocytes,cellType,eNeuron,endo_mural,iNeuron,microglia
0,0.03106038346886635,0.15433082953095437,0.00048089046613313257,0.014520218782126903,0.4249237418174744,0.0029306188924238087,0.040783067047595975
1,0.6254703223705291,0.8414898484945297,0.05903302356600761,0.1519932560622692,1.3730351805686951,0.43032175600528716,0.5414186775684356
2,0.43509243726730346,1.3414031326770783,0.01697270991280675,0.23683764338493346,0.9059628456830978,0.21539258509874343,0.5174922168254852
3,0.17952041551470757,1.1748787343502045,0.04853913150727749,0.2208716467022896,0.7432273507118226,0.5096576929092407,0.47177074402570723
7,0.40366740226745607,0.500508151948452,0.034740493260324,0.7588117688894271,1.243623924255371,0.28213770389556886,0.5574472904205322
8,0.754113182425499,1.3066746294498444,0.10411444157361985,1.1966229796409606,2.340068006515503,0.7449242472648621,1.2564513683319092
9,1.1723070442676544,1.336058634519577,0.17826080843806266,1.7567539453506469,2.5496867060661317,1.00542054772377,1.5540138840675355
10,1.1025681138038634,1.9173312664031983,0.2940151676535606,2.865790331363678,3.2836867332458497,1.6623213350772859,2.062773275375366
14,1.4848171532154084,2.0164601683616636,0.26277400702238085,3.194421923160553,3.5651910066604615,1.4439106106758117,2.6205885887145994
15,1.041198092699051,1.178990226984024,0.139059579372406,2.0078632116317747,2.8251290917396545,0.9437952369451523,1.7977405428886413
16,1.3981300473213196,2.07217298746109,0.2725663661956787,3.154233694076538,3.826417100429535,1.155918300151825,1.990256094932556
17,1.1852605581283568,1.7903409481048584,0.24127506613731384,3.1639753341674806,3.0913541316986084,1.0309046924114227,2.0256905555725098
21,1.4065334141254424,1.8029617965221405,0.2503167226910591,3.1164896845817567,3.5119543790817263,0.8048236697912217,2.1925453305244447
22,1.27751567363739,1.6309640407562256,0.26315287202596666,3.3815998435020447,3.899345004558563,1.265182876586914,2.440391516685486
23,1.4509293377399444,1.4945229053497315,0.25862827003002165,2.7740904450416566,3.40731360912323,1.293738603591919,2.0674101948738097
24,1.0077289760112762,0.9469624310731888,0.2103348858654499,3.006692278385162,2.5743496775627137,0.9191836148500443,1.4564999639987946
28,1.2308439016342163,1.7988986253738404,0.1266743376851082,2.096409463882446,2.4477770566940307,0.8582962930202485,1.4805330634117126
29,1.5270602226257324,1.7692157804965973,0.2742216885089874,3.0067964434623717,3.564044439792633,1.1177349984645844,2.165872073173523
30,1.8540123224258422,1.967336893081665,0.3430540069937706,4.676828742027283,4.327491283416748,1.4160335779190063,2.3870291352272033
31,0.1811387211084366,0.2534937262535095,0.12501636594533921,1.1616358697414397,1.335177981853485,0.23266145288944245,0.38870687037706375
35,1.147179412841797,1.2326132655143738,0.23711666017770766,2.7041624665260313,3.0656221747398376,1.008490914106369,1.4697073876857758
36,1.4221377432346345,1.868800276517868,0.28150212168693545,4.162209105491638,4.0698224067687985,1.1260551154613494,2.1973655104637144
37,1.0205121517181397,1.5686971783638,0.23636021763086318,3.519722580909729,3.0061304330825807,0.8799131959676743,1.8932535290718078
38,0.8698963403701783,2.6534435153007507,0.27354383915662767,3.2722158789634705,2.1961456656455995,0.8560678154230118,1.3303892195224762
