cell_label,brain_section_label,feature_matrix_label,donor_label,donor_genotype,donor_sex,cluster_alias,z,subclass_confidence_score,cluster_confidence_score,high_quality_transfer,neurotransmitter,class,subclass,supertype,cluster,neurotransmitter_color,class_color,subclass_color,supertype_color,cluster_color,n_counts
306329170945316766079473976959630505029,Zhuang-ABCA-1.007,Zhuang-ABCA-1,Zhuang-ABCA-1,wt/wt,F,1394,0.3,0.999990431488313,0.5996086570357295,True,GABA,05 OB-IMN GABA,044 OB Dopa-Gaba,0162 OB Dopa-Gaba_1,0588 OB Dopa-Gaba_1,#FF3358,#1b4332,#96CC7A,#CC5C5C,#665000,537.0
310812477995763737597774603048440241678,Zhuang-ABCA-1.007,Zhuang-ABCA-1,Zhuang-ABCA-1,wt/wt,F,1384,0.3,0.974564281376072,0.5883277254673178,True,GABA,05 OB-IMN GABA,042 OB-out Frmd7 Gaba,0158 OB-out Frmd7 Gaba_1,0569 OB-out Frmd7 Gaba_1,#FF3358,#1b4332,#CC6D3D,#4A0066,#998317,220.0
316226068961363058461675635844764214542,Zhuang-ABCA-1.007,Zhuang-ABCA-1,Zhuang-ABCA-1,wt/wt,F,5254,0.3,0.9999912183742244,0.5387838884490319,True,,33 Vascular,333 Endo NN,1193 Endo NN_1,5310 Endo NN_1,#666666,#858881,#994567,#00992A,#FFB473,281.0
319962538273253353993422706915049988730,Zhuang-ABCA-1.007,Zhuang-ABCA-1,Zhuang-ABCA-1,wt/wt,F,1385,0.3,0.9999855397850816,0.8677427121036178,True,GABA,05 OB-IMN GABA,042 OB-out Frmd7 Gaba,0158 OB-out Frmd7 Gaba_1,0571 OB-out Frmd7 Gaba_1,#FF3358,#1b4332,#CC6D3D,#4A0066,#FF8873,310.0
324893666499991763883187204591001348372,Zhuang-ABCA-1.007,Zhuang-ABCA-1,Zhuang-ABCA-1,wt/wt,F,1391,0.3,0.9619710470668836,0.8924922726431782,True,GABA,05 OB-IMN GABA,044 OB Dopa-Gaba,0162 OB Dopa-Gaba_1,0587 OB Dopa-Gaba_1,#FF3358,#1b4332,#96CC7A,#CC5C5C,#CC3DB6,454.0
32553315560491431710536782905479043697,Zhuang-ABCA-1.007,Zhuang-ABCA-1,Zhuang-ABCA-1,wt/wt,F,1386,0.3,0.987852775217886,0.9568103602404996,True,GABA,05 OB-IMN GABA,042 OB-out Frmd7 Gaba,0158 OB-out Frmd7 Gaba_1,0572 OB-out Frmd7 Gaba_1,#FF3358,#1b4332,#CC6D3D,#4A0066,#1F4466,97.0
326620383162967773568814382253247474729,Zhuang-ABCA-1.007,Zhuang-ABCA-1,Zhuang-ABCA-1,wt/wt,F,1379,0.3,0.9999899873935943,0.8586601151309035,True,GABA,05 OB-IMN GABA,042 OB-out Frmd7 Gaba,0159 OB-out Frmd7 Gaba_2,0575 OB-out Frmd7 Gaba_2,#FF3358,#1b4332,#CC6D3D,#4DFF68,#8A7ACC,122.0
327629385057412576275601969778492764664,Zhuang-ABCA-1.007,Zhuang-ABCA-1,Zhuang-ABCA-1,wt/wt,F,1393,0.3,0.9999960511474664,0.7923943519801036,True,Dopa,05 OB-IMN GABA,044 OB Dopa-Gaba,0162 OB Dopa-Gaba_1,0586 OB Dopa-Gaba_1,#fcf04b,#1b4332,#96CC7A,#CC5C5C,#3DCC8E,482.0
328785898168502528687673097466042801022,Zhuang-ABCA-1.007,Zhuang-ABCA-1,Zhuang-ABCA-1,wt/wt,F,1395,0.3,0.9999848610277348,0.6105479597686853,True,Dopa,05 OB-IMN GABA,044 OB Dopa-Gaba,0162 OB Dopa-Gaba_1,0582 OB Dopa-Gaba_1,#fcf04b,#1b4332,#96CC7A,#CC5C5C,#FF73B7,259.0
33027672236417315698569726445184985091,Zhuang-ABCA-1.007,Zhuang-ABCA-1,Zhuang-ABCA-1,wt/wt,F,1397,0.3,0.8816701544993423,0.5152795454383026,True,GABA,05 OB-IMN GABA,044 OB Dopa-Gaba,0162 OB Dopa-Gaba_1,0584 OB Dopa-Gaba_1,#FF3358,#1b4332,#96CC7A,#CC5C5C,#991759,94.0
333089554217919138921418714156337004138,Zhuang-ABCA-1.007,Zhuang-ABCA-1,Zhuang-ABCA-1,wt/wt,F,2875,0.3,0.9999937351302504,0.7107224197874362,True,Glut,03 OB-CR Glut,035 OB Eomes Ms4a15 Glut,0131 OB Eomes Ms4a15 Glut_2,0489 OB Eomes Ms4a15 Glut_2,#2B93DF,#D00000,#7F1FCC,#51663D,#2E4E99,554.0
333510066725700729762409594023001294188,Zhuang-ABCA-1.007,Zhuang-ABCA-1,Zhuang-ABCA-1,wt/wt,F,14953,0.3,0.9999927404272024,0.8926160312835252,True,,30 Astro-Epen,320 Astro-OLF NN,1166 Astro-OLF NN_1,5232 Astro-OLF NN_1,#666666,#594a26,#FF73CF,#26FF8F,#FF2630,284.0
333974843538121915113435464128726461316,Zhuang-ABCA-1.007,Zhuang-ABCA-1,Zhuang-ABCA-1,wt/wt,F,5255,0.3,0.9999540706115826,0.6732490826755507,True,,33 Vascular,333 Endo NN,1193 Endo NN_1,5311 Endo NN_1,#666666,#858881,#994567,#00992A,#CC3D76,333.0
337400348948602444455785362873501501371,Zhuang-ABCA-1.007,Zhuang-ABCA-1,Zhuang-ABCA-1,wt/wt,F,1289,0.3,0.9807355314072034,0.9752214425292424,True,GABA,05 OB-IMN GABA,039 OB Meis2 Thsd7b Gaba,0143 OB Meis2 Thsd7b Gaba_1,0520 OB Meis2 Thsd7b Gaba_1,#FF3358,#1b4332,#FF99F7,#9F00CC,#8DCC1F,84.0
33784899828327110716855312833394022834,Zhuang-ABCA-1.007,Zhuang-ABCA-1,Zhuang-ABCA-1,wt/wt,F,1388,0.3,0.9674631020145014,0.587097482181423,True,GABA,05 OB-IMN GABA,042 OB-out Frmd7 Gaba,0158 OB-out Frmd7 Gaba_1,0574 OB-out Frmd7 Gaba_1,#FF3358,#1b4332,#CC6D3D,#4A0066,#FF4D5C,154.0
338532371770765695703823118710297996183,Zhuang-ABCA-1.007,Zhuang-ABCA-1,Zhuang-ABCA-1,wt/wt,F,2877,0.3,0.9999898608561169,0.7018630285660998,True,Glut,03 OB-CR Glut,035 OB Eomes Ms4a15 Glut,0131 OB Eomes Ms4a15 Glut_2,0491 OB Eomes Ms4a15 Glut_2,#2B93DF,#D00000,#7F1FCC,#51663D,#8800FF,483.0
340065656824726888398675536722442065395,Zhuang-ABCA-1.007,Zhuang-ABCA-1,Zhuang-ABCA-1,wt/wt,F,1385,0.3,0.999970798819114,0.7475546096872383,True,GABA,05 OB-IMN GABA,042 OB-out Frmd7 Gaba,0158 OB-out Frmd7 Gaba_1,0571 OB-out Frmd7 Gaba_1,#FF3358,#1b4332,#CC6D3D,#4A0066,#FF8873,256.0
34318704623747994657535340958787097539,Zhuang-ABCA-1.007,Zhuang-ABCA-1,Zhuang-ABCA-1,wt/wt,F,2873,0.3,0.9999875245742058,0.9999875245742058,True,Glut,03 OB-CR Glut,035 OB Eomes Ms4a15 Glut,0133 OB Eomes Ms4a15 Glut_4,0494 OB Eomes Ms4a15 Glut_4,#2B93DF,#D00000,#7F1FCC,#7ACCA8,#006635,622.0
39922988708757063046492588457409821951,Zhuang-ABCA-1.007,Zhuang-ABCA-1,Zhuang-ABCA-1,wt/wt,F,1385,0.3,0.9733685244190156,0.8485661707529131,True,GABA,05 OB-IMN GABA,042 OB-out Frmd7 Gaba,0158 OB-out Frmd7 Gaba_1,0571 OB-out Frmd7 Gaba_1,#FF3358,#1b4332,#CC6D3D,#4A0066,#FF8873,116.0
44623064493149038941613104722957847701,Zhuang-ABCA-1.007,Zhuang-ABCA-1,Zhuang-ABCA-1,wt/wt,F,5241,0.3,0.852362000130729,0.7216987868647794,True,,32 OEC,328 OEC NN,1185 OEC NN_1,5291 OEC NN_1,#666666,#996B2E,#FF99CF,#3D5266,#995C88,337.0
50021226431043540288888756843552924175,Zhuang-ABCA-1.007,Zhuang-ABCA-1,Zhuang-ABCA-1,wt/wt,F,1395,0.3,0.9999889910043342,0.9685023687266716,True,Dopa,05 OB-IMN GABA,044 OB Dopa-Gaba,0162 OB Dopa-Gaba_1,0582 OB Dopa-Gaba_1,#fcf04b,#1b4332,#96CC7A,#CC5C5C,#FF73B7,294.0
