cell_ID,Rect_code,Rect_index,n_counts,n_genes
0,0_0,0,1062.0,704
1,0_1,1,10852.0,5321
2,0_2,2,8922.0,4403
3,0_3,3,7924.0,4243
7,1_0,7,12115.0,6044
8,1_1,8,25515.0,8058
9,1_2,9,35299.0,8879
10,1_3,10,46768.0,9051
14,2_0,14,63184.0,9684
15,2_1,15,40294.0,9233
16,2_2,16,58548.0,9596
17,2_3,17,45063.0,9057
21,3_0,21,57098.0,9673
22,3_1,22,67365.0,9814
23,3_2,23,52072.0,9435
24,3_3,24,31312.0,7944
28,4_0,28,40807.0,9283
29,4_1,29,59089.0,9695
30,4_2,30,70968.0,9632
31,4_3,31,8109.0,3930
35,5_0,35,40470.0,9070
36,5_1,36,65325.0,9668
37,5_2,37,46315.0,9217
38,5_3,38,37506.0,8372
42,6_0,42,39329.0,8961
43,6_1,43,45873.0,9335
44,6_2,44,34715.0,8561
45,6_3,45,17006.0,6237
49,7_0,49,52504.0,9537
50,7_1,50,42743.0,9266
51,7_2,51,73882.0,9683
52,7_3,52,43236.0,8580
56,8_0,56,43135.0,9135
57,8_1,57,64239.0,9671
58,8_2,58,59634.0,9581
59,8_3,59,32327.0,8028
63,9_0,63,22336.0,7660
64,9_1,64,104411.0,9924
65,9_2,65,48533.0,9129
66,9_3,66,43678.0,8681
70,10_0,70,81244.0,9853
71,10_1,71,30777.0,8468
72,10_2,72,73896.0,9654
73,10_3,73,20737.0,7331
77,11_0,77,50401.0,9516
78,11_1,78,62110.0,9723
79,11_2,79,70607.0,9800
80,11_3,80,41677.0,9086
81,11_4,81,12948.0,6197
82,11_5,82,7764.0,4245
83,11_6,83,8615.0,4343
84,12_0,84,54104.0,9537
85,12_1,85,70291.0,9779
86,12_2,86,65738.0,9712
87,12_3,87,73643.0,9796
88,12_4,88,49015.0,9582
89,12_5,89,72097.0,9803
90,12_6,90,21288.0,7400
91,13_0,91,16210.0,6510
92,13_1,92,41636.0,9130
93,13_2,93,57798.0,9517
94,13_3,94,52883.0,9552
95,13_4,95,64378.0,9767
96,13_5,96,42254.0,9132
97,13_6,97,30637.0,8252
101,14_3,101,25339.0,8000
102,14_4,102,75794.0,9865
103,14_5,103,58405.0,9519
104,14_6,104,4514.0,2494
109,15_4,109,6897.0,3763
110,15_5,110,3757.0,2289
