gene_identifier,n_counts,n_cells
Faf1,204.0,61
Faim2,590.0,65
Fam102b,210.0,54
Fam105a,185.0,53
Fam107b,105.0,42
Fam110a,136.0,50
Fam117a,97.0,42
Fam117b,251.0,58
Fam118a,194.0,50
Fam122b,160.0,52
Fam124b,232.0,62
Fam126b,439.0,60
Fam129a,233.0,58
Fam155a,257.0,60
Fam160a2,270.0,59
Fam160b2,242.0,60
Fam167a,214.0,58
Fam184b,212.0,59
Fam189a1,400.0,60
Fam189b,227.0,59
Fam192a,336.0,62
Fam193a,319.0,60
Fam193b,186.0,55
Fam196a,273.0,59
Fam196b,193.0,56
Fam198a,256.0,60
Fam199x,151.0,54
Fam19a1,221.0,53
Fam19a2,238.0,56
Fam19a3,111.0,40
Fam19a5,246.0,58
Fam20b,177.0,58
Fam20c,337.0,60
Fam210b,162.0,54
Fam212b,153.0,54
Fam214b,292.0,63
Fam221b,244.0,55
Fam26d,129.0,51
Fam26e,165.0,49
Fam35a,268.0,61
Fam43a,293.0,65
Fam53a,227.0,59
Fam53c,341.0,60
Fam69a,163.0,49
Fam71b,133.0,47
Fam71f1,136.0,51
Fam76a,207.0,57
Fam78b,184.0,54
Fam83e,185.0,58
Fam83g,106.0,41
Fam84a,183.0,53
Fan1,110.0,43
Fancc,71.0,35
Fancd2,189.0,54
Fancm,160.0,49
Farp2,278.0,61
Fastkd1,199.0,55
Fastkd2,215.0,54
Fastkd3,151.0,50
Fbf1,124.0,47
Fblim1,218.0,59
Fbln2,242.0,58
Fbln5,111.0,42
Fbn2,167.0,50
Fbxl12,283.0,65
Fbxl18,207.0,53
Fbxl19,791.0,66
Fbxl20,175.0,52
Fbxl4,184.0,58
Fbxl5,291.0,65
Fbxo10,324.0,64
Fbxo21,277.0,58
Fbxo24,152.0,51
Fbxo28,214.0,57
Fbxo32,117.0,48
Fbxo4,129.0,45
Fbxo41,530.0,64
Fbxo7,219.0,55
Fbxo8,317.0,61
Fbxw17,148.0,52
Fbxw4,415.0,63
Fcgbp,100.0,44
Fcgr1,121.0,48
Fcgrt,318.0,63
Fcho2,214.0,55
Fech,291.0,56
Fem1a,157.0,50
Fermt3,129.0,47
Ffar2,236.0,56
Fgd2,233.0,63
Fgd3,220.0,60
Fgf1,243.0,63
Fgf10,173.0,56
Fgf15,155.0,50
Fgfr1op,191.0,51
Fgfr3,421.0,65
Fgfrl1,196.0,57
Fhl1,213.0,59
Fhod3,702.0,66
Fig4,155.0,54
Fign,150.0,56
Fignl2,150.0,52
Filip1,246.0,62
Filip1l,173.0,54
Fip1l1,282.0,59
Fkbp14,116.0,44
Fkbp8,1943.0,70
Fli1,224.0,59
Flna,201.0,53
Flnc,223.0,60
Flot1,863.0,69
Flt1,185.0,56
Flt3,212.0,63
Fmn1,194.0,58
Fmo5,131.0,50
Fmr1,278.0,58
Fn3krp,312.0,60
Fnbp4,217.0,57
Fndc9,175.0,57
Fntb,288.0,62
Fosb,252.0,62
Fosl1,197.0,57
Foxa2,180.0,54
Foxh1,287.0,62
Foxj2,303.0,63
Foxk1,249.0,59
Foxn3,398.0,60
Foxo3,446.0,64
Foxo4,215.0,56
Foxred1,189.0,60
Frat2,145.0,46
Frem3,142.0,47
Frk,190.0,58
Frmd4a,166.0,48
Frmd4b,157.0,57
Frmd7,160.0,56
Frs2,189.0,52
Fscb,226.0,55
Fscn2,103.0,45
Fsd2,201.0,55
Fstl1,217.0,59
Fubp3,157.0,46
Fuca1,250.0,61
Fuom,143.0,51
Fut1,175.0,54
Fut11,137.0,44
Fzd10,237.0,55
Fzd8,224.0,59
G2e3,159.0,45
G630093k05rik,156.0,53
Gab3,214.0,62
Gabbr2,1644.0,68
Gabra3,211.0,59
Gabra4,230.0,62
Gabrd,405.0,67
Gabrr1,190.0,58
Gabrr2,134.0,41
Gad2,369.0,60
Galc,158.0,52
Galk2,183.0,53
Galm,128.0,45
Galnt10,200.0,57
Galnt13,102.0,44
Galnt16,410.0,64
Galnt9,612.0,62
Gan,210.0,54
Ganc,183.0,55
Gata6,172.0,54
Gatad2a,162.0,50
Gatm,301.0,61
Gba,260.0,61
Gbgt1,152.0,50
Gca,185.0,50
Gcgr,133.0,46
Gckr,178.0,52
Gclc,296.0,63
Gcm2,189.0,50
Gcnt1,116.0,48
Gdf11,172.0,51
Gdf5,187.0,56
Gdf6,114.0,50
Gdpd5,386.0,62
Gemin5,227.0,57
Gen1,157.0,54
Gfer,124.0,46
Gfod1,285.0,61
Gfod2,385.0,66
Gga1,368.0,61
Ggt7,325.0,60
Ghsr,104.0,42
Gid4,172.0,54
Gigyf2,275.0,58
Gimap8,127.0,43
Gja5,140.0,50
Gjd2,153.0,53
Gjd4,146.0,50
Gla,141.0,47
Glb1,172.0,52
Glb1l,125.0,49
Glb1l2,169.0,52
Glb1l3,240.0,54
Glipr2,148.0,50
Gls2,364.0,69
Gm10336,144.0,52
Gm10389,122.0,46
Gm10494,183.0,56
Gm14092,138.0,52
Gm15816,99.0,37
Gm16497,147.0,49
Gm17769,214.0,55
Gm1966,144.0,50
Gm19782,153.0,53
Gm2762,239.0,62
Gm4371,231.0,61
Gm4759,189.0,56
Gm4922,197.0,57
Gm4961,289.0,61
Gm5069,153.0,49
Gm5113,153.0,51
Gm5878,162.0,57
Gm597,199.0,55
Gm7337,165.0,55
Gm884,101.0,41
Gm960,122.0,44
Gmip,169.0,56
Gmnc,126.0,45
Gmppa,228.0,58
Gna11,448.0,64
Gna12,713.0,71
Gna15,187.0,54
Gnai3,427.0,66
Gnat1,171.0,55
Gnb1l,217.0,55
Gnb4,212.0,60
Gne,416.0,65
Gng3,474.0,64
Gng4,322.0,61
Gnl1,430.0,64
Gnl2,340.0,65
Gnpat,202.0,60
Gns,211.0,58
Golga1,146.0,51
Golga7b,915.0,66
Golm1,174.0,56
Golph3,513.0,63
Gpa33,187.0,58
Gpaa1,200.0,54
Gpatch4,347.0,58
Gpbp1,143.0,51
Gpc4,242.0,59
Gpc5,219.0,63
Gpc6,249.0,60
Gpd1,375.0,60
Gper1,246.0,59
Gpkow,223.0,60
Gpr1,164.0,55
Gpr107,308.0,62
Gpr135,282.0,62
Gpr15,182.0,55
Gpr151,173.0,59
Gpr156,173.0,50
Gpr171,122.0,40
Gpr179,129.0,48
Gpr20,91.0,44
Gpr37,218.0,57
Gpr39,194.0,56
Gpr45,246.0,60
Gpr65,212.0,57
Gpr83,230.0,56
Gpr87,169.0,51
Gpr88,256.0,61
Gprc5b,327.0,65
Gprc5c,218.0,55
Gpx3,191.0,57
Gramd1b,617.0,66
Gramd1c,217.0,57
Grap,204.0,57
Grap2,168.0,56
