"cell_ID","Integument_atp1b1b","Neural Stem Cells","Brain, Spinal Cord","Epidermis_egfl6, YSL","Pharyngeal Arch, Somite, Cardiovascular System","Epidermis_evplb","Epidermis_tnn","Tail bud","Pigment Cell","Central Nervous System","Optic Cup","Central Nervous System_ntn1b","Blood Vessel Endothelial Cell","Hatching Gland","Erythroid Lineage Cell","Notochord","Solid Lens Vesicle","Integument_pvalb8","Otic Vesicle","Central Nervous System_msx3","Musculature System","GABAergic Neuron","Leukocyte"
"-738_2210",0,0,0,0,0,0,0,0.0684943870535876,0,0,0,0.779545177007102,0,0.00847540757461362,0,0.0242339175261558,0,0,0,0,0.119251110838541,0,0
"-563_2250",0,0,0,0,0,0.0146685933176357,0,0.262039958957932,0,0,0,0,0,0,0.0384181972007291,0.00998380542259305,0,0,0,0,0.674889445101111,0,0
"-573_2415",0.240450043443119,0,0,0.288557433442386,0,0.0849786530194577,0,0.240093418317038,0,0,0,0,0,0,0.0405852051129875,0,0,0,0,0,0.105335246665013,0,0
"-553_2250",0,0,0.000101864543760243,0,0,0.057482177536163,0,0.146254137694001,0,0.136013283842506,0,0,0,0.00663432542934661,0.204113154190236,0,0,0,0.0948538929650979,0,0.354547163798889,0,0
"-768_2130",0,5.87860057662192e-19,0,0,0,0.0716126306647567,0,0.75957568143413,0,-3.58950082411343e-19,0,0,0,0.167396417227743,0.00137874529702207,0,0,0,0,0,0,3.65253763486649e-05,0
"-493_2385",0,0,0,0,0,0.0848405766874124,0,0.135400401972578,0,0,0,0,0.0275982999223465,0,0.02727547095673,0,0,0,0,0,0.724885250460933,0,0
"-613_2165",0,0,0,0,0.290931544544475,0.0467824188324714,0,0.303592821608282,0,-2.98626431612541e-19,0,0,0,0,0.0388663610543776,0,0,0.0551573615453783,0,0,0.264669492415016,0,0
"-723_2225",0,0.202622254431716,0,0,0,0.0206587696295044,0,0,0,1.7021373428584e-05,0.623982479138786,0,0,0,0.000123264519330243,0,0,0,0,0,0.152596210907235,0,0
"-773_2200",0,0,0,0,0,0,0,0,0,0.818435154947198,0,0,0,0,0,0,0,0,0,0,0.181564845052802,0,0
"-518_2240",-4.88324030173025e-19,0,0,0.171633800059277,0.220921361785713,0.263579389207659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.343865448947351,0,0
"-758_2150",0,0,0,0,0,0,0,0.0376590286626664,0,0,0.881743336647422,0,0,0,0,0,0,0,0,0,0.0805976346899114,0,0
"-508_2255",0,0,0,0,0.28691437222956,0.0882111791214905,0,0.22576990300258,0.141356868021824,0,0,0,0,0,0.000866115586219322,0,0,0,0,0,0.21466991945976,0.0421844546621202,2.71879164448318e-05
"-733_2230",0,0,0,0,0,0,0,0.0825899342667047,0,-1.47919849724548e-19,0,0.803467098092701,0,0,-1.46610112130922e-19,0,0,0,0,0,0.113942967640594,0,0
"-758_2225",0,0.217694648646397,0,0,0,0,0,0,0,0.564960072953899,0,0,0,0,0,0,0,0,0,0,0.217345278399704,0,0
"-498_2265",0,0,0,0.0282092490672462,0,0,0,0.42596546242517,0,0,0,0,0,0,0.0338865512557699,0,0,0.0995105073336275,0,0,0.400402636074288,0.0120255938438986,0
"-493_2230",0,0,0,0,0.445617813025219,0.0118862128099698,0,0.0506895392410999,0,0,0,0,0,0.199220684155051,0,0,0,0,0,0,0.277130245345523,0.0154555054231381,0
"-538_2290",0,0,0,0.0397690726138326,0.143934986824046,0,0,0,0,0,0,0,0,0,0.0914818700410673,0,0,0,0,0,0.681675894421619,0,0.0431381760994352
"-603_2095",0,0,0.099162875290586,0,0,0.0952217229621698,0,0.108174250123521,0,0,0,0,0,0.000378309692759397,0,0,0,0,0,0,0.0826760187807434,0.135301983386708,0.479084839763512
"-613_2075",0,0.0321862387858883,0,0,0,0.0560607031485446,0,4.14852108454374e-09,0,0,0,0,0.0780373023656809,0,0,0,0,0.0802058597891382,0,0.122946004595854,0.630563887166372,0,0
"-613_2085",0,0,0,0,0.171069774190467,0.0840826320916074,0,0.101491764710866,0,1.20990477025694e-20,0,0,0,0,0,0,0,0.0808911963926294,0,0,0.245150670226443,0,0.317313962387987
"-818_2200",0,0,0,0,0,0.0587805185062103,0,0,0,-1.43553788506257e-17,0.590431051300407,6.78697096945796e-06,0,0,0,0,0,0,0,0,0.350781643222413,0,0
"-818_2205",0,0,0,0,0.0616823560175615,0.125018498771598,0,0,0,0.000117739500537442,1.22860466675644e-17,0,0.743828503012471,0,0,0,0,0,0,0,0.0693529026978322,0,0
"-768_2230",0,0,0,0,0,0,0,0,0,0.655061146439689,0,0,0,0,0,0,0,0,0,0,0.344938853560311,0,0
"-508_2390",0,0,0,0.19100977996699,0.16333750310704,0.26783235185614,0,0,0.0996846184370245,0,0,0,0,-2.30292119432947e-22,0,0,0,0,0,0,0.278135746632806,0,0
"-488_2365",0,0,0,0.000393212944916754,0.107116220719927,0.0746592125956573,0,0,0,0.550926976861857,0,0,0,0,0.0284819313358385,0,0,0,0,0,0.238422445541804,0,0
"-818_2150",0,0,0,0,0,0,0,0,0,0.000102839668237583,0,0,0,0,0.00312900385848672,0,0,0.920913071792271,0,0,0.0758550846810052,0,0
"-813_2165",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"-728_2080",0,0,0,0.163898808470724,0,0,0,0,0,0,0.00434719327655252,0,0.578130186001087,0,0,0,0,0,0,0,0.253623812251636,0,0
"-778_2135",0,0,0,0.0703531716183633,0.109186915340916,0.146388441701072,0,0,0,0.0830805515744658,0.281532768635695,0,0,0.00162290593808029,0,0,0,0.124091646909804,0,0,0.144605699219614,0,0.0391378990619895
"-558_2315",0,0,0,0,0.531730228074845,0.00777501409141807,0,0.185553940530016,0,0,0,0,3.78308092727788e-05,0.0578881617381426,1.3278183697544e-05,0,0,0,0,0,0.217001546572608,0,0
"-503_2230",0,0,0,0,0.00015172788438292,0.0904145933821524,0,0.380156296661918,0,0,0,0,0,0.0015522263055579,0.0939025475952133,0,0,0,0,0,0.433822608170776,0,0
"-788_2130",0,0,0,0,0,0.00060273152048364,0,0,0,0.127204525363393,0,0,0,0,0.0285246939078198,0,0.266275895492923,0.250835711144934,0,0.326556442570446,0,0,0
"-573_2335",0,0,0,0,0,0.0559765627361973,0,0.449634457034108,0,0,0,0,0.334148421551181,0.000293452940165057,0.000211325089708087,0,0,0,0,0,0.159735780648641,0,0
"-588_2315",0,0,0,0.0617251570588123,0,0.0954176141615274,0,0.484795887485953,0,0,0,0,0.220451661370149,0.000205169503481169,0,0,0,0,0,0,0.137404510420077,0,0
"-578_2320",0,0,0,0.154220725768209,0,0.330616451932037,0,0.391344023676842,0,0,0,0,0,0,0.00333468168183276,0,0,0,0,0,0.12048411694108,0,0
"-643_2125",0,0.19214398529895,0,0,0,0,0,0.0694123858908967,0,0.00311023119475279,0,0.706902815337992,0,0,0,0,0,0,0,0,0.0284305822774083,0,0
"-723_2240",0,0,0,0,0,0.147718198745294,0,0.522552729771917,0,0.16350612627471,0,0,0,0,0.049626196521022,0,0,0,0,0,0.116596748687057,0,0
"-703_2135",0,0,0,0,0,0.417230016147562,0,0.497087366030104,0,3.80926062195102e-19,0,-6.0404870864599e-19,0,0,0.0856826178223338,0,0,0,0,0,0,0,0
"-618_2155",0,0,0,0,0,0.0780898418768788,0,0.321341304123342,0,0,0,4.77460738269255e-18,0,0,0,0.163402797601159,0,0,0,0,0.43716605639862,0,0
"-778_2110",0,0,0,0,0,0.131025884159662,0,0.336503673333012,0,0.0659798874098887,0,0,0,0,0,0.000103044936068158,0,0.295302252733385,0,0,0.171085257427984,0,0
"-733_2170",0,0,0,3.33184727798977e-05,0,0.0409568062003215,0,0.17017595209123,0,0.107532364719536,0,0,0,0,0,0,0,0,0,0,0.681301558516132,0,0
"-588_2355",0,0,0,0.000241322992324637,0,0.0989561121334755,0,0.355688416102558,0,0,0,0,0,0.104888950959065,0.0547058118572797,0,0,0,0,0,0.163736313665726,0,0.221783072289571
"-558_2200",0.07978564801105,0,0,0,0.0178425415061616,0,0,0,0.271343888643752,0,0,0,0,0,0,0.419591691071055,0,0,0,0,0.16554595787918,0.0458902728888014,0
"-533_2485",0,0,0,0,0,0.507735861658424,0,0,0,0,0,0,0,0,0.100738588052748,0,0,0,0,0,0.327609103279278,0,0.063916447009551
"-533_2320",0,0,0,0,0.00132179838922042,0,0,0,0,0,0,0,0,0,0,0.154133117872571,0,0,0,0,0.844545083738209,0,0
"-778_2255",0,0,0,0.247862559622381,0.194859637995929,0.119182942063885,0,0,0,0,1.22876196426984e-18,0.128814946509478,0,0.00081171641512285,0,0.112327939185595,0,0.156487814948276,0,0,0.0396524432593335,0,0
"-493_2470",0,0,0,0.000104941452618823,0,0.254502509386123,0,0,0,0,0,0,0,0,0.0686949050211053,-1.78888030603433e-19,0,-6.29362318072379e-19,0,0,0.676697644140152,0,0
"-583_2295",0,0,0,0.131888585645167,0,0.383195378334559,0,0.452617709191143,0,0,0,0,0,4.15069480225057e-20,0,0,0,0,0,0,0.0322983268291312,0,0
"-608_2175",0.403592458625047,0,0,2.68675175141239e-19,0.0949506771489177,0,0,0.246057755276219,0,-8.84672436892466e-18,0,0,0,0,0,0,0,0.000524104087940105,0,0,0.254875004861876,0,0
"-483_2420",0,0,0,0,0,0.269461296401631,0,0,0,0.056313935213812,0,0,0,0,0.135410042163322,0,0,0,0,0,0.538814726221234,0,0
"-638_2075",0,0.213894601410388,0,0,0,0.0340781394749879,0,0.0690720739033004,0,0.0462714650927368,0,0,0,0,0,0,0,0,0,0,0.636683720118587,0,2.77157109862046e-18
"-493_2245",4.70413682640876e-22,0,0,0,0,0,0,0,0,0.709589185384962,0,0,0.000282769682696077,0,0.0322879049618602,0,0,0,0,0,0.257840139970482,0,0
"-573_2210",0,0,0,3.35127598372087e-19,0.0471664395055005,0,0,0.152236582665174,0,0,0,0,0.216763246754879,0.111616325633302,0.12530112880248,0,0,0,0.121893440281114,0,0.225022836357552,-6.52252289014123e-19,0
"-678_2120",0,0,0,0,0.132125480435185,0.0323615502268334,0,0.107171297081489,0,0.349879399725378,0,0,0,0,0,0,0,0.0683967506197754,0,0,0.0786813638455385,0.2313841580658,0
"-803_2095",0,0,0,0,0,0.0706202242830711,0,0,0,2.41698527518988e-18,0,0,0.725425363107436,0,0,0,0,0,0,0,0.203954412609493,0,0
"-578_2410",0,0,0,0.0465285606802913,0,0.0889751539891637,0,0.257604853625885,0,0,0,0,0,0.328931425889031,0.0978250606903758,0.119234779432164,0,0,0,0,0.0609001656930897,0,0
"-508_2425",0,0,0.42267454222303,0,0,0,0,0,0.0810801906095217,0.00825231901717438,0,0,0,0,0.0457362648472019,0,0,0,0,0.348655155549749,0.0936015277533239,0,0
"-508_2470",0,0,0,0.0656092173322559,0.222811765470737,0.100946371285162,0,0,0.000341767452606043,0,0,0,0,0.0734708632385227,0,0,0,0,0,0,0.536820015220717,0,0
"-558_2195",0,0,0,0,0.0224110555485954,0,0,0.457273160710673,0,0,0,0,0,0,0,0,0,0,0,0,0.322714906934313,0.060630413105735,0.136970463700684
"-593_2185",3.73442801639446e-05,0,0,0,0,0.0775631860657467,0,0.536918875189365,0,0,0,0,0,0,0.0707616960600526,-6.38460343339371e-25,0,0,0,0,0.314718898404671,0,0
"-743_2095",0,0,5.46654189769266e-05,0,0,0.0504489627412584,0,0.143074648160758,0,0.300544269367649,0,0,0.11138430597641,0,0,0.0756312789249636,0,0,0,0,0.167106165379232,0.151754258381736,1.44564901640804e-06
"-763_2260",0,0,0,0.112598473042987,0.0898517827196091,0,0,0,0,0,0,0.428953755039005,0,0.131030561465878,0,0.1519905476182,0,0.0444003622057076,0,0,0.0411745179086127,0,0
"-768_2190",0,0,0,0,0,0,0,0,0,0.982798931297688,0,0,0,0,0,0,0,0,0,0,0.0172010687023116,0,0
"-503_2330",0,0.133227307414527,0,0.0572073071126753,0,0.0469686997510577,0,0.0373081736581948,0,0,0,0,0,0,0.0511352535731734,0,0,0.142388510740685,0,0,0.470086323777338,0,0.0616784239723485
"-583_2175",0,0,0,0,0.366316850225413,0,0,0,0,0,0,0,0,0,0.0141770546803975,0,0,0,-6.17055383644249e-20,0,0.61950609509419,0,0
"-523_2360",0,0,0,0,0.112384747664681,0,0,0,0,0,0,0,0,0.0204844576284595,0,0,0,0.0294856629217149,0,0,0.837645131785145,0,0
"-558_2340",0,0,0,0.00847933131958177,0,0.103125822789587,0,0.409444443007123,0,0,0,0,0.129296732358156,0.0203918873217331,0.0667947919106617,0,0,0,0,0,0.262466991293158,0,0
"-503_2270",0,0.136530368919163,0,0.0724400730601848,0,0.0931939387544244,0,0.144138188222548,0,0,0,0,0.138997060981595,0,0,0,0,0,0,0.0329993901238126,0.381700979938273,0,0
"-803_2200",0,0,0,0.00115393623796585,0,0,0.19030993346109,0.129455258034768,0,0,0,0.462911807129199,0,0,0,0,0,0.0938967302000414,0,0,0.122272334936936,0,0
"-683_2115",0,0.707961886524365,0,0,0,0,0,0.163113268938316,0,0,0,0,0,0,0,0,0,0,0,0,0.12892484453732,0,0
"-808_2155",0,0,0,0.0339633822832729,0.0700755156016663,0.0319883171423085,0,0,0,0.845724214881815,0,0,0,0,0,0.0182485700909374,0,0,0,0,0,0,0
"-763_2225",0,0.229678481065781,0,0,0,0,0,0,0,0.547559636781397,0,0,0,0,0,0,0,0,0,0,0.222761882152822,0,0
"-523_2285",0,0.141325636133417,0,0,0,0,0,0,0.128299294593093,0,0,0,0.127872917857281,0.000105741619061029,0,0,0,0,0,0.000697012958195444,0.601699396838953,0,0
"-493_2460",0,0,0,0,0.246707636677019,0.287938403544543,0,0.0929047475318877,0,0,0,0,0,0,0.0209053540815766,2.47960301523763e-18,0,0,0,0,0.351543858164974,0,2.2240939129648e-18
"-573_2265",0,0,0,0.0797831587672911,0.455753976652246,0,0,0.192255820596623,0,0,0,0,0.0274915474775994,0,0.0289061046911485,0,0,0,0,0,0.215809391815092,0,0
"-543_2185",0,0,0.00201926488734618,0.132721896541167,0.253156689501791,0.238241174141513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0979820367464461,0,0.275878938181736
"-498_2470",0,0,0,0.125060873186918,0,0.172762757423106,0,0,0,0,0,0,0,0,0,0.0341067560935656,0,0.248529809929618,0,0,0.419539803366793,0,0
"-563_2130",0,0.144469726212183,0.0498673314063111,0,0,0.0372054876798412,0,0,0.316271146228445,0,0,0,0,0.107369505613731,0.0471908048306443,0,0,0,0,0.130692993517312,0.166933004511531,0,0
"-608_2155",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00143044733414877,0,0.729235803675679,0,0.00109940713485701,-7.39411001253177e-19,0.268234341855315,0,0
"-733_2100",0,0,0,0.0568668744329105,0,0.0210667675516562,0,0,0,0.902355906940394,0,0,0,0,0,0,0,0,0,0,0.0197104510750389,0,0
"-733_2200",0,0,0,0.00931348435958174,0,0.0382614096559525,0,0.429882016306092,0,0.350116195258723,0,0,0,0,0.0485610951098548,0,0,0,0,0,0,0,0.123865799309796
"-678_2095",0,0,0,0.190853666074491,0,0.0313823315352832,0,0,0,0.432655725505159,0,0,0,0,0.0319091947012352,2.21588433275329e-05,0,0,0,0.0367331509602355,0,0,0.276443772380268
"-533_2370",0,0.0987288748702491,0,0,0,0.0199780396501207,0,0.152451236384872,0,0,0,0,0,0.00286974796803326,0.0573089297207948,0,0,0.0940340802139851,0,0,0.574629091191944,0,0
"-533_2190",0,0,0,0.0381812379753452,0.318900901294683,0.080223908430014,0,0,0.166874606779625,0,0,0,0,0.00251432478644715,0.0706057097500824,0,-2.54527412874181e-18,0,0,0,0.223800343656127,0.0988989673276761,0
"-593_2140",0,0.138545200766543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00539378583170751,0.721699574147813,0,0,0.134361439253936,0,0
"-533_2350",0,0,0,0,0,0,0,0.100983989120214,0,0,0,0,0.31627295689222,0,0.0979703964994311,0.00277314120537589,0,0,0,1.72575912717585e-21,0.481999516282759,0,0
"-583_2250",0,0,0,0,0,0.100566340710939,0,0.31635709581023,0,-4.9154472120694e-19,0,0,0.175219115883228,9.70156398295053e-05,0.0172912008520303,0,0,0,0,0,0.390469231103743,0,0
"-533_2210",0,0,0,0.00794773147101148,0.0720775055936265,0.0606673057555454,0,0,0,0,0,0,0,0,0,0,0,0.153466090711403,0,-7.09595230854421e-19,0.501050362078334,0,0.20479100439008
"-688_2110",0,0,0,0,0,0,0,0,0,0.744225543253598,0,0,0,0,0,0,0,0,0,0,0.255774456746402,0,0
"-833_2195",0,0,0,0,0,0.0203825156933775,0,0.247498604079106,0,0.276720373810795,0.114487827670202,0,0,0,0,0.0264411740017337,0,0,0,0.145694517845454,0.168774986899331,0,0
"-828_2120",0,0,0,0,0,2.3989119332373e-05,0.088640825710449,0,0.211491111345064,0.468435721068712,0,0,6.94305320031283e-05,0,0,0,0,0.144998271709983,0,0,0.0863406505144563,0,0
"-748_2155",0,0,0,0,0,0,0,0,0,0.922718346227699,0,0,0,0,0,0,0,0,0,0,0.0772816537723011,0,0
"-688_2115",0,0.187862992655998,0,0,0.0340292293132759,0,0,0,0,0.541006418370687,0,0,0.237101359660039,0,0,0,0,0,0,0,0,0,0
"-563_2225",0,0,0,0,0.178153999563197,0.0429569422638927,0,0.199482707469345,0,0,0,0,0,-4.27990046576939e-22,0.26376632630413,0,0,0,0,0,0.315640024399435,0,0
"-503_2455",0,0,0,0,0.610635029294542,0.0564216053323529,0,0,0,0,0,0,0,0.000117777735061234,0.0488397710695569,0,0,0,0,0,0.283985816568486,0,0
"-593_2175",0,0,0,0,0.134599762960208,0,0,0.586629564601091,0,0,0,0,0,0,0.0648565913117937,1.48478222948901e-18,0,0,0,0,0.213914081126907,0,0
"-558_2335",0,0,0,0,0,0.0376888191962394,0,0.388475212186492,0,0,0,0,0,0,0.0513637863276068,0.0253871568081047,0,0,0,0,0.497085025481558,0,0
"-748_2170",0,0,0,0,0.151120615947831,0,0,0,0,0.00443523084082982,0.766157917793831,0,0,-2.21048535538228e-19,0,0,0,0.0782862354175078,0,0,0,0,0
"-753_2225",0,0.137589767300468,0,0,0,0,0,0,0,0.096213868251099,0,0.619937882352422,0,0,0,0,0,0,0,0,0.0497069312553375,0.0965515508406735,0
"-523_2355",0,0,0,0,0,0,0,0.120612954048635,0,0,0,0,0,0,0.0227396609318242,0.00670464637552761,0,0.048201529865391,0,0,0.801741208778622,0,0
"-583_2335",0,0,0,0.219788584191642,0,0.162249655104347,0,0.43881065178984,0,0,0,0,0,0,0.0536210118110481,0,0,0,0,0,0.125530097103122,0,0
"-783_2245",0,0.586988221258152,0,0,0.00180496934645998,0.12700352581231,0,0.119263390582506,0,0,0,0,0,0,0,0,0,0,0,0,0.126122605990396,0.0388172870101765,0
"-518_2445",0,0,0.00148207966536506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0599208418806564,0,0,0.836800905862017,0.101796172591962,0
"-533_2165",0,0,0,0,0,0.0470874470972434,0,0,0,0.043293355077783,0,0,0,0.0110857103511977,0.0255070760947622,0,0,0,0,0,0.637724467955765,0,0.235301943423248
"-833_2200",0,0,0,0,0,0.236866020215115,0,0.298281713937469,0,2.28602840136278e-18,0,0,0,0,0.0489620804167841,0,0,0,0.00490735323100255,0,0.265242375071272,0.145740457128356,0
"-503_2375",0,0,0,0.037203007573236,0.162536550925274,0.169487300838296,0,0,0,0,0,0,0,0,0.0301320213165104,0,0,0,0,-7.13643520628529e-22,0.52746901677535,0,0.0731721025713336
"-768_2235",0,0,0,0,0,0,0,0,0,0.511183588986846,0,0,0,0.322651019461865,0,0.000897529992076055,0,0.00102396707553074,0,0,0.164243894483682,0,0
"-743_2115",0,0,0,0,0,0.0186779811153843,0,0.0531353241065077,0,0.888816781585969,0,0,0,0,0,0,0,0,0,0,0.0393699131921392,0,0
"-663_2115",0,0.859605778081511,0,0,0,0,0,0,0,0.00779853147132263,0,0,0,0,0,0,0,0,0,0,0.132595690447166,0,0
"-763_2180",0,0,0,0,0,0,0,0.11137977978358,0,0.489263446489316,0,0.11946556209794,0,0,0,0,0,0,0.159867522493597,0,0.120023689135566,0,0
"-493_2320",0,0,0,0.0151200124433303,0.246003939952506,0.0519619867260774,0,0.0697341678256058,0,0,0,0,0,0.000643578122982821,0,0,0,0,0,3.28838119981196e-06,0.616533026548298,0,0
"-518_2280",0,0.256397030870354,0,0,0.373472933989303,0.00479317634121562,0,0,0,-4.87075381519325e-18,0,0,3.45470869432653e-20,0.00118421744242096,0,0,0,0,0,3.54727945750493e-18,0.364152641356707,0,5.06948603818329e-18
"-553_2170",0,0,0,0,0.246658643757793,0.332905110893017,0,0,0,0,0,0,0,0,0,0,0,0,0,0.122820116774325,0.297616128574865,0,4.76773780091997e-18
"-648_2130",0,0.00202955378346729,0,0,0.0582163966625749,0,0,0,0,0,0,0.823110969729812,0,0,0.0339264996279032,0,0,0,0,0,0.0827165801962424,0,0
