"","05 OB-IMN GABA","30 Astro-Epen","03 OB-CR Glut","34 Immune","33 Vascular","31 OPC-Oligo","32 OEC","06 CTX-CGE GABA","29 CB Glut","09 CNU-LGE GABA","12 HY GABA","10 LSX GABA","02 NP-CT-L6b Glut","11 CNU-HYa GABA","13 CNU-HYa Glut"
"3",0.0431738657708357,0.0140871597975354,2.87797860140225e-06,0.0638612106331567,0.0201845056621669,0.0480505743760739,0.00149422448165673,0.00851813289812233,0.105905031974861,0.120186832425237,0.0635123559474969,0.411910576921971,0.00228705751372457,0.00762485734395038,0.0892007362746091
"4",0.0986881894786182,0.00634994416089938,1.35335980950292e-05,0.00179190547843954,0.0181399770367304,0.00178105411510281,0.152217586829202,0.0978320186187561,0.201155075868326,0.0763364087183386,0.0298882735786034,0.198696076196051,0.0242182797319793,0.0345958526967751,0.0582958238940823
"5",0.00926072492019359,0.341708305932533,7.62675714135973e-08,0.00112721695860339,0.0162186828076879,0.0150720501130073,0.00606930368577834,0.0152025293654187,0.233182499361241,0.00395964938659222,0.130869191300056,0.213098331569272,0.000380427690809543,1.07591939179717e-05,0.0138402514473175
"6",0.122037489208536,0.0415918305254565,2.86162823274591e-06,0.0155359754024809,0.0243563589124343,0.0312180329790403,0.0649153592172221,0.0280278128465402,0.104236038814826,0.154125312420617,0.0795586091135661,0.308816294137155,0.00563675052409596,0.00382680024451926,0.0161144740252766
"7",0.0585322073175547,0.0197467748578803,0.0458680777503672,0.0299588425406135,0.000446599591097933,0.019565764964482,0.132078786190489,0.0758474408847888,0.116662494889228,0.099238408515602,0.0296154567295927,0.133882519577204,0.0893947616714147,0.0493893795760947,0.0997724849435905
"8",0.0099467995108046,0.0193818718302903,4.72390063934295e-05,0.000366669638952288,0.00192089745214765,1.98749833061626e-05,0.4465959844274,0.00467142887053549,0.0322500396241723,0.0402701261410638,0.0251855432078745,0.0333909851325598,0.201269924902284,0.000293502153252968,0.184389113118962
"9",9.83919036181479e-07,0.000666202525917704,0.00012066122775383,0.0704881289501105,0.319175467449486,3.54561391998769e-08,0.192263723231106,1.58463687205821e-05,0.228032454162535,6.31528058923319e-07,0.0698874942780313,0.00404549798513023,0.0286534373080959,6.62529994122383e-05,0.0865831826104667
"16",3.08277832699627e-05,0.0736865252798695,6.13064488390674e-07,0.107057322564736,0.288081097010539,0.117383611696625,0.0261951409292441,1.57465497093224e-08,0.124102735545068,0.000271645386803463,4.87408450158399e-05,0.0481268240419238,0.00531038523942279,0.0151587439194263,0.194545770947018
"17",0.586537987168223,0.00185265624286826,5.63630375755492e-06,0.0340376837864824,0.000187493133397542,0.00140941141012014,0.0214584265985099,0.215074805656376,0.00343021329277507,0.0260103890283752,5.03221649397051e-05,0.00245958720963319,0.0003962432767404,0.107004957585393,8.41871424083307e-05
"20",0.000219832081332332,0.18895096261728,2.21038822654206e-05,0.0635324468380962,0.341044849699333,0.0250573515699447,0.0351427037103725,6.49645439909156e-05,0.0673565242031377,0.000372006087655179,0.122639733220479,0.139060702415833,0.00998613472049489,7.26484276398573e-05,0.00647703598214582
