,02 NP-CT-L6b Glut,03 OB-CR Glut,05 OB-IMN GABA,06 CTX-CGE GABA,09 CNU-LGE GABA,10 LSX GABA,11 CNU-HYa GABA,12 HY GABA,13 CNU-HYa Glut,29 CB Glut,30 Astro-Epen,31 OPC-Oligo,32 OEC,33 Vascular,34 Immune
784,0.007717403792776167,0.00221964952070266,12.467092514038086,0.009260935010388494,0.02605240121483803,0.014312560111284256,0.009446246968582274,0.0075004838174209,0.004718892276287079,0.002853127766866237,2.8251605868339538,1.301252543926239,0.020285186544060706,0.01272754492238164,0.004522494552657008
785,0.0016859785944689065,0.0015895445831120014,12.662954187393188,0.0007101898372638971,0.016126324888318777,0.0008882972819264978,0.007973172469064593,0.002963111165445298,0.0014916343381628395,0.0022731667617335916,0.0006582794012501836,0.012769837910309435,0.0013447066477965564,0.4464447543025017,0.0022149798809550703
786,0.0008907800627639517,0.00039241463819053026,7.555879974365235,0.0011850137554574758,0.005153053300455213,0.0008492879365803675,0.0018791152688208967,0.0026861674152314666,0.0012214696616865695,0.001523428555810824,0.0014529465523082763,0.007348432112485171,0.0008838107256451622,0.005763534945435822,0.00042748591804411264
787,0.0005668737256200984,0.00030925657629268246,6.446824169158935,0.00024761645909165964,0.005427338113076985,0.00032762714690761643,0.00028899228927912194,0.00016706581591279248,0.0003048268874408677,0.00039555225375806916,0.0022121470654383303,0.0062439551576972015,0.002092893340159208,0.00175158625934273,0.0004712989044492133
788,0.004368136683478952,0.40348163843154905,7.309726428985596,0.31147602051496504,0.015043456805869939,0.0019610725925303996,0.0028971104184165597,0.0020497468998655678,0.002309275860898197,0.0020197561127133666,0.00392376269446686,0.7118071764707565,0.012077815737575293,0.7488373309373856,0.00462248690892011
789,0.0006450801563914866,1.9366212964057923,2.619567024707794,0.0053634963463991886,0.007095107808709145,0.0035825596074573695,0.0016494691895786672,0.0015932242560666055,0.0006170104898046702,0.0018526908766943963,0.03506365772336721,0.0025575018720701338,0.003217535628937185,0.0017918196623213588,0.0006060245126718656
790,0.0014331706508528442,0.0008967960078734905,0.0001088451925170375,0.0008353330369573087,0.0002599055878818035,0.0002980091725476086,0.0002574250058387406,0.0004377929712063633,0.0004908964110654779,0.0004332417505793274,0.7692340284585952,0.7287501692771912,0.0010764966835267841,0.0006072355026844889,0.00035974061611341316
791,0.0011292708106338978,7.823635125160218,1.6852296829223632,0.07078296206891536,0.11851104870438575,0.017587003391236068,0.002084728749468923,0.0033147762645967306,0.0012346538598649204,0.0030370162683539094,1.2313583850860597,0.014801950240507723,0.03450598604977131,0.023182166367769243,0.0021815994288772347
792,0.006217236979864538,0.008592861890792848,0.0010157261160202325,0.0017225663468707355,0.0032992372987791898,0.031803252175450325,0.0011138457164634019,0.0014651628152932972,0.0011177667940501124,0.0018691507808398455,0.0033903524628840385,0.0035967894480563706,1.0116295397281647,4.037592339515686,0.013621688215062022
793,0.00021259176646708512,0.008083252841606737,0.38747275471687315,0.0013083923608064652,0.0009212135249981656,0.012674639653414489,8.379869141208473e-05,0.0002239204382931348,0.0002178833819925785,0.0004470328727620654,0.005621710559353232,0.0029304302181117235,5.418008184432983,0.0003972184014855884,0.00445062005892396
794,4.549887926259544e-05,9.992078012146522e-05,8.072101009020116e-05,4.197306407149881e-05,3.116640018561156e-05,2.71212964435108e-05,3.990170189354103e-05,2.445413811074104e-05,2.8375621332088487e-05,3.7425830487336495e-05,0.0027093898388557136,0.00025746036553755405,0.0005213389784330503,1.7890284955501556,0.0005606888997135685
795,0.0020559333614073695,5.334493827819824,3.985672724246979,0.05174644999206066,0.0535883029922843,0.017090857587754728,0.002753424760885537,0.008698573568835855,0.0009293862356571481,0.003969704522751272,2.6034750819206236,0.01764020146802068,0.005287558352574706,0.0025914132711477578,0.003251557832118124
796,0.0005376815825002268,0.0001980539054784458,0.00017216287669725717,0.0012745995016302913,0.00016929964476730675,0.0001670121528150048,9.313125956396108e-05,0.00026614209346007554,8.797729133220855e-05,0.00020007355342386294,0.09042353108525276,2.685760772228241,0.00029405127716017885,0.013564052665606141,0.0006088557682232932
797,6.63022274238756e-05,0.05138102862983942,0.00030124394688755277,0.00017886335408547895,7.957382767926901e-05,7.5219622158329e-05,3.15668259645463e-05,6.209377352206502e-05,7.471403732779436e-05,8.716814736544621e-05,0.020269593596458437,0.8775062739849091,0.0006024844653438777,1.5011605083942414,0.007968856114894151
798,0.00039334146567853167,1.1100601732730866,0.37307616174221037,0.050188103690743446,0.0013854357646778228,0.0011112101201433688,0.0003036754074855708,0.0005181804270250722,0.00018847087267204188,0.0008988271583802998,0.006329102767631412,1.3728254199028016,0.0007710613746894524,1.1761631071567535,0.0026723163900896907
799,0.0007281640282599255,0.0007450218312442302,4.231567096710205,0.0009090888343052939,0.0016646291362121702,0.0007237367768539116,0.002962988952640444,0.0004407231725053862,0.00028806677437387407,0.0003615132096456364,0.0050136213656514885,1.1429949343204497,0.0005690718389814721,0.00022495910598081538,0.0006894371414091438
800,6.054947516531684e-05,0.0004674842872191222,2.015769374370575,0.00019352405579411427,0.0002478907408658415,8.757033865549602e-05,5.150517263246002e-05,7.94117157056462e-05,3.519111523928586e-05,6.0588388259930076e-05,0.00020015960835735315,0.0007180212938692421,0.00018643641815287992,0.0016336652042809874,0.0006177594157634304
801,0.007498432113789022,0.0009296916046878324,11.801226806640624,0.0013848467089701444,0.0072631885996088386,0.0017596612102352084,0.002553950878791511,0.004363504867069424,0.0022376523236744108,0.0024137480533681813,0.03138312678784132,0.00957122719846666,0.0023931546369567514,1.3254007816314697,0.0023300842382013797
802,0.009871258633211255,0.0030769663280807436,17.153387832641602,0.0035620888229459524,0.02602593442425132,0.008511121617630124,0.007705093221738934,0.005841400800272822,0.009348929161205888,0.011126891057938338,0.00840319525450468,0.027494950965046883,0.006261775083839893,0.0027629890129901467,0.012049597874283792
803,0.0008195094822440297,0.0005371457460569218,8.118555164337158,0.0008950039831688628,0.007011140091344715,0.0008022607100429014,0.001872990862466395,0.0011215217760764062,0.0018399336142465473,0.000973094257642515,0.0005307638377416879,0.005261946842074395,0.0010195836715865881,0.000528029230190441,0.7881702601909637
