"","05 OB-IMN GABA","30 Astro-Epen","03 OB-CR Glut","34 Immune","33 Vascular","31 OPC-Oligo","32 OEC","06 CTX-CGE GABA","29 CB Glut","09 CNU-LGE GABA","12 HY GABA","10 LSX GABA","02 NP-CT-L6b Glut","11 CNU-HYa GABA","13 CNU-HYa Glut"
"4",0.0228999498098644,0.0432639779504216,1.98108735757787e-05,0.0574170224624622,0.115282842387763,0.0273644675552164,0.0654979669219238,0.00403170210254125,0.085289031577073,0.0604199279885247,0.0793873085599974,0.279727631834573,0.0440138618405069,0.00368012290887799,0.111704375226678
"5",0.0641779175369559,0.10067920939272,2.0661478874974e-05,0.00273618356351759,0.163488530972109,0.00854577557536159,0.164493018201098,0.0388822500939179,0.126036301354821,0.0370435385104959,0.0512564817276069,0.13706271201315,0.0332483906037741,0.00410550595770669,0.0682235230178902
"6",0.0947366470381948,0.190007442099032,4.79107964078251e-07,0.00819642776623046,0.0127012068237141,0.0251147574325694,0.0271562889643261,0.0322963875969831,0.129706761706204,0.107868458529065,0.0676705915464645,0.28958347336084,0.000861816955700125,0.000669518547000841,0.0134297425257118
"7",0.0427420112034284,0.00426736799720964,0.00180334140014786,0.0512172481646793,0.00573429777701342,0.0201606162538474,0.16452694649105,0.0538260120854091,0.13889252340671,0.0703008554282,0.0264235623833179,0.241847011714753,0.0672449943182191,0.0184748492619145,0.0925383621141002
"8",0.0285999053810401,0.0400075148549231,0.00213172880834653,0.000798509921149394,0.279654025013396,3.10865818859752e-05,0.225959179739379,0.014271759333296,0.0571166195827527,0.107304610404467,0.017420298375456,0.0189452204401664,0.057270365409027,0.0123214071475912,0.138167769007124
"9",4.85851499902176e-05,0.000560903803752389,5.0775045455452e-06,0.0935969207337241,0.453908175818563,1.73108181243951e-05,0.128562031817663,0.00192833722781747,0.193688161885183,1.3575310237275e-06,0.0839121155152334,0.0196312742403932,0.00315966296817804,3.18520765451762e-06,0.0209768997781544
"16",4.08482950873947e-05,0.0109432991436737,1.4016617396929e-05,0.0222224724340947,0.274212012572953,0.0149176007150164,0.247406452991748,0.00984887074529744,0.0431090039277711,0.000131062477536231,0.00458415707881293,0.0243567298846296,0.167352874418396,1.05895831986228e-07,0.180860492801755
"17",0.016426565455981,0.00288118468481453,0.000581777690512383,0.0486027774144094,0.23612163022876,0.000131420273182173,0.388585479597382,0.0596417426502561,0.05242322362871,0.0223098733465737,0.0457535967740228,0.0266134006282326,0.0264094965385925,0.00611216925902623,0.0674056618295444
"18",0.0622492199374884,0.00914117951324319,5.15876222790379e-05,0.0055230163362855,0.0966501501263281,0.00145631114540885,0.186226459501281,0.00121989485342233,0.049330163380088,0.0658001459395524,0.10428777722138,0.225850864953261,0.0860012832296261,0.00536146914484009,0.100850477095515
"19",0.158082543925896,0.076418831805335,6.94873621744017e-05,0.0311403500566253,0.0152285430447733,0.0622525650589037,0.0669750842727667,0.146609089480185,0.0451512461355601,0.0543493065793653,0.00361531477500772,0.242435964710131,0.00601322562885322,0.0704464386241645,0.0212120085402591
"20",0.00187335359793672,6.33834260335801e-07,0.194199307777979,0.000237795185519736,1.21338255460259e-06,0.00215339485822093,4.19181102415608e-07,0.000306775978636067,0.18391060963951,0.00146623077012246,0.0117373926494442,0.561354926290288,0.0423527795347884,0.000372256233502895,3.29110861346817e-05
"21",0.302930540710625,1.78278871653168e-05,0.0227622598787152,0.00971498464269086,0.00177567043316991,0.0113540957228498,7.87624937364645e-05,0.104863857999021,0.106286921767298,0.170506326010855,0.0210571402278212,0.182359469768598,0.000817778953125915,0.0654273295903077,4.70339140212099e-05
"22",0.213327071884482,0.129338805605551,0.000121317183860527,0.00410210440030645,0.00141098243519329,0.00153659523060042,0.0409560182449439,0.13531589240146,0.0834329444726818,0.13124807877965,0.0365738511770965,0.118348327701773,0.00271903792352682,0.049434167618546,0.0521348049403281
