"","cell_ID","05 OB-IMN GABA","30 Astro-Epen","03 OB-CR Glut","34 Immune","33 Vascular","31 OPC-Oligo","32 OEC","06 CTX-CGE GABA","29 CB Glut","09 CNU-LGE GABA","12 HY GABA","10 LSX GABA","02 NP-CT-L6b Glut","11 CNU-HYa GABA","13 CNU-HYa Glut"
"1","3",0,0,0,0,1,1.23904421176964e-20,0,0,0,0,0,0,0,0,0
"2","4",0,1.6770475179904e-05,0,0,0,0,0.482582701491463,0,0.236970154122195,0.108013238085644,0.0121248396228761,0,0.160292296202642,0,0
"3","5",0,0.261656738733333,0,0,0,0,0.0412316733296572,0,0.444514007041991,0,0.0895084593259247,0,0,0.163089121569094,0
"4","6",2.9871125797915e-06,0.0899211647831907,0,0,0,0,-2.88832498917694e-19,0,0.197243505987038,7.89959099577021e-06,0,0.367751060191133,0.308754048477517,0.0363193338575455,0
"5","7",0,0,0.131901332385088,0.072603457246614,0,0,0.0708229538473372,0,0.230906373540185,0.138198578964522,-1.93897331369645e-21,0,0.335597809470493,0,0.0199694945457614
"6","8",0,0.109258549542745,0,0,0,0.0769487858251009,0.411479342054342,0,1.58099116723501e-09,0.020654007740452,-2.3564564148352e-19,0,0.0350466414808125,0,0.346612671775557
"7","9",0,0,0,0.0239583317866491,0,0,0.370641168206177,0,0.0672331761002039,0,0.0281761174600419,0,0.498646413075075,0.011344793371854,0
"8","16",0,0,0,0,0.998589762181349,0,0,0,0,0,0,0,0,0.00141023781865061,0
"9","17",0,0.163725223909205,0,0,0.000869112665633173,0,0.464362614848639,0,0.371043048576523,0,0,0,0,0,0
"10","18",0.998353329467846,0,0,0,0,0,0,0,0.00137550503388148,0,0,0,0,0.000271165498272174,0
"11","21",0,0.158113600563181,0,0.088667884674435,0,0,0,0.47972158181804,0.133791994508404,2.02879078952424e-07,0,0,0,0.139704735556861,0
"12","22",0,0.41599909807593,0,0,0.137695872225796,0.0629768538522204,0,0,0.0587589192222877,0,0,0,0.31788423386744,0.00668502275632646,0
"13","23",0,0.292031672085853,0,0,0,1.47634685179976e-19,6.68757414933407e-05,0,0.660925788682485,0,0.0469756634901693,0,0,0,0
"14","24",0,0.187597897510316,0,0,0,0,0.345885751665486,0,0.033511832871121,4.47814450444976e-05,0,0,0.375302172824937,0.0576575636830954,0
"15","25",0,0,0,0.0852691505569999,0,0,0,0,3.72539660906176e-05,0.0370122398852968,0.0902987403253456,0.679081955128027,0.10830066013824,0,0
"16","26",0,0,0.208373854591385,0,0.724591167609855,0,2.41446565431658e-20,0,0.0515185067268128,0,0,0,0,0.0155164710719475,0
"17","27",0,0,0,4.67005431293819e-05,0.999943677426465,0,0,0,0,0,0,0,0,9.62203040542206e-06,0
"18","28",0,0,0,0,0.999942803048912,0,0,5.71969510884223e-05,0,0,0,0,0,0,0
"19","39",0.0335056566660729,0,0,0,0,0,0,0,0.644912395253571,0,1.34697467095726e-18,0.000109255250433509,0.321472692829922,0,0
"20","40",0,0.1427766821483,0,0.0414533291312522,0.272555201858053,0,0.329533897959948,0,0.0442645085001091,0,0,0,0.121831216565306,0,0.0475851638370315
"21","41",0,0,0,0.0430852670447272,0,0,0.484809049248435,0,0.376506441895656,0.0955992418111821,0,0,0,0,0
"22","42",0,0.254089426486793,0,0,0.389912657982414,0,0.0196628293761095,0,0.24698539628056,0.0330627452867555,0,0,0,0.0562869445873692,0
"23","43",0.0776840008974803,0.0547176338285137,0,0,0,0,0,0,0.389128856541021,1.04505111932619e-05,0.176888355070434,0,0.200639494038441,0.100922123284824,9.08582809318319e-06
"24","44",0.0701161789708572,0.0892354913010625,0,0,0,0,0,0.11773544112935,0.253016580216952,8.95943378055008e-07,0,0.0560410714225209,0.16401401132753,0.24984032968835,0
"25","45",0.174300545253672,0,0.0426122637422241,0,0,0,0,0,0.267940321927083,0,0.0753839412096971,1.04155551140075e-05,0.366879748470876,0.0728727638413348,0
"26","46",0.0898894500164061,0.229801749656786,0,0,0,0,0,0,0.0319459946371099,0,0,0,0.47673760156565,0.171625204124048,0
"27","47",0.10446708563492,0,0.102014638806096,0,0,0,0,3.50437460324343e-05,0.282303172301731,0,0.0326585381004383,0,0,0.478521521410782,0
"28","48",0.178478967153067,0.148485892945283,0,0,0,0,0,0.0346744991725376,0.189147899221481,2.73916875563623e-05,0,0,0.100093315094999,0.349092034725076,0
"29","49",0.082293014626586,0,0,0.101594049275805,0,0,0,3.9467979471341e-05,0.249607181953027,6.68443951015724e-05,0.0252058416697152,0.133700764263002,0.214018379552306,0.193474456284986,0
"30","50",0,0,0.498500434340723,0,0,0,0,0,0.0758024477465334,0,0.0962870774468017,7.48994365906409e-05,0.329335141029351,0,0
"31","51",0,0.311177133382692,0,0,0,0.179752594983051,0.297417759328388,0,0.157314792642998,0,0,0,0.0542670688897072,0,7.0650773163535e-05
"32","55",0,0.103575637649184,0,0,0,0,0,0,0.0439589598577133,0.399236628216621,0,0,0.188993090436865,0.162105002406538,0.102130681433079
"33","56",0,0.116516197498912,0.150523167382716,0,0,0,0.190219868958598,0,0.216942481257698,0.036916091796345,2.86091249242705e-21,0,0.288722377008819,0,0.00015981609691262
"34","73",0,0,0.886674288475403,0,0.113325711524597,0,0,0,0,0,0,0,0,0,0
"35","75",0,0,0,0,0,0,0.209724186573379,0,0.524558212460472,3.00074598248344e-07,0.189583285083845,0,0,0.0761340158077055,0
"36","76",0.208108709324659,0,0,0,0,0,0,0,0.663457062013451,0.128433416594682,0,8.12067207635211e-07,0,0,0
"37","77",0,0.068410187173521,0.192454379987864,0,0,0,0.212009396946478,0,0.0902648237308159,0,0.0198898323423452,0,0.41696729460769,4.08521128650311e-06,0
"38","78",0.243909154656112,0,0.147737821437376,0.0732686326893045,0,0,0,0,0.188767081999162,0,0,0.233209772412756,0,0.113107536805289,0
"39","79",0,0.571075771405978,0,0,0.250647224605802,0,0,0,0,0,0.17827700398822,0,0,0,0
"40","80",0,0,0.219677277378277,0.091435056297661,0,0,0,0,0.0197193381428536,0.000664740153006453,0,0.668503588028202,0,0,0
"41","81",0.146142337241179,0.0177378052470498,0,0.0788780381916624,0,0,0,0.283478952348651,0.171685056825966,0,0.120518390153298,0.000143807732623343,0.18141561225957,0,0
"42","82",0,0,0.477985745261139,0,0.057067244584379,0,0,0.000122787221586552,0.378526937730714,0,0,0.000114718324494517,0,0.0861825668776873,0
"43","83",0,0,0,0,1,0,1.8858675569284e-18,0,0,0,0,5.91862173380414e-19,0,0,0
"44","84",0.0768081058512606,0.284592915645721,0,0,0.0403801824865197,0,0,0,0.150192505000042,0,0.0417773253221499,0.335938097735783,0,0.0703108679585243,0
"45","85",0.00541083997697309,0,0.416417669318154,0,0.254641766054973,0,0,0,0,0,0.0493983056824725,0.129223907535046,0,0.144907511432382,0
"46","86",0,0.199607558754789,0,0,0,0,0,0.235707436139566,0.312370625758928,2.70234896534735e-18,0,0.252314379346717,0,2.93341221782074e-20,0
"47","88",0.0233269284978777,0,0,0,0.917454618916585,0,0,0,0,0,0.0592184525855368,0,0,0,0
"48","89",0,0,0,0,0.16996038710503,0,0.357431001412045,0,0.471883818868928,0.00040977388485949,0,0,0,0,0.000315018729137585
"49","90",0,0.884866350229649,0,0,0.012916748706273,0,0.000805762037536259,0,0,0,0.101411139026542,0,0,0,0
"50","91",0,0,0.204535814942672,0,0,0,0,0,0.00678367092266188,0,0.0276818906861705,0.521243555700952,0.239755067747543,0,0
"51","92",0,0.682098179776652,0,0.0712644541523513,0.246637366070996,0,0,0,0,0,0,0,0,0,0
"52","93",0,0.00887195773355926,0,0,0,0,0.466625111146163,0,0.0209602992673457,-3.51578746264328e-23,0.000755468023473114,0,0.502787163829459,0,0
"53","94",0,0.0732514242500115,0,0,0.414576368953742,0,0,0,0.225272229730154,0,0,0,0.00016208238228734,0.194016569539543,0.0927213251442624
"54","96",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"55","98",0.291765547274484,0,0,0,0,0,0,0,0.24873938240513,0.000413163601614879,0,-3.18541796469457e-19,0.459081906718771,3.91183325990121e-19,0
"56","99",0,0.0829877272835454,0,0.254009961278539,0,0,9.69179913967238e-05,0,0.503539316126126,0,0.158716894677235,0,0.000649182643157932,0,0
"57","100",0,0,0,0,0.28458081020006,0,0,0,0.106994345795621,6.04422982091156e-08,9.45163105177009e-22,0,0.608424783562021,0,0
