"","05 OB-IMN GABA","30 Astro-Epen","03 OB-CR Glut","34 Immune","33 Vascular","31 OPC-Oligo","32 OEC","06 CTX-CGE GABA","29 CB Glut","09 CNU-LGE GABA","12 HY GABA","10 LSX GABA","02 NP-CT-L6b Glut","11 CNU-HYa GABA","13 CNU-HYa Glut"
"3",1.63407784730908e-06,4.61991855253921e-09,0.000497747885717867,0.0105036796348479,0.802179702277734,0.0260768244417956,0.0903090253880319,0.0117245078651904,0.000127705571945211,0.000112805693020852,0.0307554531004351,0.000497664903696318,0.0172268375706079,5.2697681440551e-07,0.00998587999239697
"4",0.0176550756635918,0.178584361397586,2.39865306292943e-05,0.0496427530373567,0.0178274684250108,0.0043615829008285,0.0938787033034468,0.00973986119917346,0.0755845773719579,0.0629625487281602,0.0490169650852504,0.247879179228853,0.0218578165029015,0.000951649890729544,0.170033470734524
"5",0.08653046359607,0.141957588149108,7.03987112227245e-06,0.00114853410825256,0.00842113184207168,0.002487918325817,0.123680360488622,0.0478073461361061,0.19357770664524,0.0208982790612239,0.0623596607882425,0.179759961620151,0.0177793353731019,0.0102909121179149,0.103293761876956
"6",0.109755520466847,0.102926271783306,6.05941076682981e-07,0.0164479239469564,0.0169011438836832,0.0229658569205338,0.0259399599996208,0.0333250277804466,0.13492104526131,0.144695659508822,0.0782552095110227,0.306739226466697,0.000808507576339954,0.00122297277620707,0.00509506817712987
"7",0.0401154943813103,0.00252864735970036,0.00782216729298071,0.0384543806660415,0.00529995185829233,0.0167192259896677,0.174992518841843,0.0572162109800095,0.126544222612692,0.071101335118264,0.0151580455784975,0.202494345812392,0.0916622738216021,0.0271557579126428,0.122735421774064
"8",0.0240884049905029,0.0585475549253842,0.000362183924412309,0.00131303643909067,0.00766286374277559,3.02713831809607e-05,0.40420925373521,0.0216003673617124,0.0489501019113435,0.10368082784082,0.0150142595666876,0.0447297626095782,0.0963124673076691,0.00635598850870614,0.167142655752926
"9",1.73904927279276e-07,0.0024869152874093,5.69834861031911e-05,0.0848916955894439,0.364437574753726,1.51890535822175e-08,0.16075841062677,1.22888410217676e-06,0.239236797064959,1.07921330123122e-07,0.0696664404431854,0.00356374541747179,0.0210163994595702,5.70195110553944e-06,0.0538778100208426
"15",0.000244688489256662,6.1535439120735e-07,3.89028808198274e-07,0.0176828514670098,0.437053055098972,0.000868907826298816,0.300919699249153,0.00359054802936993,0.0905259019367408,1.29369353365901e-05,0.0344903730455039,0.015623513495978,0.0625706139451968,4.45708702010574e-09,0.0364159016408972
"16",1.9377466352573e-05,3.66171760891067e-05,0.00170519088739817,0.0162875867031509,0.568990431848437,3.21402698187115e-07,0.326038033952352,0.00935523498127773,5.93434114480045e-05,0.000487629044392186,0.00973690700682202,1.70957341675638e-05,0.0110581181201331,9.0526873886389e-06,0.0561990595778928
"17",0.00607262945282992,0.0205070616225497,0.00135123153855417,0.00361519707173928,0.18498388854362,0.000135462950550598,0.284357793223734,0.00291093117426026,0.0878554348184591,0.0138501663186889,0.0675679771181953,0.0649517304736905,0.0962496440417907,7.72679370884845e-05,0.165513583714249
"18",0.136385319731554,0.0721372338381993,0.000152746097352662,0.0517010050921504,0.0490641376171715,0.0918145261715538,0.147712928799745,0.06309070845533,0.0314388947133772,0.0314453582886474,0.00503440973169118,0.220819734245816,0.0136604913053322,0.0368656597729868,0.0486768461390927
"20",0.229980189669561,9.43980669490562e-05,4.87880055371814e-06,0.0298615965087701,0.00102606265061337,0.0114649180807721,0.000286277613529869,0.128353367884865,0.109073829468218,0.155784799733129,0.00686404103778344,0.211549072553561,0.00403254785737311,0.111557453039577,6.65670347434263e-05
"21",0.385091607995609,0.0616285472589402,0.0107638604633427,0.000254964649135196,0.0239426753647722,0.00748459985445474,0.000168695637286211,0.000579518121267156,0.136185479652493,0.228506075362438,0.114252854175384,0.0249171084972525,1.93855403494188e-05,0.00588339468902866,0.000321232738247175
"22",0.0826266276178841,0.212766014152381,0.000604745569906218,0.00979452627064968,0.255855714064063,0.0100715883733296,0.110562038054404,0.0958655350232011,0.0318086779299652,0.0471491090201444,0.00472921207970416,0.0817491514518914,0.0158403223260665,0.00939281163279724,0.031183926433613
"23",0.155942714086149,0.172603998208333,9.81996693905963e-05,0.0422371620273763,0.0128334431677289,0.0880215293169169,0.000741609157167281,0.0705040762274664,0.0754790091054541,0.0510091491351816,0.110089658176322,0.218248056120678,0.000117716797873067,0.00192820258444969,0.000145476219513417
"24",0.0565247751880692,0.00402226730787289,1.06963072276246e-06,0.000464034064527875,0.00079818837689564,0.000270398346788382,0.226526967040213,0.0040272268547792,0.104853278204372,0.0890653671134157,0.0772127479070174,0.115240384042312,0.158801684045562,3.43495102436007e-05,0.162157262367208
"25",0.0038639535532207,1.81829656089001e-09,0.00021647839386865,0.00187618306230762,0.889494800524442,0.00219562035850897,2.11321004613419e-05,0.0128095976122405,0.0583671984806776,0.00142158595976835,0.0191725131916046,0.00213781882927681,1.09028274472683e-07,0.0083846714071807,3.83356798713037e-05
"26",0.00529923237353742,0.00066164891699265,0.107771626598241,6.1090102861787e-05,0.575225507891686,0.00117880106190181,2.73485782864428e-05,0.0166798186391037,0.102808138203639,0.0518969217107517,0.00330880887403016,0.127200290540319,1.4527905511887e-06,0.00777546165918748,0.000103852058911653
"27",0.211810855941948,4.16554063430396e-05,5.57981440807414e-05,0.0531148434847053,0.45825049319086,0.00643713975115353,0.182290368044296,0.0610256516509993,4.63300467129877e-06,0.000407723704899916,0.00135393844463465,0.0104169946581737,0.000156229013451529,1.05319189552036e-05,0.0146231436408279
"40",0.00881335168056232,3.1315123522033e-05,2.64396069674303e-05,0.000166619653975987,4.08585475151862e-05,0.000208383502372398,0.00135503485442014,0.00990013355091649,0.321508968324988,0.000775909552358823,0.120251903548708,0.486255800255461,0.00999475773594316,0.0335344848452456,0.00713603921704326
"41",0.00627539381176551,0.0258165947197331,1.52943431424938e-05,0.0520402426943432,0.193396529689421,0.00424067718198014,0.0472512679380935,0.0505165098011174,0.0676506058419017,0.108713335637857,0.0351850944590698,0.145743225174736,0.0933865873819779,0.0154545127815744,0.154314128543287
"42",0.0769631643096535,0.00707249147296307,6.32297466639205e-05,0.0178595949638937,0.0209526792763775,0.00131743406173263,0.362357566268349,0.0554256371223216,0.117127281329387,0.0993308292904995,0.020171500721854,0.0938626438881509,0.046569831863409,0.00678111827838648,0.0741449974063582
"43",0.0949528328359863,0.113651166986703,1.15904596752843e-05,0.0290726508866627,0.00560679175743435,0.0141584567394351,0.0450606440462749,0.0634821985865096,0.128473121651085,0.0390578532702548,0.0673594848078535,0.342926274647114,0.030804560360917,0.00785181682029246,0.0175305561438028
