"","05 OB-IMN GABA","30 Astro-Epen","03 OB-CR Glut","34 Immune","33 Vascular","31 OPC-Oligo","32 OEC","06 CTX-CGE GABA","29 CB Glut","09 CNU-LGE GABA","12 HY GABA","10 LSX GABA","02 NP-CT-L6b Glut","11 CNU-HYa GABA","13 CNU-HYa Glut"
"3",0.02355226755238,0.00667349423231139,9.02142556313602e-09,0.0975570978989199,0.00833657810821141,0.0928780158712947,0.0061010426523399,0.0381354907600194,0.126161710474284,0.0473209067417869,0.00347773914619006,0.473028418820769,0.00500311384988518,0.00391070362083347,0.0678634112493495
"4",0.00246691127819986,0.0150698655605966,0.000700705300513309,0.00883068212807237,0.0464532675893477,2.18070825639485e-06,0.484686245597265,0.0440206142715767,0.0286102223764964,0.0626144753668053,0.000570972307902991,0.00533521889176813,0.047100112455937,5.3213055849317e-08,0.253538472954206
"5",0.00644388551970611,0.59094680076197,1.82007239670247e-05,0.00194934215556325,0.00202543904401742,0.00446081932701911,0.00390432368600634,3.18470781562513e-05,0.14229890529689,0.000267012930521398,0.14886370012602,0.0874935367138498,0.000153013316900939,1.08561500221611e-05,0.0111323171693894
"6",0.114707534414968,0.0588273937637127,3.39221929748522e-07,0.00897234922118345,0.0199179517370785,0.0350996366844224,0.0154271405756082,0.0361175324935934,0.141967497554424,0.139548932258068,0.104925297577539,0.32004548759387,0.000875419321098565,0.00133061163241321,0.00223687595009086
"7",0.120780785011249,0.013448892704061,0.000960898233986689,0.0435923949805013,0.0106272139984287,0.0505061007869217,0.105331124711517,0.0942392850262965,0.0782298579242894,0.0792973929238097,0.00744502743388255,0.160948758954282,0.0985830559619252,0.0604307670639195,0.075578444284929
"8",0.000128344541041552,1.46324380484845e-05,0.0962763853939353,0.000225133488420933,3.9812303332537e-05,3.13623463114225e-05,0.280183229779884,0.000220800803640906,0.135173562685425,0.0379624762094284,0.0727295348663976,0.0661640054018895,0.124922135182677,0.000469190332048887,0.185459394227518
"9",0.0115420108904227,0.0524509778330956,0.00033282402153924,0.00278569017256623,0.00944926820472316,2.87926677951488e-06,0.398939132467937,0.00780494364037541,0.0770062564774698,0.0580853511378153,0.024785222175192,0.033950465647323,0.132034565684432,0.0029537565381505,0.187876655842178
"10",3.19803860185795e-08,0.00149666673986576,2.59247245956763e-06,0.0904567841964348,0.43585531456105,2.81873550512353e-07,0.106930817011365,4.03721129943907e-07,0.244889580384711,8.47907987457853e-09,0.0829939363148187,0.00688222933166081,0.00885719435267882,9.25947879433602e-08,0.0216340659860209
"17",5.85454710763144e-11,0.00760419484386911,2.54872857814004e-12,0.189279830263727,0.151646502705348,0.00588896929650104,0.0804847850186187,6.53204492376642e-12,0.390655372607067,3.58769172070968e-08,0.000767806601728289,0.000142073471000736,0.00282381146062125,0.0472866257369334,0.123419992050042
"21",0.000253953048481853,0.18864978397042,2.81347684667248e-05,0.0631150134088533,0.34019530322744,0.0244747107640622,0.0350345850615212,7.37650412386966e-05,0.0684165124972848,0.000479483504268456,0.12378018718686,0.138575324457009,0.0101487587549359,8.36222044616092e-05,0.00669086210469676
