,01 IT-ET Glut,02 NP-CT-L6b Glut,03 OB-CR Glut,05 OB-IMN GABA,06 CTX-CGE GABA,09 CNU-LGE GABA,10 LSX GABA,12 HY GABA,13 CNU-HYa Glut,14 HY Glut,15 HY Gnrh1 Glut,19 MB Glut,23 P Glut,24 MY Glut,29 CB Glut,30 Astro-Epen,31 OPC-Oligo,32 OEC,33 Vascular,34 Immune
0,0.00041909980936907234,0.0010253374755848199,0.005864234850741923,0.0003705700873979368,0.00029091896722093223,0.0002557886706199497,0.0002993606176460162,0.00046687251597177237,0.000282601421349682,0.001182124251499772,0.0012820727773942054,0.0005874856084119529,0.0002735292582656257,0.0002762998847174458,0.00024754723708610984,0.10048469752073289,0.0011297380493488164,15.892518758773804,0.009747585281729698,0.0758582916110754
1,0.0005803378997370601,0.0011085938604082912,0.0027978050988167525,2.5532572150230406,0.0007151518744649366,0.004547381796874106,0.0016581608448177577,0.0005432488804217428,0.0002813032071571797,0.0005861078592715786,0.0008139798854244874,0.00041569505992811184,0.0002219544527179096,0.0002018762388615869,0.00018880905845435335,0.11941305547952652,0.00633329504635185,4.068948101997376,2.481140410900116,0.02143341302871704
2,0.002991069806739688,0.002478773344773799,0.004570492845959962,0.003012203529942781,0.0016717700753360986,0.002832034172024578,0.001112249691504985,0.0016685658018104734,0.0007035676622763276,0.002349275688175112,0.0013686357240658253,0.0024322592886164784,0.0015648214670363815,0.0010724145569838586,0.0008022553141927346,0.16972986832261086,0.017475357837975027,2.7164557456970213,7.639429712295533,0.050705706141889094
3,0.00011997525434708223,0.00015304032713174822,2.032755637168884,0.05168084427714348,0.00015255487960530448,0.0009694173146272078,0.00021223417716100811,0.00017631946393521504,0.00016319536953233183,9.612602989363949e-05,0.00017018314683809878,8.811326151771937e-05,0.00013677613533218393,9.931407075782773e-05,9.680522634880617e-05,0.014589152904227376,0.0021734627429395915,0.9073788225650787,0.0011148015270009638,0.0009242130268830806
4,0.004947589337825775,0.010186964273452758,0.018458121083676816,6.699255418777466,0.007312885345891118,0.023798198997974397,0.007244908530265093,0.006229794351384044,0.00449509252794087,0.005663242377340794,0.014692987687885762,0.007412115996703506,0.004198559001088143,0.002531261427793652,0.002548765216488391,1.9265779078006744,0.028518691658973697,2.284057140350342,10.969300842285156,0.05630522947758436
5,0.0013199393171817065,0.0027396878926083446,0.006690119858831167,2.5398353934288025,0.0016611273924354464,0.008518214104697108,0.004629738233052194,0.0011668079183436931,0.0009622711513657123,0.0013243146240711214,0.0013490121287759395,0.0014837974100373689,0.0022377605666406455,0.000997194612864405,0.0006928196118678898,0.07031875550746917,0.006817313772626221,4.3748609066009525,5.151120591163635,0.3006382092833519
6,0.0025125013780780137,0.005006682244129479,0.005848056636750698,1.174722385406494,0.002888033608905971,0.019045325741171838,0.02552762245759368,0.003372046002186835,0.0009971918247174472,0.003741321887355298,0.005865635932423174,0.0016745756729505956,0.0022164243273437023,0.0012985694222152234,0.001241315877996385,0.12737094312906266,0.013216528855264188,3.230536770820618,5.244862675666809,0.02973282430320978
7,0.0012536711990833284,0.0007758827297948301,0.001411434542387724,0.0029276768676936627,0.001232308614999056,0.0004534400301054121,0.00022281257115537302,0.00034889315575128423,0.0002003406138101127,0.000766967044910416,0.0015174062340520323,0.0004667309825890698,0.00016861537369550206,0.0002495385735528544,0.00014518136304104702,0.005505600268952549,0.001336752757197246,13.428862285614013,0.0053262755973264575,0.0026047071209177376
25,0.0002716848015552387,0.0008940024010371419,0.0005447447183541954,0.00048364239337388425,0.0005902272678213194,0.0010204641264863312,0.00019613362237578258,0.00021701537916669623,0.00023388304107356815,0.00034705885773291814,0.000813167219166644,0.0003366918506799266,0.00013466766686178746,0.0001150532694737194,0.00015559320600004868,0.009455783106386662,0.0016206933418288828,0.004435412958264351,5.8050507545471195,0.019964648317545654
26,0.0001918988709803671,0.0006614801910473034,0.0005402550741564482,0.00025901809276547284,0.0001424390618922189,0.0002125802064256277,0.00017523559290566482,0.0001856417213275563,0.00015690011205151677,0.0005549502588110044,0.00024170497708837503,0.0005265297833830119,8.512029235134833e-05,0.00010766423874883913,9.229861389030703e-05,0.007532024034298956,0.0008331109711434692,0.0566320775076747,6.087956190109253,0.010794276045635343
27,0.0005980907095363364,0.001149523293133825,0.005378303932957351,0.003736379195470363,0.0011470094090327621,0.0029957913560792805,0.0013388652412686499,0.0003685497780679725,0.0006176038354169578,0.0004866418312303722,0.0007138023269362747,0.000546363671310246,0.000357017558417283,0.0002508133242372423,0.00027971127419732514,3.1440494775772097,0.006585930939763784,0.008101233327761293,5.080655527114868,0.025062042474746703
29,0.0013928817876148968,0.0035836350522004067,0.023370361980050804,11.295122814178466,0.003446682740468532,0.029223996959626675,0.0031758654396981004,0.007097502611577511,0.003724623064044863,0.001037393236765638,0.001357523526530713,0.0011659073410555721,0.0018392696103546769,0.0006482905242592097,0.00136303870822303,0.032579128816723826,0.02632173299789429,0.0038882510620169342,0.0015654734161216766,0.001934795832494274
30,0.0005178051069378853,0.0008278404537122696,0.025194096472114326,1.3214276671409606,0.0006644918932579458,0.010764164105057716,0.0012575369386468084,0.00026165843446506186,0.00046858278510626407,0.0005471151031088084,0.000472020402958151,0.0004164021767792292,0.00046684565895702693,0.0003693210615892895,0.00036257662432035435,4.8853839635849,0.019158996641635895,0.0033595842774957418,4.222073698043824,0.013032092805951835
31,9.62704565608874e-05,0.0001268428204639349,2.335845685005188,0.0006557549582794309,7.520585422753357e-05,0.0002940399033832364,0.00010687708308978473,7.885376835474745e-05,0.00023573695652885364,6.225524011824746e-05,7.50633902498521e-05,0.00018275411857757718,0.00012179445257061161,0.0001921495051647071,0.0007014452916337178,0.025896577909588814,0.0009573282091878355,0.0010635408107191324,0.0015597863297443838,0.0007432992599206046
32,0.00013706655736314132,0.0002039708495431114,3.12312912940979,0.0016812789370305838,0.00019593174147303216,0.0006948681781068444,0.00025085923698497936,8.291296799143311e-05,0.0004029011688544415,0.00026142019778490065,9.072532557183877e-05,9.42145456065191e-05,0.0004070698152645491,0.00023958801903063432,0.0003765483212191612,2.7560760498046877,0.0033684082329273226,0.0011435896740294993,0.0007101298338966444,0.0009750526311108844
33,0.0001045699402311584,0.0002425138147373218,2.7538594961166383,0.000828266388271004,0.00016906082091736608,0.0006314524594927207,0.00012940598171553574,8.09172972367378e-05,0.00024569595334469343,0.00013739246205659585,0.00010910732562479098,0.0001224345513037406,0.0001062926046870416,0.00014316486049210654,0.00040816030668793245,0.7216290652751923,0.001609774318058044,0.0017755107022821904,1.8541751325130462,0.0026353457593359052
34,0.005307338247075678,0.005390447308309377,0.33287114799022677,26.292194175720216,0.006171113275922835,0.06087258700281382,0.008421544590964914,0.005413907486945391,0.006301642023026944,0.005835481802932918,0.005029167328029871,0.007138813193887472,0.0071776227327063685,0.012406230298802256,0.004439678927883506,0.037217527441680436,0.11519829705357551,0.006842917134054005,0.03478280454874039,0.013037836598232388
35,0.0015077054558787495,0.006044935178942979,0.04320410024374723,8.74531798362732,0.0027828539605252445,0.02741651786491275,0.006555072218179703,0.0022066269302740693,0.002252880937885493,0.003060290205758065,0.0020126781542785465,0.0018677630810998381,0.0014693094417452812,0.0017800067435018718,0.001410918001784012,5.745938658714294,0.0613216906785965,0.0028265765169635413,3.9027547359466555,0.03342702817171812
36,0.0024854279472492635,0.0047923946287482975,0.013983586570248008,7.902665615081787,0.021434228867292404,0.026587285846471787,0.040562914498150346,0.004271846660412849,0.003633620182517916,0.0036274465965107088,0.005212209187448025,0.005990116903558374,0.0017289694631472232,0.002102239732630551,0.001190560281975195,5.042171335220337,0.08154910765588284,4.2615824222564695,0.005161363328807057,0.013159153843298554
37,0.0009192584548145533,0.002712855697609484,0.021227844431996348,4.256967067718506,0.0038019488682039084,0.011538075655698777,0.022207923606038092,0.0018060317612253129,0.0011111153464298696,0.0014882063784170897,0.003169849864207208,0.0011280986538622529,0.0009464585222303867,0.0023361958214081825,0.0008350822201464326,0.18143817484378816,0.013915464980527759,7.804416227340698,0.004032635642215609,0.003751619614195079
38,0.00016533298330614343,0.0002914015334681608,0.00159379587857984,0.0022015942726284266,0.00019923127110814677,0.0006286462710704655,0.0001223759765707655,0.00016089015989564361,0.00010185503779212013,0.00040402632148470733,0.0007225695124361664,0.00018477257835911587,0.00012151063092460391,0.0001900719878904056,6.025870061421302e-05,0.008357333764433861,0.001276372605934739,6.004409003257751,0.0014366696355864405,0.0014392380428034813
39,3.847724401566666e-05,7.02012508554617e-05,0.009214118821546435,0.6550054997205734,7.382538315141574e-05,0.000762187919463031,7.787596732669045e-05,3.293481240689289e-05,8.414213225478306e-05,7.007330059423112e-05,0.00011280045000603423,6.599208136321978e-05,9.786856717255432e-05,8.120304519252386e-05,6.239066133275628e-05,0.03393255528062582,0.006108873384073377,2.7854970335960387,0.004201817628927529,0.0008636807528091594
40,0.0024470330914482473,0.00355270029976964,0.042823648825287816,6.360139846801758,0.0029517233604565265,0.1133097816258669,0.007170906499959529,0.0033119834843091667,0.003530920168850571,0.002715403912588954,0.0014321407361421736,0.003673613106366247,0.0013357993622776121,0.0012006925884634257,0.0009905230021104217,0.08451112173497677,0.01653814697638154,0.5405847787857055,6.932126140594482,0.05047633927315474
41,0.0008356375445146114,0.0018522400758229196,0.007848989474587143,4.601147985458374,0.001411000086227432,0.015872744843363762,0.001264208118664101,0.0011568068235646932,0.0007614515692694114,0.0011306394997518511,0.0010443827428389342,0.0009253533731680364,0.0012304908013902605,0.0007670614228118212,0.00036548064381349834,0.6355895727872849,0.028883606940507893,9.354520082473755,0.0024125345633365216,0.002978704636916518
42,0.0010303469374775887,0.0029243668308481575,0.01656503602862358,2.728658211231232,0.001651697646593675,0.0215599175542593,0.0016431070514954628,0.0011904578132089227,0.0007883670506998897,0.0023069093469530342,0.0010492186062037946,0.0023882450885139407,0.0019323406042531133,0.001462378294672817,0.0007249854505062104,3.5339356541633604,0.017781819310039283,0.011735109100118279,9.116995191574096,0.039749665185809135
43,0.003080437774769962,0.007897987449541687,4.793522357940674,13.075461626052856,0.00450211928691715,0.036263031698763375,0.016433343384414913,0.006437684618867934,0.009312077006325126,0.00425537636037916,0.007630985067225993,0.0037047825753688812,0.004990211315453053,0.003345090919174254,0.002618640183936805,5.122982740402222,0.4157723218202591,0.1050410471856594,2.0982064843177795,0.023420050740242004
