,n_counts
713,615.0
714,972.0
715,619.0
716,523.0
717,1019.0
718,434.0
719,1886.0
720,1013.0
721,253.0
722,1995.0
723,1298.0
724,160.0
726,249.0
727,709.0
728,1235.0
729,185.0
730,627.0
731,1296.0
732,301.0
734,197.0
738,950.0
739,2041.0
740,2062.0
741,201.0
742,676.0
743,1897.0
744,727.0
745,732.0
746,13.0
747,1266.0
749,339.0
750,256.0
751,306.0
752,1339.0
753,863.0
754,517.0
755,231.0
756,710.0
757,698.0
758,1266.0
759,818.0
760,709.0
761,723.0
762,291.0
763,501.0
764,496.0
765,157.0
766,456.0
767,897.0
768,452.0
769,567.0
770,302.0
771,1930.0
772,732.0
775,1179.0
776,715.0
778,325.0
779,845.0
780,311.0
781,812.0
782,265.0
783,265.0
784,935.0
785,1466.0
786,1045.0
787,1074.0
788,940.0
789,824.0
790,845.0
791,1021.0
792,1100.0
793,1464.0
794,158.0
795,518.0
796,455.0
797,901.0
798,146.0
799,1626.0
800,568.0
803,78.0
805,359.0
806,476.0
807,1297.0
808,1463.0
809,463.0
810,1412.0
813,325.0
814,872.0
815,288.0
816,275.0
817,542.0
819,404.0
820,644.0
821,844.0
824,164.0
825,459.0
828,660.0
829,957.0
830,52.0
831,402.0
832,1327.0
833,884.0
834,1046.0
835,1120.0
836,509.0
837,1218.0
838,647.0
839,698.0
840,596.0
841,758.0
842,279.0
843,404.0
844,626.0
845,420.0
846,163.0
847,723.0
848,659.0
849,259.0
851,828.0
852,1063.0
853,296.0
855,261.0
856,1100.0
857,842.0
858,293.0
859,782.0
860,294.0
861,1553.0
862,1953.0
863,2513.0
864,1455.0
865,1877.0
866,1581.0
867,1128.0
868,544.0
869,667.0
870,808.0
871,433.0
872,187.0
873,667.0
874,422.0
875,1297.0
876,1222.0
877,642.0
878,328.0
880,294.0
881,289.0
882,743.0
883,486.0
884,2487.0
885,1745.0
886,447.0
888,262.0
889,192.0
890,948.0
891,202.0
892,1138.0
893,1412.0
894,828.0
895,489.0
896,2211.0
897,1048.0
898,270.0
899,207.0
902,436.0
903,432.0
904,1452.0
905,333.0
906,243.0
907,1824.0
908,665.0
909,237.0
910,426.0
911,968.0
912,573.0
913,462.0
914,443.0
915,694.0
916,1067.0
917,508.0
918,817.0
919,552.0
920,351.0
921,752.0
922,924.0
923,302.0
924,333.0
925,833.0
926,530.0
927,298.0
929,1615.0
930,1601.0
931,198.0
932,309.0
933,1419.0
934,899.0
935,882.0
936,1262.0
937,1162.0
938,449.0
939,654.0
940,1344.0
941,806.0
942,2291.0
943,692.0
944,1561.0
945,1072.0
946,1127.0
947,1284.0
948,869.0
949,486.0
950,1026.0
951,238.0
952,132.0
953,1432.0
954,864.0
955,524.0
956,554.0
957,254.0
958,395.0
959,285.0
961,841.0
962,355.0
965,96.0
968,722.0
969,1901.0
970,434.0
971,1844.0
972,1260.0
973,410.0
974,549.0
976,115.0
978,82.0
980,411.0
981,1306.0
982,453.0
983,344.0
984,558.0
985,888.0
986,153.0
987,376.0
988,387.0
989,535.0
990,1141.0
991,845.0
992,861.0
993,518.0
994,847.0
995,565.0
996,521.0
997,261.0
998,284.0
999,833.0
1000,661.0
1001,821.0
1002,267.0
1003,935.0
1004,1971.0
1006,877.0
1007,1817.0
1008,1136.0
1010,557.0
1011,1364.0
1012,373.0
1013,328.0
1014,104.0
1015,355.0
1016,1130.0
1017,760.0
1018,1505.0
1019,1207.0
1020,821.0
1021,1143.0
1022,1383.0
1023,102.0
1024,1300.0
1025,991.0
1026,704.0
1027,742.0
1028,679.0
1029,580.0
1030,169.0
1031,571.0
1032,438.0
1033,941.0
1035,346.0
1037,681.0
1039,531.0
1042,42.0
1046,1068.0
1047,922.0
1048,321.0
1049,347.0
1050,1659.0
1051,1088.0
1053,409.0
1054,540.0
1055,397.0
1057,138.0
1058,1069.0
1059,1007.0
1060,613.0
1061,259.0
1062,175.0
1063,642.0
1064,461.0
1065,300.0
1066,686.0
1067,514.0
1068,1283.0
1069,1346.0
1070,495.0
1071,554.0
1072,1318.0
1073,1487.0
1074,763.0
1075,513.0
1076,381.0
1077,835.0
1078,1520.0
1079,612.0
1080,486.0
1081,376.0
1082,1328.0
1083,1422.0
1084,498.0
1085,1132.0
1086,1783.0
1088,606.0
1089,261.0
1090,259.0
1091,724.0
1092,139.0
1093,95.0
1094,371.0
1095,655.0
1096,1173.0
1097,567.0
1098,383.0
1099,1580.0
1100,614.0
1101,610.0
1102,1309.0
1103,574.0
1104,1689.0
1105,1101.0
1106,202.0
1107,1243.0
1108,1012.0
1109,526.0
1110,1677.0
1111,1598.0
1116,853.0
1118,1199.0
1119,371.0
1120,528.0
1123,456.0
1124,478.0
1125,2491.0
1126,1025.0
1127,1562.0
1128,2399.0
1129,1741.0
1130,669.0
1131,346.0
1132,307.0
1136,1071.0
1137,1098.0
1138,1280.0
1139,251.0
1140,184.0
1141,58.0
1142,557.0
1143,1435.0
1144,214.0
1145,1245.0
1146,492.0
1147,1239.0
1148,763.0
1149,1143.0
1150,1217.0
1151,717.0
1152,866.0
1153,184.0
1154,474.0
1155,581.0
1156,1019.0
1157,699.0
1158,290.0
1159,525.0
1160,621.0
1161,915.0
1162,522.0
1163,779.0
1164,1584.0
1165,1538.0
1166,246.0
1167,391.0
1169,1010.0
1170,226.0
1171,142.0
1172,549.0
1173,356.0
1174,238.0
1175,219.0
1176,620.0
1177,1269.0
1178,701.0
1179,2499.0
1180,1070.0
1181,2263.0
1182,1550.0
1183,591.0
1184,1843.0
1185,1431.0
1186,2259.0
1187,628.0
1188,1602.0
1189,553.0
1190,1159.0
1191,857.0
1195,174.0
1196,278.0
1202,368.0
1203,860.0
1204,2236.0
1205,587.0
1206,1229.0
1207,1812.0
1208,206.0
1209,561.0
1210,412.0
1211,618.0
1212,215.0
1214,1149.0
1215,719.0
1216,686.0
1217,1058.0
1218,322.0
1219,427.0
1220,403.0
1221,220.0
1222,522.0
1223,135.0
1224,1040.0
1225,611.0
1226,870.0
1227,1177.0
1228,1589.0
1229,1719.0
1230,1950.0
1231,517.0
1232,187.0
1233,167.0
1234,199.0
1235,1212.0
1236,415.0
1237,387.0
1238,579.0
1239,856.0
1240,2178.0
1242,983.0
1243,652.0
1244,1239.0
1245,388.0
1247,626.0
1248,212.0
1249,727.0
1250,772.0
1251,1388.0
1252,1082.0
1253,134.0
1254,1291.0
1255,993.0
1256,1488.0
1257,2014.0
1258,2182.0
1259,1936.0
1260,1949.0
1261,2018.0
1262,1453.0
1263,1440.0
1264,100.0
1265,370.0
1266,666.0
1267,955.0
1268,1056.0
1269,778.0
1270,260.0
1271,567.0
1272,571.0
1274,120.0
1275,695.0
1276,395.0
1280,486.0
1281,500.0
1282,719.0
1283,833.0
1284,1091.0
1285,803.0
1287,541.0
1288,121.0
1289,297.0
1290,229.0
1291,812.0
1292,730.0
1293,1867.0
1294,698.0
1295,361.0
1296,822.0
1297,889.0
1298,967.0
1299,351.0
1300,1966.0
1301,1058.0
1302,1815.0
1303,1758.0
1304,1240.0
1305,1487.0
1306,985.0
1307,2180.0
1308,997.0
1309,1002.0
1310,262.0
1311,730.0
1312,106.0
1313,1364.0
1314,401.0
1315,353.0
1317,319.0
1318,1033.0
1319,350.0
1320,819.0
1321,830.0
1322,1265.0
1323,448.0
1324,587.0
1326,732.0
1327,539.0
1328,622.0
1329,594.0
1330,1428.0
1331,1616.0
1332,2512.0
1333,540.0
1334,1310.0
1335,1115.0
1336,1765.0
1337,2251.0
1338,1547.0
1339,2355.0
1340,847.0
1341,2323.0
1342,819.0
1343,2375.0
1344,614.0
1345,786.0
1346,585.0
1347,1729.0
1348,1378.0
1349,313.0
1351,727.0
1352,697.0
1353,586.0
1359,1207.0
1360,1978.0
1361,1628.0
1362,325.0
1363,124.0
1364,1588.0
1365,146.0
1366,432.0
1367,125.0
1368,392.0
1369,1399.0
1370,1839.0
1371,1618.0
1372,490.0
1373,413.0
1374,324.0
1375,918.0
1376,451.0
1377,1038.0
1378,1470.0
1380,554.0
1381,1734.0
1382,731.0
1383,533.0
1384,311.0
1385,1565.0
1386,1413.0
1387,625.0
1388,687.0
1389,229.0
1390,479.0
1391,133.0
1392,1205.0
1394,630.0
1395,223.0
1396,1927.0
1397,3049.0
1398,119.0
1399,1040.0
1400,1190.0
1401,1885.0
1403,362.0
1404,106.0
1405,250.0
1406,1524.0
1407,389.0
1408,385.0
1409,1003.0
1410,825.0
1411,774.0
1412,513.0
1413,734.0
1414,1317.0
1415,1376.0
1416,395.0
1417,939.0
1418,2567.0
1419,1921.0
1420,764.0
1421,248.0
1422,636.0
1423,901.0
1424,1121.0
1425,393.0
1426,475.0
1427,383.0
1428,319.0
1429,264.0
1430,208.0
1436,779.0
1437,2629.0
1438,1538.0
1439,1879.0
1440,523.0
1441,1336.0
1443,232.0
1444,118.0
1446,270.0
1447,605.0
1448,465.0
1450,730.0
1451,500.0
1452,268.0
1453,532.0
1454,1349.0
1455,467.0
1456,976.0
1457,921.0
1458,820.0
1459,836.0
1460,728.0
1461,141.0
1462,287.0
1463,465.0
1464,1249.0
1465,707.0
1467,1130.0
1468,563.0
1469,707.0
1470,492.0
1471,189.0
1473,734.0
1474,1454.0
1475,261.0
1476,1061.0
1477,735.0
1478,2446.0
1479,969.0
1480,121.0
1481,315.0
1482,810.0
1483,776.0
1484,1045.0
1486,856.0
1487,737.0
1488,737.0
1489,1156.0
1490,1324.0
1491,594.0
1492,1231.0
1493,813.0
1494,1169.0
1495,877.0
1496,1648.0
1497,750.0
1498,894.0
1499,1203.0
1500,726.0
1501,1632.0
1502,1362.0
1503,1701.0
1504,1535.0
1506,457.0
1513,1917.0
1514,726.0
1515,1240.0
1516,622.0
1517,1224.0
1518,691.0
1519,1022.0
1520,411.0
1521,402.0
1524,1735.0
1525,1007.0
1526,352.0
1527,395.0
1528,482.0
1529,606.0
1530,234.0
1531,110.0
1532,210.0
1533,720.0
1534,422.0
1535,1147.0
1536,1084.0
1537,973.0
1538,703.0
1539,1111.0
1540,612.0
1541,1327.0
1542,773.0
1543,813.0
1544,513.0
1545,602.0
1546,670.0
1547,1622.0
1549,427.0
1550,741.0
1551,1438.0
1552,584.0
1554,899.0
1555,619.0
1556,1434.0
1557,287.0
1558,481.0
1559,170.0
1560,341.0
1561,680.0
1562,171.0
1563,1142.0
1565,786.0
1566,1310.0
1567,557.0
1568,1469.0
1569,1143.0
1570,2146.0
1571,1366.0
1572,1874.0
1573,2221.0
1574,1567.0
1575,961.0
1576,344.0
1577,1335.0
1578,1454.0
1579,986.0
1580,1204.0
1581,469.0
1584,1188.0
1585,390.0
1590,485.0
1591,2209.0
1592,999.0
1593,738.0
1594,541.0
1595,1812.0
1596,545.0
1597,564.0
1598,86.0
1600,1291.0
1601,1196.0
1602,1427.0
1603,122.0
1604,468.0
1605,1069.0
1606,1080.0
1607,248.0
1608,498.0
1609,916.0
1610,957.0
1611,999.0
1612,1656.0
1613,1227.0
1614,1515.0
1615,1254.0
1616,261.0
1617,1334.0
1618,1586.0
1619,842.0
1620,325.0
1621,127.0
1622,777.0
1623,1218.0
1624,489.0
1625,180.0
1626,409.0
1627,642.0
1628,759.0
1629,464.0
1631,193.0
1632,730.0
1633,1267.0
1635,797.0
1636,79.0
1637,536.0
1638,633.0
1639,183.0
1640,521.0
1641,994.0
1642,834.0
1643,1228.0
1644,1497.0
1645,620.0
1646,1840.0
1647,1437.0
1648,844.0
1649,2236.0
1650,2182.0
1651,1319.0
1652,660.0
1653,401.0
1654,885.0
1655,1025.0
1656,395.0
1657,967.0
1662,693.0
1665,2101.0
1666,714.0
1667,1554.0
1668,1541.0
1669,945.0
1670,784.0
1671,138.0
1672,909.0
1674,117.0
1675,728.0
1676,1298.0
1677,1438.0
1678,36.0
1679,630.0
1680,1050.0
1681,1659.0
1682,695.0
1683,154.0
1684,944.0
1685,2000.0
1686,654.0
1687,1183.0
1688,1696.0
1689,649.0
1690,2062.0
1691,149.0
1692,1280.0
1693,874.0
1694,1071.0
1695,31.0
1696,452.0
1697,306.0
1699,1158.0
1700,349.0
1701,593.0
1702,596.0
1703,1048.0
1704,517.0
1705,397.0
1706,538.0
1707,1265.0
1708,814.0
1709,1944.0
1710,662.0
1711,346.0
1712,537.0
1713,991.0
1714,706.0
1715,420.0
1716,622.0
1717,617.0
1718,1060.0
1719,596.0
1720,1849.0
1721,2031.0
1722,2590.0
1723,904.0
1724,1286.0
1725,2199.0
1726,828.0
1727,1361.0
1728,841.0
1729,786.0
1730,585.0
1731,819.0
1732,1014.0
1733,678.0
1735,257.0
1736,1154.0
1740,357.0
1741,778.0
1742,1464.0
1743,190.0
1744,958.0
1745,447.0
1746,373.0
1748,270.0
1749,77.0
1750,654.0
1751,793.0
1752,1267.0
1753,681.0
1754,775.0
1755,1804.0
1756,913.0
1757,711.0
1758,1140.0
1759,556.0
1760,696.0
1761,300.0
1762,932.0
1763,1316.0
1764,2630.0
1765,700.0
1766,1178.0
1767,841.0
1768,142.0
1769,413.0
1770,557.0
1771,359.0
1773,1326.0
1774,380.0
1775,296.0
1776,514.0
1777,1360.0
1778,163.0
1779,956.0
1781,1141.0
1782,649.0
1783,219.0
1784,2710.0
1785,541.0
1788,533.0
1789,460.0
1790,219.0
1791,346.0
1792,1417.0
1793,1819.0
1794,700.0
1795,1120.0
1796,727.0
1797,1007.0
1798,875.0
1799,1142.0
1800,952.0
1801,1472.0
1802,753.0
1803,824.0
1804,248.0
1805,995.0
1806,515.0
1807,295.0
1808,452.0
1811,390.0
1812,352.0
1814,593.0
1815,1771.0
1816,1871.0
1817,914.0
1818,641.0
1819,924.0
1820,366.0
1821,707.0
1822,1096.0
1824,258.0
1825,2329.0
1826,1433.0
1827,151.0
1828,858.0
1829,792.0
1830,1112.0
1831,640.0
1832,195.0
1833,1037.0
1834,1151.0
1835,1254.0
1836,1185.0
1837,928.0
1838,1051.0
1839,705.0
1840,429.0
1841,73.0
1842,617.0
1843,298.0
1844,234.0
1845,281.0
1846,291.0
1847,951.0
1848,597.0
1850,229.0
1851,1317.0
1852,456.0
1853,1303.0
1854,183.0
1855,302.0
1856,1398.0
1857,699.0
1858,1265.0
1859,1056.0
1860,570.0
1862,945.0
1863,1385.0
1864,664.0
1865,224.0
1866,1047.0
1867,634.0
1868,630.0
1869,1537.0
1870,1176.0
1871,981.0
1872,435.0
1873,860.0
1874,452.0
1875,1351.0
1876,1944.0
1877,255.0
1878,1275.0
1879,594.0
1880,1977.0
1882,108.0
1883,253.0
1884,264.0
1885,820.0
1888,563.0
1889,1740.0
1890,1905.0
1891,985.0
1892,1079.0
1893,610.0
1895,880.0
1897,764.0
1898,362.0
1899,1993.0
1900,2389.0
1901,670.0
1902,279.0
1903,1523.0
1904,1134.0
1906,930.0
1907,1287.0
1908,891.0
1909,453.0
1910,421.0
1911,1046.0
1912,1392.0
1913,422.0
1914,972.0
1915,579.0
1916,591.0
1917,879.0
1918,38.0
1919,531.0
1920,420.0
1921,240.0
1922,247.0
1923,881.0
1924,1214.0
1925,217.0
1926,310.0
1927,1634.0
1928,324.0
1929,760.0
1930,1394.0
1931,346.0
1932,599.0
1933,394.0
1934,542.0
1936,687.0
1937,654.0
1938,671.0
1939,500.0
1940,265.0
1941,331.0
1942,1063.0
1943,310.0
1944,1275.0
1945,470.0
1946,881.0
1947,1185.0
1948,1908.0
1949,806.0
1950,1743.0
1951,1747.0
1952,200.0
1953,1139.0
1954,1312.0
1955,151.0
1956,656.0
1959,244.0
1961,340.0
1962,1514.0
1963,1086.0
1964,364.0
1966,1822.0
1967,1168.0
1968,166.0
1969,306.0
1970,678.0
1971,238.0
1972,1055.0
1973,1093.0
1974,1482.0
1975,243.0
1976,298.0
1977,286.0
1978,996.0
1979,383.0
1980,253.0
1981,1812.0
1982,696.0
1983,1193.0
1984,355.0
1985,113.0
1986,1247.0
1987,988.0
1988,687.0
1989,171.0
1990,589.0
1991,1209.0
1992,787.0
1993,1457.0
1997,1145.0
1998,2013.0
1999,2148.0
2000,2731.0
2001,519.0
2002,523.0
2003,578.0
2004,1305.0
2005,56.0
2006,919.0
2007,62.0
2008,558.0
2009,478.0
2010,471.0
2011,227.0
2012,801.0
2013,1159.0
2014,1457.0
2015,968.0
2016,1544.0
2017,1593.0
2018,834.0
2019,738.0
2020,1102.0
2021,1512.0
2022,1837.0
2023,1184.0
2024,1607.0
2025,218.0
2026,1724.0
2027,1537.0
2028,700.0
2031,184.0
2032,340.0
2034,482.0
2035,1145.0
2036,2514.0
2037,1438.0
2038,979.0
2039,1832.0
2040,96.0
2045,1381.0
2046,837.0
2047,640.0
2048,1305.0
2049,524.0
2050,1122.0
2051,941.0
2052,490.0
2053,421.0
2054,761.0
2055,1345.0
2056,926.0
2057,1240.0
2058,376.0
2059,502.0
2060,647.0
2061,582.0
2062,603.0
2063,1174.0
2064,735.0
2065,971.0
2066,314.0
2068,242.0
2069,779.0
2070,1312.0
2071,790.0
2072,1099.0
2073,317.0
2075,768.0
2076,247.0
2077,1229.0
2078,1471.0
2079,608.0
2080,442.0
2081,77.0
2082,687.0
2083,954.0
2084,1498.0
2085,881.0
2086,724.0
2087,1237.0
2088,792.0
2089,190.0
2090,2059.0
2091,1130.0
2092,1425.0
2093,936.0
2094,1531.0
2095,1494.0
2096,1410.0
2097,567.0
2098,1937.0
2099,122.0
2100,186.0
2101,194.0
2106,764.0
2107,850.0
2108,1659.0
2109,538.0
2111,1695.0
2112,1015.0
2113,425.0
2114,616.0
2115,585.0
2116,521.0
2117,515.0
2118,752.0
2119,816.0
2120,275.0
2121,1356.0
2122,1101.0
2123,1113.0
2124,689.0
2125,1486.0
2126,364.0
2127,912.0
2128,1522.0
2129,685.0
2130,385.0
2131,692.0
2132,460.0
2133,149.0
2134,278.0
2135,1061.0
2136,1055.0
2137,546.0
2138,195.0
2139,580.0
2140,735.0
2141,476.0
2142,290.0
2143,1555.0
2144,2219.0
2145,135.0
2146,613.0
2147,1121.0
2148,1025.0
2149,2360.0
2150,2311.0
2151,717.0
2152,345.0
2154,677.0
2155,1674.0
2156,1444.0
2158,1255.0
2159,1324.0
2160,1023.0
2161,790.0
2162,2034.0
2163,1498.0
2164,483.0
2165,1238.0
2166,1458.0
2167,474.0
2168,372.0
2169,614.0
2170,683.0
2171,290.0
2172,393.0
2174,616.0
2177,717.0
2178,1031.0
2179,1735.0
2180,463.0
2181,413.0
2182,1055.0
2183,1342.0
2185,291.0
2186,189.0
2187,278.0
2189,1656.0
2190,1649.0
2191,1336.0
2192,1338.0
2193,938.0
2194,883.0
2196,946.0
2197,707.0
2198,1185.0
2199,882.0
2200,1795.0
2201,1024.0
2202,528.0
2203,823.0
2204,97.0
2206,385.0
